,total_deaths_2020-08-30,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
IowaStateLW-STEM,183204,220440.0,219813,37374.0,36609,765.0,2.1%
STH-3PU,183204,218507.0,219813,35441.0,36609,-1168.0,-3.2%
Covid19Sim-Simulator,183204,218005.8,219813,34939.8,36609,-1669.2,-4.6%
CovidAnalytics-DELPHI,183204,216621.0,219813,33555.0,36609,-3054.0,-8.3%
UCLA-SuEIR,183204,216243.9,219813,33177.9,36609,-3431.1,-9.4%
Columbia_UNC-SurvCon,183204,215918.0,219813,32852.0,36609,-3757.0,-10.3%
USC-SI_kJalpha,183204,215891.0,219813,32825.0,36609,-3784.0,-10.3%
Baseline,183204,226032.9,219813,42966.9,36609,6357.9,17.4%
YYG-ParamSearch,183204,213105.0,219813,30039.0,36609,-6570.0,-17.9%
USACE-ERDC_SEIR,183204,227154.4,219813,44088.4,36609,7479.4,20.4%
WalmartLabsML-LogForecasting,183204,205544.0,219813,22478.0,36609,-14131.0,-38.6%
RobertWalraven-ESG,183204,204175.0,219813,21109.0,36609,-15500.0,-42.3%
LANL-GrowthRate,183204,202881.4,219813,19815.4,36609,-16793.6,-45.9%
IHME-CurveFit,183204,236914.8,219813,53848.8,36609,17239.8,47.1%
