,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2788,2768.7,2798.1,2949.0,2785.0,2780.0,4368.0,2774.0,2661.5,2851.0,2854.3,2723.2,2832.8,,2495.1,3186.0,2776.5,2763.8,2835.4,2700.1,2686.0,2664.4,2672.7,2908.0,2865.0,,2887.6,2780.0,2707.0,,2781.9,2621.5,,2761.0,2747.0,2739.8,,2880.2,2758.0,2856.4,3310.3,2698.0,2833.5,2715.0,2719.5,2477.0,-19.3,10.1,161.0,-3.0,-8.0,1580.0,-14.0,-126.5,63.0,66.3,-64.8,44.8,,-292.9,398.0,-11.5,-24.2,47.4,-87.9,-102.0,-123.6,-115.3,120.0,77.0,,99.6,-8.0,-81.0,,-6.1,-166.5,,-27.0,-41.0,-48.2,,92.2,-30.0,68.4,522.3,-90.0,45.5,-73.0,-68.5,-311.0,True,False,True,True,False,True,False,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,False,,False,True,False,,True,False,,False,False,False,,False,False,False,False,False,False,False,False,False
Alaska,67,48.9,51.4,57.0,49.0,59.0,45.0,64.0,60.3,62.0,73.0,56.1,91.2,,51.0,,58.7,59.0,83.5,54.5,56.1,45.7,90.6,104.0,63.1,,57.6,48.8,48.0,,,48.2,,53.0,70.0,50.0,,80.2,59.0,51.6,61.7,51.0,233.5,51.3,56.0,,-18.1,-15.6,-10.0,-18.0,-8.0,-22.0,-3.0,-6.7,-5.0,6.0,-10.9,24.2,,-16.0,,-8.3,-8.0,16.5,-12.5,-10.9,-21.3,23.6,37.0,-3.9,,-9.4,-18.2,-19.0,,,-18.8,,-14.0,3.0,-17.0,,13.2,-8.0,-15.4,-5.3,-16.0,166.5,-15.7,-11.0,,True,True,True,True,False,True,True,True,True,True,False,,True,,True,True,True,True,True,False,False,False,True,,True,False,False,,,False,,True,True,True,,True,True,True,True,True,False,True,True,
Arizona,5824,6074.9,5935.1,5902.0,5995.2,5964.0,6289.0,6135.0,5887.5,6020.0,6372.7,,5923.7,,5960.3,6023.0,5884.8,5732.1,5767.3,5958.3,6063.3,5854.9,5833.3,5788.0,5853.2,,5801.3,6221.4,5775.0,,6051.6,5809.2,,6012.0,6267.0,5963.5,,5868.2,5954.0,6373.6,5905.6,6286.0,6161.5,5949.1,5811.2,5788.0,250.9,111.1,78.0,171.2,140.0,465.0,311.0,63.5,196.0,548.7,,99.7,,136.3,199.0,60.8,-91.9,-56.7,134.3,239.3,30.9,9.3,-36.0,29.2,,-22.7,397.4,-49.0,,227.6,-14.8,,188.0,443.0,139.5,,44.2,130.0,549.6,81.6,462.0,337.5,125.1,-12.8,-36.0,True,True,True,True,False,False,True,True,False,,True,,True,True,True,True,True,True,True,True,True,True,True,,True,False,True,,True,True,,True,False,True,,True,True,False,True,False,False,True,True,True
Arkansas,1684,1952.4,2045.8,1503.0,2029.0,1553.0,1626.0,3750.0,1870.2,1442.0,1676.5,,1413.3,,1294.5,1828.0,1730.0,1452.7,1553.6,1506.7,1387.8,1655.7,1461.5,1565.0,1648.0,,1414.4,1480.7,1871.0,,1565.8,1322.4,,1802.0,2278.0,1755.6,,2227.6,1387.0,1515.7,1435.0,1509.0,1785.0,1414.6,1420.2,1207.0,268.4,361.8,-181.0,345.0,-131.0,-58.0,2066.0,186.2,-242.0,-7.5,,-270.7,,-389.5,144.0,46.0,-231.3,-130.4,-177.3,-296.2,-28.3,-222.5,-119.0,-36.0,,-269.6,-203.3,187.0,,-118.2,-361.6,,118.0,594.0,71.6,,543.6,-297.0,-168.3,-249.0,-175.0,101.0,-269.4,-263.8,-477.0,False,True,False,True,True,False,True,True,True,,False,,False,True,True,True,True,True,False,True,True,True,True,,False,True,True,,True,False,,True,False,True,,False,False,True,True,True,True,False,True,False
California,16956,17476.9,17750.5,17309.0,17782.3,17242.0,17242.0,16398.0,16407.0,17450.0,17073.2,17196.8,16526.2,,17490.7,17604.0,16686.8,16110.3,17533.7,16954.2,16642.2,17055.0,17747.3,16814.0,17074.3,,15446.4,17578.8,17532.5,,17551.6,16153.1,,17251.0,17445.0,17373.1,21250.0,17085.1,16906.0,17622.3,16886.9,16874.0,16264.0,16667.1,16929.8,,520.9,794.5,353.0,826.3,286.0,286.0,-558.0,-549.0,494.0,117.2,240.8,-429.8,,534.7,648.0,-269.2,-845.7,577.7,-1.8,-313.8,99.0,791.3,-142.0,118.3,,-1509.6,622.8,576.5,,595.6,-802.9,,295.0,489.0,417.1,4294.0,129.1,-50.0,666.3,-69.1,-82.0,-692.0,-288.9,-26.2,,False,True,False,True,True,False,False,True,True,True,True,,False,False,True,False,False,True,True,True,False,True,True,,False,False,False,,False,False,,True,True,True,False,True,True,False,True,True,False,True,True,
Colorado,2176,2114.3,2101.6,2120.0,2121.9,2122.0,2328.0,2248.0,2109.7,2048.0,2102.1,2124.3,2171.3,,2104.9,2143.0,2118.3,2317.9,2195.4,2112.5,2115.4,2115.0,2105.8,2164.0,2103.3,,2157.6,2155.6,2106.0,,2096.8,2119.4,,2124.0,2196.0,2089.0,,2118.5,2174.0,2261.2,2444.5,2148.0,2106.0,2073.2,2125.6,2098.0,-61.7,-74.4,-56.0,-54.1,-54.0,152.0,72.0,-66.3,-128.0,-73.9,-51.7,-4.7,,-71.1,-33.0,-57.7,141.9,19.4,-63.5,-60.6,-61.0,-70.2,-12.0,-72.7,,-18.4,-20.4,-70.0,,-79.2,-56.6,,-52.0,20.0,-87.0,,-57.5,-2.0,85.2,268.5,-28.0,-70.0,-102.8,-50.4,-78.0,False,True,True,True,False,False,False,False,False,True,True,,False,True,True,False,True,False,True,True,False,True,False,,True,True,False,,False,True,,True,True,False,,True,True,False,False,True,False,False,True,False
Connecticut,4542,4538.3,4539.9,4539.0,4587.8,4539.0,4670.0,4602.0,4530.0,4494.0,4529.4,4542.7,4639.1,,4521.1,4584.0,4534.4,4685.5,4593.3,4523.9,4505.8,4531.9,4569.2,4539.0,4520.0,,4538.3,4559.4,4512.0,,4531.6,4507.5,,4544.0,4575.0,4528.2,,4535.3,4522.0,4904.6,4842.9,4535.0,4508.0,4516.2,4537.3,4521.0,-3.7,-2.1,-3.0,45.8,-3.0,128.0,60.0,-12.0,-48.0,-12.6,0.7,97.1,,-20.9,42.0,-7.6,143.5,51.3,-18.1,-36.2,-10.1,27.2,-3.0,-22.0,,-3.7,17.4,-30.0,,-10.4,-34.5,,2.0,33.0,-13.8,,-6.7,-20.0,362.6,300.9,-7.0,-34.0,-25.8,-4.7,-21.0,True,True,False,True,False,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,True,False,,True,False,False,,False,False,,True,False,False,,False,False,False,False,False,False,False,False,False
Delaware,664,644.1,652.1,647.0,658.3,650.0,666.0,690.0,648.6,625.0,650.5,650.7,668.1,,638.0,654.0,646.3,673.8,645.6,640.3,631.6,637.1,638.1,649.0,641.8,,642.3,653.2,631.0,,,637.3,,652.0,664.0,645.5,,657.1,639.0,723.2,713.8,647.0,687.0,640.2,642.0,632.0,-19.9,-11.9,-17.0,-5.7,-14.0,2.0,26.0,-15.4,-39.0,-13.5,-13.3,4.1,,-26.0,-10.0,-17.7,9.8,-18.4,-23.7,-32.4,-26.9,-25.9,-15.0,-22.2,,-21.7,-10.8,-33.0,,,-26.7,,-12.0,0.0,-18.5,,-6.9,-25.0,59.2,49.8,-17.0,23.0,-23.8,-22.0,-32.0,True,True,True,True,True,False,True,False,True,True,True,,False,True,True,True,True,False,False,False,False,True,False,,False,True,False,,,False,,True,True,True,,True,False,False,False,True,False,False,False,False
District of Columbia,641,635.4,637.6,629.0,635.4,634.0,622.0,644.0,633.6,624.0,644.8,642.1,639.6,,641.9,632.0,633.2,667.8,631.4,635.3,631.1,627.4,632.6,635.0,,,634.8,631.8,630.0,,,626.2,,634.0,662.0,629.6,,,636.0,,679.7,633.0,645.0,627.8,632.9,,-5.6,-3.4,-12.0,-5.6,-7.0,-19.0,3.0,-7.4,-17.0,3.8,1.1,-1.4,,0.9,-9.0,-7.8,26.8,-9.6,-5.7,-9.9,-13.6,-8.4,-6.0,,,-6.2,-9.2,-11.0,,,-14.8,,-7.0,21.0,-11.4,,,-5.0,,38.7,-8.0,4.0,-13.2,-8.1,,True,False,False,False,False,True,False,False,True,True,True,,True,False,False,False,False,False,False,False,False,False,,,False,False,False,,,False,,False,False,False,,,True,,False,False,True,False,False,
Florida,15917,15949.7,16013.4,15612.0,16034.4,15449.0,15274.0,16149.0,15449.5,15161.0,15803.8,15520.5,14322.4,,16218.4,16124.0,15045.1,13952.8,15773.6,14717.6,15266.1,15528.6,18750.1,15139.0,14643.8,,15229.5,15574.3,15039.5,,16048.2,13930.1,,15794.0,16447.0,15630.0,,14687.1,15407.0,16098.6,14661.0,15587.0,15335.0,14911.3,15226.4,14075.0,32.7,96.4,-305.0,117.4,-468.0,-643.0,232.0,-467.5,-756.0,-113.2,-396.5,-1594.6,,301.4,207.0,-871.9,-1964.2,-143.4,-1199.4,-650.9,-388.4,2833.1,-778.0,-1273.2,,-687.5,-342.7,-877.5,,131.2,-1986.9,,-123.0,530.0,-287.0,,-1229.9,-510.0,181.6,-1256.0,-330.0,-582.0,-1005.7,-690.6,-1842.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False
