,mean_rank
UMass-MechBayes,12.4
SteveMcConnell-CovidComplete,14.0
COVIDhub-ensemble,14.5
LNQ-ens1,14.9
USC-SI_kJalpha,16.5
DDS-NBDS,16.6
OliverWyman-Navigator,17.2
CovidAnalytics-DELPHI,17.4
MSRA-DeepST,17.5
UT-Mobility,17.5
CMU-TimeSeries,17.6
CEID-Walk,17.8
GT-DeepCOVID,17.9
Karlen-pypm,18.2
IQVIA_ACOE-STAN,18.4
JCB-PRM,18.4
Columbia_UNC-SurvCon,18.6
COVIDhub-baseline,18.6
UA-EpiCovDA,18.7
LANL-GrowthRate,18.7
Geneva-DetGrowth,19.7
NotreDame-mobility,19.9
Google_Harvard-CPF,20.0
JHU_IDD-CovidSP,20.5
UMich-RidgeTfReg,20.6
MIT_CritData-GBCF,21.6
PSI-DRAFT,21.6
UCLA-SuEIR,21.8
MOBS-GLEAM_COVID,21.9
BPagano-RtDriven,22.1
epiforecasts-ensemble1,22.1
UCSD_NEU-DeepGLEAM,22.5
JHUAPL-Bucky,23.4
IowaStateLW-STEM,23.6
CU-select,23.6
RobertWalraven-ESG,25.8
WalmartLabsML-LogForecasting,27.5
USACE-ERDC_SEIR,29.5
Covid19Sim-Simulator,33.1
TTU-squider,37.9
