,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Alabama,2788,2916.6,2656.0,,2458.0,3359.4,2685.0,2366.8,,2768.9,2681.2,2355.0,,2648.0,128.6,-132.0,,-330.0,571.4,-103.0,-421.2,,-19.1,-106.8,-433.0,,-140.0,False,,False,False,True,False,,True,True,False,,False
Alaska,67,63.4,59.0,,77.3,31.1,,35.8,,47.3,57.7,34.0,,55.7,-3.6,-8.0,,10.3,-35.9,,-31.2,,-19.7,-9.3,-33.0,,-11.3,False,,False,False,,False,,False,False,False,,False
Arizona,5824,6853.1,5860.0,,4551.2,6781.8,7146.0,5730.4,,6462.2,5457.4,5469.0,,5840.7,1029.1,36.0,,-1272.8,957.8,1322.0,-93.6,,638.2,-366.6,-355.0,,16.7,True,,False,True,False,True,,True,True,True,,True
Arkansas,1684,1378.4,1005.0,,1003.0,1173.9,1179.0,926.2,,1142.6,999.0,1059.0,,1109.0,-305.6,-679.0,,-681.0,-510.1,-505.0,-757.8,,-541.4,-685.0,-625.0,,-575.0,False,,False,False,False,False,,False,False,False,,False
California,16956,19303.0,15918.0,,15906.2,23825.6,19453.0,15128.7,,18022.5,16531.7,16502.0,,17382.3,2347.0,-1038.0,,-1049.8,6869.6,2497.0,-1827.3,,1066.5,-424.3,-454.0,,426.3,True,,True,False,False,True,,True,True,True,,True
Colorado,2176,2090.9,2219.0,,2112.2,2114.9,2194.0,2090.1,,2045.3,2466.3,2018.0,,2121.6,-85.1,43.0,,-63.8,-61.1,18.0,-85.9,,-130.7,290.3,-158.0,,-54.4,True,,True,True,True,False,,False,False,False,,True
Connecticut,4542,4515.0,4723.0,,4506.5,4531.0,4579.0,4492.1,,4513.8,4792.3,4479.0,,4528.5,-27.0,181.0,,-35.5,-11.0,37.0,-49.9,,-28.2,250.3,-63.0,,-13.5,False,,False,True,False,False,,False,False,False,,True
Delaware,686,655.0,692.0,,642.4,628.2,643.0,630.8,,642.4,719.1,634.0,,661.9,-17.0,20.0,,-29.6,-43.8,-29.0,-41.2,,-29.6,47.1,-38.0,,-10.1,False,,False,False,False,False,,False,False,False,,True
District of Columbia,641,659.0,676.0,,635.5,666.5,625.0,637.2,,638.7,690.4,642.0,,644.2,18.0,35.0,,-5.5,25.5,-16.0,-3.8,,-2.3,49.4,1.0,,3.2,False,,True,False,True,True,,True,False,True,,True
Florida,15917,17184.3,13868.0,,11583.7,18189.4,16970.0,12489.3,,16272.6,13237.2,12946.0,,13934.6,1267.3,-2049.0,,-4333.3,2272.4,1053.0,-3427.7,,355.6,-2679.8,-2971.0,,-1982.4,False,,False,False,True,False,,True,False,False,,False
Georgia,7607,8510.6,6681.0,,6333.0,9358.0,6662.0,6298.8,,7703.1,7248.9,6882.0,,7196.9,903.6,-926.0,,-1274.0,1751.0,-945.0,-1308.2,,96.1,-358.1,-725.0,,-410.1,False,,False,False,False,False,,True,True,True,,True
Hawaii,186,102.0,86.0,,320.1,82.8,,77.4,,108.5,146.5,120.0,,118.9,-84.0,-100.0,,134.1,-103.2,,-108.6,,-77.5,-39.5,-66.0,,-67.1,False,,False,False,,False,,True,True,True,,True
Idaho,529,605.6,476.0,,489.1,508.1,439.0,358.0,,503.1,436.2,447.0,,543.3,76.6,-53.0,,-39.9,-20.9,-90.0,-171.0,,-25.9,-92.8,-82.0,,14.3,True,,True,True,False,False,,True,False,False,,True
Illinois,9452,9141.9,9307.0,,9213.2,8942.6,8880.0,8356.0,,8824.2,12387.9,9360.0,,9091.9,-310.1,-145.0,,-238.8,-509.4,-572.0,-1096.0,,-627.8,2935.9,-92.0,,-360.1,True,,True,False,False,False,,False,False,True,,False
Indiana,4025,3903.6,3692.0,,3710.3,4381.0,3756.0,3639.4,,3673.8,4702.7,3807.0,,3959.9,-165.4,-377.0,,-358.7,312.0,-313.0,-429.6,,-395.2,633.7,-262.0,,-109.1,False,,False,False,False,False,,False,False,False,,True
Iowa,1528,1524.1,1353.0,,1400.2,1624.0,1398.0,1235.0,,1391.9,1669.9,1500.0,,1428.3,-3.9,-175.0,,-127.8,96.0,-130.0,-293.0,,-136.1,141.9,-28.0,,-99.7,False,,False,False,False,False,,False,False,False,,False
Kansas,859,583.1,640.0,,743.4,653.4,598.0,515.3,,588.5,744.7,611.0,,596.1,-275.9,-219.0,,-115.6,-205.6,-261.0,-343.7,,-270.5,-114.3,-248.0,,-262.9,True,,True,True,True,False,,True,True,True,,True
Kentucky,1312,1359.1,1115.0,,1247.0,1404.4,1121.0,1029.5,,1377.1,1357.6,1348.0,,1228.1,47.1,-197.0,,-65.0,92.4,-191.0,-282.5,,65.1,45.6,36.0,,-83.9,False,,False,False,False,False,,False,True,True,,False
Louisiana,5727,6623.9,5528.0,,4855.6,6583.6,6009.0,5651.1,,6396.1,5787.8,5212.0,,5719.6,896.9,-199.0,,-871.4,856.6,282.0,-75.9,,669.1,60.8,-515.0,,-7.4,True,,True,True,True,True,,True,True,True,,True
Maine,146,162.4,154.0,,143.2,139.2,176.0,158.8,,142.0,198.3,154.0,,151.8,16.4,8.0,,-2.8,-6.8,30.0,12.8,,-4.0,52.3,8.0,,5.8,True,,True,True,False,True,,True,False,True,,True
Maryland,4036,4099.6,4258.0,,4050.4,4200.0,3897.0,4258.5,,3980.2,4645.5,3895.0,,4083.3,63.6,222.0,,14.4,164.0,-139.0,222.5,,-55.8,609.5,-141.0,,47.3,False,,True,False,False,False,,True,False,False,,True
Massachusetts,9723,9573.1,9574.0,,8874.3,9934.2,9706.0,9084.3,,9330.0,9081.0,9475.0,,9522.5,-149.9,-149.0,,-848.7,211.2,-17.0,-638.7,,-393.0,-642.0,-248.0,,-200.5,True,,False,False,True,False,,False,False,False,,False
