,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Alabama,2788,3183.7,,2758.7,3028.0,2390.8,2774.0,2769.8,2721.3,,2831.7,2994.9,2880.0,,2731.0,395.7,,-29.3,240.0,-397.2,-14.0,-18.2,-66.7,,43.7,206.9,92.0,,-57.0,,True,True,False,True,True,True,,True,True,True,,True
Alaska,67,71.3,,75.4,66.0,37.3,,49.9,44.1,,59.2,62.2,78.0,,63.7,4.3,,8.4,-1.0,-29.7,,-17.1,-22.9,,-7.8,-4.8,11.0,,-3.3,,False,True,False,,False,False,,False,False,False,,True
Arizona,5824,6806.0,,5995.1,6290.0,6227.3,6591.0,5721.4,5638.8,,6417.7,5519.2,5724.0,,5870.6,982.0,,171.1,466.0,403.3,767.0,-102.6,-185.2,,593.7,-304.8,-100.0,,46.6,,True,True,True,True,True,True,,True,True,True,,True
Arkansas,1684,1449.1,,1282.4,1240.0,1263.1,1323.0,1180.1,991.7,,1265.1,1123.9,1292.0,,1194.8,-234.9,,-401.6,-444.0,-420.9,-361.0,-503.9,-692.3,,-418.9,-560.1,-392.0,,-489.2,,False,False,False,False,False,False,,False,False,False,,False
California,16956,18313.0,,17673.9,19079.0,20613.8,17838.0,15469.3,15538.2,,17536.6,16468.8,15646.0,,17164.2,1357.0,,717.9,2123.0,3657.8,882.0,-1486.7,-1417.8,,580.6,-487.2,-1310.0,,208.2,,True,False,False,True,False,False,,True,True,True,,True
Colorado,2176,2106.6,,2077.6,2029.0,2094.7,2141.0,2006.6,2035.8,,2061.5,2405.0,2053.0,,2095.5,-69.4,,-98.4,-147.0,-81.3,-35.0,-169.4,-140.2,,-114.5,229.0,-123.0,,-80.5,,False,False,False,True,False,False,,False,False,False,,False
Connecticut,4542,4499.3,,4542.0,4480.0,4507.3,4571.0,4496.8,4490.5,,4507.0,4998.3,4521.0,,4547.7,-42.7,,0.0,-62.0,-34.7,29.0,-45.2,-51.5,,-35.0,456.3,-21.0,,5.7,,True,False,True,True,False,False,,True,False,True,,True
Delaware,664,631.4,,637.5,618.0,629.7,647.0,639.4,617.2,,630.8,712.5,632.0,,644.8,-32.6,,-26.5,-46.0,-34.3,-17.0,-24.6,-46.8,,-33.2,48.5,-32.0,,-19.2,,True,False,False,True,True,False,,False,False,True,,True
District of Columbia,641,619.7,,632.1,619.0,680.7,629.0,619.3,619.3,,620.0,704.9,628.0,,633.9,-21.3,,-8.9,-22.0,39.7,-12.0,-21.7,-21.7,,-21.0,63.9,-13.0,,-7.1,,True,False,False,True,False,False,,True,False,True,,True
Florida,15917,16563.6,,13610.4,15412.0,18606.4,15642.0,13381.9,13123.8,,15997.1,13278.1,13439.0,,13981.4,646.6,,-2306.6,-505.0,2689.4,-275.0,-2535.1,-2793.2,,80.1,-2638.9,-2478.0,,-1935.6,,False,True,False,True,False,False,,True,False,False,,False
Georgia,7607,8840.6,,7627.4,7575.0,8906.1,7280.0,7038.0,7127.1,,8026.6,7426.8,7723.0,,7584.9,1233.6,,20.4,-32.0,1299.1,-327.0,-569.0,-479.9,,419.6,-180.2,116.0,,-22.1,,True,True,False,True,True,True,,True,True,True,,True
Hawaii,186,172.7,,221.6,148.0,62.3,,119.0,103.8,,135.0,155.3,202.0,,153.3,-13.3,,35.6,-38.0,-123.7,,-67.0,-82.2,,-51.0,-30.7,16.0,,-32.7,,False,False,False,,False,False,,False,False,False,,False
Idaho,529,715.6,,592.0,515.0,689.7,629.0,506.8,406.8,,580.0,491.4,535.0,,581.1,186.6,,63.0,-14.0,160.7,100.0,-22.2,-122.2,,51.0,-37.6,6.0,,52.1,,True,True,True,True,True,True,,True,True,True,,True
Illinois,9452,9181.1,,9380.2,8801.0,9941.6,8908.0,8751.3,8565.6,,8877.0,11244.8,9073.0,,9054.5,-270.9,,-71.8,-651.0,489.6,-544.0,-700.7,-886.4,,-575.0,1792.8,-379.0,,-397.5,,True,False,False,False,False,False,,False,False,False,,False
Indiana,3918,3777.9,,3881.5,3961.0,4214.2,3799.0,3605.1,3588.4,,3677.9,5037.3,3840.0,,3691.6,-140.1,,-36.5,43.0,296.2,-119.0,-312.9,-329.6,,-240.1,1119.3,-78.0,,-226.4,,True,True,False,True,False,False,,False,False,True,,False
Iowa,1528,1634.1,,2084.1,1543.0,1938.5,1610.0,1480.5,1254.8,,1455.1,2337.2,1886.0,,1646.3,106.1,,556.1,15.0,410.5,82.0,-47.5,-273.2,,-72.9,809.2,358.0,,118.3,,False,True,False,True,True,False,,True,False,False,,False
Kansas,859,606.7,,715.2,661.0,610.5,593.0,523.6,479.4,,605.8,683.5,650.0,,597.3,-252.3,,-143.8,-198.0,-248.5,-266.0,-335.4,-379.6,,-253.2,-175.5,-209.0,,-261.7,,True,True,True,False,False,False,,False,True,True,,False
Kentucky,1312,1319.9,,1397.9,1333.0,1924.5,1162.0,1146.1,1029.7,,1303.1,1572.7,1299.0,,1244.8,7.9,,85.9,21.0,612.5,-150.0,-165.9,-282.3,,-8.9,260.7,-13.0,,-67.2,,False,False,False,False,False,False,,False,False,False,,False
Louisiana,5727,6199.6,,5507.3,5681.0,6238.9,6199.0,5905.3,5255.5,,6282.8,5893.2,5452.0,,5741.9,472.6,,-219.7,-46.0,511.9,472.0,178.3,-471.5,,555.8,166.2,-275.0,,14.9,,True,True,False,True,True,True,,False,True,True,,True
Maine,146,138.9,,161.1,140.0,147.5,194.0,149.0,137.0,,140.6,184.7,159.0,,145.9,-7.1,,15.1,-6.0,1.5,48.0,3.0,-9.0,,-5.4,38.7,13.0,,-0.1,,False,True,True,False,True,False,,True,False,False,,True
Maryland,4036,4170.3,,4011.4,3838.0,3963.8,3918.0,3931.0,4016.1,,4006.2,4675.3,4014.0,,4083.2,134.3,,-24.6,-198.0,-72.2,-118.0,-105.0,-19.9,,-29.8,639.3,-22.0,,47.2,,True,False,True,True,True,True,,True,False,True,,True
Massachusetts,9723,9926.7,,9677.4,9260.0,9938.4,9773.0,9413.6,9539.4,,9453.0,9144.6,9775.0,,9565.2,203.7,,-45.6,-463.0,215.4,50.0,-309.4,-183.6,,-270.0,-578.4,52.0,,-157.8,,True,False,False,True,False,True,,False,False,True,,True
Michigan,7340,7358.3,,7336.1,7180.0,7553.7,7292.0,7089.2,7519.7,,6985.2,9256.0,7175.0,,7155.6,18.3,,-3.9,-160.0,213.7,-48.0,-250.8,179.7,,-354.8,1916.0,-165.0,,-184.4,,True,False,False,False,False,False,,False,False,False,,False
Minnesota,2270,2221.6,,2347.4,1921.0,2679.1,2201.0,2179.3,2040.7,,2247.5,3219.1,2369.0,,2206.0,-48.4,,77.4,-349.0,409.1,-69.0,-90.7,-229.3,,-22.5,949.1,99.0,,-64.0,,False,False,False,False,False,False,,True,False,False,,False
Mississippi,3171,3819.3,,3336.0,3089.0,3222.9,3623.0,2954.1,2852.3,,3379.3,3279.5,3143.0,,3108.3,648.3,,165.0,-82.0,51.9,452.0,-216.9,-318.7,,208.3,108.5,-28.0,,-62.7,,True,True,True,True,True,True,,True,True,True,,True
Missouri,2581,2081.6,,2127.1,2173.0,3058.7,1888.0,1852.9,1697.7,,1932.9,2718.4,2004.0,,1984.7,-499.4,,-453.9,-408.0,477.7,-693.0,-728.1,-883.3,,-648.1,137.4,-577.0,,-596.3,,True,True,True,False,False,False,,False,True,False,,False
Montana,239,200.0,,190.5,161.0,106.3,183.0,157.5,175.3,,169.6,209.7,194.0,,176.1,-39.0,,-48.5,-78.0,-132.7,-56.0,-81.5,-63.7,,-69.4,-29.3,-45.0,,-62.9,,False,False,False,False,False,False,,False,True,False,,False
