,total_deaths_2020-10-04,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
QJHong-Encounter,209909,219614.8,219813,9893.8,9904,-10.2,-0.1%
IowaStateLW-STEM,209909,219712.0,219813,9991.0,9904,87.0,0.9%
OliverWyman-Navigator,209909,219720.2,219813,9999.2,9904,95.2,1.0%
JHUAPL-Bucky,209909,219507.5,219813,9786.5,9904,-117.5,-1.2%
LNQ-ens1,209909,219431.7,219813,9710.7,9904,-193.3,-2.0%
USC-SI_kJalpha,209909,219833.0,219813,10112.0,9904,208.0,2.1%
Karlen-pypm,209909,219372.7,219813,9651.7,9904,-252.3,-2.5%
UMass-MechBayes,209909,219232.0,219813,9511.0,9904,-393.0,-4.0%
COVIDhub-baseline,209909,219171.6,219813,9450.6,9904,-453.4,-4.6%
YYG-ParamSearch,209909,219150.7,219813,9429.7,9904,-474.3,-4.8%
GT-DeepCOVID,209909,220100.2,219813,10379.2,9904,475.2,4.8%
IQVIA_ACOE-STAN,209909,219120.0,219813,9399.0,9904,-505.0,-5.1%
MIT_CritData-GBCF,209909,219080.0,219813,9359.0,9904,-545.0,-5.5%
RPI_UW-Mob_Collision,209909,219020.2,219813,9299.2,9904,-604.8,-6.1%
JCB-PRM,209909,218954.0,219813,9233.0,9904,-671.0,-6.8%
Baseline,209909,218941.7,219813,9220.7,9904,-683.3,-6.9%
CEID-Walk,209909,218929.3,219813,9208.3,9904,-695.7,-7.0%
UA-EpiCovDA,209909,220357.0,219813,10636.0,9904,732.0,7.4%
UCLA-SuEIR,209909,218888.2,219813,9167.2,9904,-736.8,-7.4%
UMich-RidgeTfReg,209909,220528.9,219813,10807.9,9904,903.9,9.1%
COVIDhub-ensemble,209909,218697.0,219813,8976.0,9904,-928.0,-9.4%
SteveMcConnell-CovidComplete,209909,220679.0,219813,10958.0,9904,1054.0,10.6%
JHU_IDD-CovidSP,209909,218561.0,219813,8840.0,9904,-1064.0,-10.7%
CU-select,209909,218556.0,219813,8835.0,9904,-1069.0,-10.8%
MOBS-GLEAM_COVID,209909,218406.6,219813,8685.6,9904,-1218.4,-12.3%
UT-Mobility,209909,218396.0,219813,8675.0,9904,-1229.0,-12.4%
STH-3PU,209909,218309.0,219813,8588.0,9904,-1316.0,-13.3%
Covid19Sim-Simulator,209909,218037.3,219813,8316.3,9904,-1587.7,-16.0%
Columbia_UNC-SurvCon,209909,221245.0,219813,11524.0,9904,1620.0,16.4%
CovidAnalytics-DELPHI,209909,217603.0,219813,7882.0,9904,-2022.0,-20.4%
UCSD_NEU-DeepGLEAM,209909,217540.1,219813,7819.1,9904,-2084.9,-21.1%
NotreDame-mobility,209909,217400.7,219813,7679.7,9904,-2224.3,-22.5%
WalmartLabsML-LogForecasting,209909,217074.1,219813,7353.1,9904,-2550.9,-25.8%
DDS-NBDS,209909,216986.8,219813,7265.8,9904,-2638.2,-26.6%
PSI-DRAFT,209909,216897.0,219813,7176.0,9904,-2728.0,-27.5%
LANL-GrowthRate,209909,216834.8,219813,7113.8,9904,-2790.2,-28.2%
BPagano-RtDriven,209909,216550.7,219813,6829.7,9904,-3074.3,-31.0%
RobertWalraven-ESG,209909,216478.6,219813,6757.6,9904,-3146.4,-31.8%
UCM_MESALab-FoGSEIR,209909,223903.0,219813,14182.0,9904,4278.0,43.2%
epiforecasts-ensemble1,209909,213660.0,219813,3939.0,9904,-5965.0,-60.2%
TTU-squider,209909,225815.8,219813,16094.8,9904,6190.8,62.5%
CMU-TimeSeries,209909,,219813,,9904,,
Google_Harvard-CPF,209909,,219813,,9904,,
JHU_CSSE-DECOM,209909,,219813,,9904,,
NotreDame-FRED,209909,,219813,,9904,,
