,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Alabama,2788,2715.3,2991.0,2817.1,2904.0,,2714.0,2719.8,2656.3,2905.9,2719.4,2665.0,2671.6,,3142.2,2409.0,,2520.2,,2692.8,,2786.3,2734.0,2489.5,2711.5,-72.7,203.0,29.1,116.0,,-74.0,-68.2,-131.7,117.9,-68.6,-123.0,-116.4,,354.2,-379.0,,-267.8,,-95.2,,-1.7,-54.0,-298.5,-76.5,False,True,False,,False,True,False,False,True,False,False,,False,False,,False,,False,,True,True,False,False
Alaska,67,53.7,87.0,71.2,65.0,,,66.0,63.4,94.8,59.7,58.2,97.4,,52.7,78.0,,49.6,,52.7,,64.6,59.0,52.5,61.8,-13.3,20.0,4.2,-2.0,,,-1.0,-3.6,27.8,-7.3,-8.8,30.4,,-14.3,11.0,,-17.4,,-14.3,,-2.4,-8.0,-14.5,-5.2,False,True,True,,,True,True,False,True,True,False,,False,True,,False,,False,,True,True,False,True
Arizona,5824,5812.6,5909.0,5897.5,6070.0,,6217.0,5739.9,5497.5,5726.5,5561.9,5767.7,5815.4,,5636.3,5760.0,,5472.8,,5894.4,,5695.8,5656.0,5901.0,5628.7,-11.4,85.0,73.5,246.0,,393.0,-84.1,-326.5,-97.5,-262.1,-56.3,-8.6,,-187.7,-64.0,,-351.2,,70.4,,-128.2,-168.0,77.0,-195.3,False,False,False,,False,False,False,False,False,False,True,,False,False,,False,,False,,False,False,False,False
Arkansas,1684,1403.6,1860.0,1560.1,1303.0,,1636.0,1528.5,1184.8,1383.0,1331.1,1385.4,1333.8,,1226.8,1587.0,,1208.5,,1325.0,,1294.9,1476.0,1178.1,1303.2,-280.4,176.0,-123.9,-381.0,,-48.0,-155.5,-499.2,-301.0,-352.9,-298.6,-350.2,,-457.2,-97.0,,-475.5,,-359.0,,-389.1,-208.0,-505.9,-380.8,True,True,False,,True,True,False,False,False,False,False,,False,True,,False,,False,,False,True,False,False
California,16956,17520.6,15873.0,16184.4,17732.0,,17782.0,16351.1,15705.6,17790.7,16764.8,15955.8,17708.0,,16137.8,15799.0,,15866.6,,17016.9,22394.0,16576.3,16265.0,16351.6,17066.4,564.6,-1083.0,-771.6,776.0,,826.0,-604.9,-1250.4,834.7,-191.2,-1000.2,752.0,,-818.2,-1157.0,,-1089.4,,60.9,5438.0,-379.7,-691.0,-604.4,110.4,False,False,False,,False,False,False,False,True,False,False,,False,False,,False,,True,False,True,False,False,True
Colorado,2176,2065.7,2398.0,2110.3,2035.0,,2182.0,2081.2,2223.3,2233.8,2060.6,2059.8,2104.2,,2158.8,2131.0,,2065.2,,2059.5,,2383.6,2084.0,2061.6,2085.5,-110.3,222.0,-65.7,-141.0,,6.0,-94.8,47.3,57.8,-115.4,-116.2,-71.8,,-17.2,-45.0,,-110.8,,-116.5,,207.6,-92.0,-114.4,-90.5,False,True,False,,True,True,True,True,False,False,True,,True,True,,False,,False,,False,True,False,True
Connecticut,4542,4538.3,4617.0,4529.4,4484.0,,4564.0,4515.5,4634.9,4572.3,4510.2,4501.9,4575.9,,4530.3,4498.0,,4503.2,,4526.0,,4799.4,4522.0,4530.0,4537.2,-3.7,75.0,-12.6,-58.0,,22.0,-26.5,92.9,30.3,-31.8,-40.1,33.9,,-11.7,-44.0,,-38.8,,-16.0,,257.4,-20.0,-12.0,-4.8,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,False,False
Delaware,686,644.1,679.0,652.9,622.0,,639.0,646.7,676.3,646.8,631.8,633.2,636.1,,641.4,620.0,,637.5,,634.9,,731.7,651.0,639.2,641.2,-26.9,8.0,-18.1,-49.0,,-32.0,-24.3,5.3,-24.2,-39.2,-37.8,-34.9,,-29.6,-51.0,,-33.5,,-36.1,,60.7,-20.0,-31.8,-29.8,True,True,False,,False,True,True,True,False,False,False,,False,False,,False,,False,,False,True,False,False
District of Columbia,641,640.3,638.0,635.4,621.0,,635.0,631.2,666.9,636.6,634.8,626.9,632.6,,630.3,629.0,,621.7,,633.8,,692.0,634.0,628.1,632.8,-0.7,-3.0,-5.6,-20.0,,-6.0,-9.8,25.9,-4.4,-6.2,-14.1,-8.4,,-10.7,-12.0,,-19.3,,-7.2,,51.0,-7.0,-12.9,-8.2,False,False,False,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,False,False
Florida,15917,16294.6,15616.0,14966.5,15042.0,,15682.0,14654.5,13312.3,15925.7,14389.3,14761.6,19194.4,,14438.1,14620.0,,13390.3,,15769.6,,14272.2,15381.0,14482.9,14429.0,377.6,-301.0,-950.5,-875.0,,-235.0,-1262.5,-2604.7,8.7,-1527.7,-1155.4,3277.4,,-1478.9,-1297.0,,-2526.7,,-147.4,,-1644.8,-536.0,-1434.1,-1488.0,True,False,False,,True,False,False,True,False,False,False,,False,False,,False,,True,,False,False,False,False
