,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit
Alabama,2788,1861.1,2215.0,1494.0,-926.9,-573.0,-1294.0,True,False
Alaska,67,10.0,15.1,15.2,-57.0,-51.9,-51.8,True,True
Arizona,5824,3766.4,2397.0,8958.4,-2057.6,-3427.0,3134.4,False,False
Arkansas,1684,550.0,637.8,4514.5,-1134.0,-1046.2,2830.5,True,False
California,16956,13306.3,13286.5,12148.8,-3649.7,-3669.5,-4807.2,False,False
Colorado,2176,3073.3,1981.4,2362.9,897.3,-194.6,186.9,True,True
Connecticut,4542,6465.9,4705.3,4330.9,1923.9,163.3,-211.1,True,True
Delaware,664,1001.4,488.1,525.2,337.4,-175.9,-138.8,True,True
District of Columbia,641,922.7,616.7,651.7,281.7,-24.3,10.7,True,True
Florida,15917,7395.4,4318.7,7429.4,-8521.6,-11598.3,-8487.6,False,True
Georgia,7607,4574.9,3417.0,8830.9,-3032.1,-4190.0,1223.9,False,True
Hawaii,186,17.0,17.8,2651.0,-169.0,-168.2,2465.0,True,False
Idaho,529,101.9,191.6,618.4,-427.1,-337.4,89.4,True,True
Illinois,9452,15596.6,7810.0,7900.5,6144.6,-1642.0,-1551.5,True,True
Indiana,3918,5489.9,2888.7,3325.9,1571.9,-1029.3,-592.1,True,True
Iowa,1528,1925.0,1002.3,3649.4,397.0,-525.7,2121.4,False,False
Kansas,859,572.4,329.7,1920.2,-286.6,-529.3,1061.2,False,False
Kentucky,1312,1205.4,689.5,1294.8,-106.6,-622.5,-17.2,False,True
Louisiana,5727,5670.3,3646.2,3262.4,-56.7,-2080.8,-2464.6,False,False
Maine,146,287.6,191.7,2725.4,141.6,45.7,2579.4,True,False
Maryland,4036,6841.0,5047.6,3866.7,2805.0,1011.6,-169.3,True,True
Massachusetts,9723,16178.9,9168.4,8163.7,6455.9,-554.6,-1559.3,True,True
Michigan,7340,13513.3,6211.5,7134.3,6205.3,-1096.5,-173.7,True,True
Minnesota,2270,3969.0,1859.5,3778.2,1699.0,-410.5,1508.2,True,True
Mississippi,3171,2382.1,1416.9,1508.6,-788.9,-1754.1,-1662.4,False,False
Missouri,2566,1550.4,1116.3,1415.8,-980.6,-1414.7,-1115.2,False,False
Montana,239,36.9,19.8,20.4,-202.1,-219.2,-218.6,False,False
Nebraska,547,507.6,531.4,4562.8,-39.4,-15.6,4015.8,True,False
Nevada,1707,834.0,581.8,918.9,-873.0,-1125.2,-788.1,False,True
New Hampshire,466,1059.1,347.0,799.1,593.1,-119.0,333.1,True,True
New Jersey,16204,21189.7,12948.6,13319.7,6825.7,-1415.4,-1044.3,True,True
New Mexico,929,1150.3,570.2,961.5,221.3,-358.8,32.5,False,True
New York,33547,41499.7,32167.1,31824.0,8804.7,-527.9,-871.0,True,True
North Carolina,3929,2823.4,3825.4,17625.5,-1105.6,-103.6,13696.5,True,False
North Dakota,399,279.4,130.7,306.1,-119.6,-268.3,-92.9,False,True
Ohio,5067,6603.0,3433.0,5314.9,1536.0,-1634.0,247.9,False,True
Oklahoma,1162,612.0,427.2,516.3,-550.0,-734.8,-645.7,False,False
Oregon,619,351.6,180.0,658.5,-267.4,-439.0,39.5,False,True
Pennsylvania,8442,13259.6,6946.3,7982.0,4817.6,-1495.7,-460.0,True,True
Rhode Island,1152,1790.3,943.1,1046.3,738.3,-108.9,-5.7,True,True
South Carolina,3637,1526.6,1181.7,936.9,-2110.4,-2455.3,-2700.1,False,False
South Dakota,315,121.6,161.8,126.8,-193.4,-153.2,-188.2,True,True
Tennessee,2903,1436.3,893.1,1638.6,-1466.7,-2009.9,-1264.4,False,True
Texas,17723,4971.3,4604.5,10703.1,-12550.7,-12917.5,-6818.9,False,True
Utah,540,271.9,966.4,4254.6,-268.1,426.4,3714.6,False,False
Vermont,58,55.0,57.8,101.2,-3.0,-0.2,43.2,True,False
Virginia,3422,3082.7,2318.6,2411.7,-328.3,-1092.4,-999.3,False,False
Washington,2211,1892.4,1907.7,1795.0,-305.6,-290.3,-403.0,True,False
West Virginia,401,253.7,168.6,325.4,-147.3,-232.4,-75.6,False,True
Wisconsin,1761,1684.1,1600.9,6463.3,-28.9,-112.1,4750.3,False,False
Wyoming,57,35.9,28.6,59.3,-21.1,-28.4,2.3,False,True
US,219916,226164.9,152922.4,219149.1,9363.9,-63878.6,2348.1,False,True
