,actual_deaths,Baseline,Covid19Sim-Simulator,error-Baseline,error-Covid19Sim-Simulator,beat_baseline-Covid19Sim-Simulator
Alabama,2788,2198.7,2276.7,-589.3,-511.3,True
Alaska,67,10.0,11.7,-57.0,-55.3,True
Arizona,5824,3011.9,1998.2,-2812.1,-3825.8,False
Arkansas,1684,470.6,500.0,-1213.4,-1184.0,True
California,16956,12492.1,11940.7,-4463.9,-5015.3,False
Colorado,2176,3688.9,1922.5,1512.9,-253.5,True
Connecticut,4542,8928.1,4937.7,4386.1,395.7,True
Delaware,664,1160.3,506.1,496.3,-157.9,True
District of Columbia,641,1141.1,634.8,500.1,-6.2,True
Florida,15917,6700.4,3950.8,-9216.6,-11966.2,False
Georgia,7607,6540.7,3304.0,-1066.3,-4303.0,False
Hawaii,186,17.0,17.8,-169.0,-168.2,True
Idaho,529,141.6,180.0,-387.4,-349.0,True
Illinois,9452,15993.7,8225.4,6541.7,-1226.6,True
Indiana,3918,5271.4,2805.3,1353.4,-1112.7,True
Iowa,1528,2103.7,977.6,575.7,-550.4,True
Kansas,859,413.6,326.5,-445.4,-532.5,False
Kentucky,1312,1225.3,626.1,-86.7,-685.9,False
Louisiana,5727,4776.7,3643.5,-950.3,-2083.5,False
Maine,146,307.4,198.2,161.4,52.2,True
Maryland,4036,7595.6,5240.0,3559.6,1204.0,True
Massachusetts,9723,16258.3,8734.4,6535.3,-988.6,True
Michigan,7340,10713.4,6243.6,3613.4,-856.4,True
Minnesota,2270,4465.4,2080.6,2195.4,-189.4,True
Mississippi,3171,2898.4,1336.3,-272.6,-1834.7,False
Missouri,2581,2563.1,988.8,20.1,-1554.2,False
Montana,239,36.9,18.3,-202.1,-220.7,False
Nebraska,547,626.7,549.7,79.7,2.7,True
Nevada,1707,1151.7,559.0,-555.3,-1148.0,False
New Hampshire,466,959.9,339.9,493.9,-126.1,True
New Jersey,16204,22818.0,12820.1,8434.0,-1563.9,True
New Mexico,929,1130.4,556.6,201.4,-372.4,False
New York,33547,42552.1,32297.0,9920.1,-335.0,True
North Carolina,3929,3975.1,3650.2,46.1,-278.8,False
North Dakota,399,219.9,149.8,-179.1,-249.2,False
Ohio,5067,5848.4,3442.8,781.4,-1624.2,False
Oklahoma,1162,790.7,423.1,-371.3,-738.9,False
Oregon,619,252.3,173.1,-366.7,-445.9,False
Pennsylvania,8442,13875.1,6901.2,5433.1,-1540.8,True
Rhode Island,1152,2902.3,908.6,1857.3,-136.4,True
South Carolina,3637,1665.6,1018.2,-1971.4,-2618.8,False
South Dakota,315,300.3,179.3,-14.7,-135.7,False
Tennessee,2903,920.0,729.5,-1983.0,-2173.5,False
Texas,17509,4594.0,4348.9,-12760.0,-13005.1,False
Utah,540,430.7,873.9,-109.3,333.9,False
Vermont,58,74.9,57.0,16.9,-1.0,True
Virginia,3422,5425.9,2267.2,2003.9,-1154.8,True
Washington,2211,2249.9,1766.7,43.9,-439.3,False
West Virginia,401,134.6,165.4,-266.4,-235.6,True
Wisconsin,1761,2220.3,1638.6,517.3,-64.4,True
Wyoming,57,95.4,32.3,38.4,-24.7,True
US,219717,236669.3,149752.8,20290.3,-66626.2,False
