,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,7607,7633.7,7610.6,7649.1,7647.0,7653.0,7613.0,7575.0,7594.2,7420.2,7621.0,7645.4,7614.1,7655.9,7609.8,,7650.0,7581.0,7587.4,7552.0,7561.5,7614.6,7619.0,7624.3,7571.0,7694.5,7628.2,,7555.8,7644.1,7348.0,,7618.8,7570.8,,7605.0,7672.2,7637.0,7647.2,,7694.5,7604.0,7636.0,7581.2,7595.0,7594.0,7438.5,7671.0,26.7,3.6,42.1,40.0,46.0,6.0,-32.0,-12.8,-186.8,14.0,38.4,7.1,48.9,2.8,,43.0,-26.0,-19.6,-55.0,-45.5,7.6,12.0,17.3,-36.0,87.5,21.2,,-51.2,37.1,-259.0,,11.8,-36.2,,-2.0,65.2,30.0,40.2,,87.5,-3.0,29.0,-25.8,-12.0,-13.0,-168.5,64.0,True,False,False,False,True,False,True,False,True,False,True,False,True,,False,True,True,False,False,True,True,True,False,False,True,,False,False,False,,True,False,,True,False,False,False,,False,True,False,True,True,True,False,False
Hawaii,186,180.1,191.4,184.0,183.0,183.0,181.0,176.0,205.5,165.0,180.0,186.3,,184.0,176.9,,,,181.9,185.1,191.2,180.5,184.5,177.9,182.0,175.4,186.5,,177.3,181.1,181.0,,,178.7,,186.0,162.1,177.0,181.7,,174.6,181.0,183.8,173.1,184.0,187.0,178.3,185.0,-5.9,5.4,-2.0,-3.0,-3.0,-5.0,-10.0,19.5,-21.0,-6.0,0.3,,-2.0,-9.1,,,,-4.1,-0.9,5.2,-5.5,-1.5,-8.1,-4.0,-10.6,0.5,,-8.7,-4.9,-5.0,,,-7.3,,0.0,-23.9,-9.0,-4.3,,-11.4,-5.0,-2.2,-12.9,-2.0,1.0,-7.7,-1.0,True,True,True,True,True,False,False,False,False,True,,True,False,,,,True,True,True,True,True,False,True,False,True,,False,True,True,,,False,,True,False,False,True,,False,True,True,False,True,True,False,True
Idaho,529,528.4,548.8,534.1,534.0,534.0,535.0,547.0,537.7,502.1,527.0,529.1,541.4,537.4,532.1,,530.0,538.0,531.6,544.7,539.2,537.4,524.2,530.5,553.0,538.7,549.1,,543.1,536.5,520.0,,,516.4,,539.0,460.5,535.0,533.6,,540.5,527.0,530.2,539.5,538.0,522.0,524.0,533.0,-0.6,19.8,5.1,5.0,5.0,6.0,18.0,8.7,-26.9,-2.0,0.1,12.4,8.4,3.1,,1.0,9.0,2.6,15.7,10.2,8.4,-4.8,1.5,24.0,9.7,20.1,,14.1,7.5,-9.0,,,-12.6,,10.0,-68.5,6.0,4.6,,11.5,-2.0,1.2,10.5,9.0,-7.0,-5.0,4.0,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,False
Illinois,9452,9392.9,9448.5,9417.9,9418.0,9419.0,9411.0,9409.0,9427.8,9229.0,9395.0,9410.0,9387.4,9426.8,9366.6,,9430.0,9423.0,9431.6,9462.8,9391.9,9410.9,9414.2,9430.0,9386.0,9377.6,9444.1,9537.5,9344.7,9430.3,9420.0,,9383.9,9449.0,,9409.0,9429.3,9424.0,9407.3,,9381.2,9398.0,9430.2,9683.3,9437.0,9408.5,9093.9,9198.0,-59.1,-3.5,-34.1,-34.0,-33.0,-41.0,-43.0,-24.2,-223.0,-57.0,-42.0,-64.6,-25.2,-85.4,,-22.0,-29.0,-20.4,10.8,-60.1,-41.1,-37.8,-22.0,-66.0,-74.4,-7.9,85.5,-107.3,-21.7,-32.0,,-68.1,-3.0,,-43.0,-22.7,-28.0,-44.7,,-70.8,-54.0,-21.8,231.3,-15.0,-43.5,-358.1,-254.0,True,True,True,True,True,True,True,False,True,True,False,True,False,,True,True,True,True,False,True,True,True,False,False,True,False,False,True,True,,False,True,,True,True,True,True,,False,True,True,False,True,True,False,False
Indiana,3918,3887.6,3902.5,3892.9,3895.0,3895.0,3885.0,3895.0,3899.0,3780.3,3872.0,3871.4,3871.8,3906.7,3884.1,,3881.0,3857.0,3896.1,3925.1,3875.8,3890.1,3896.0,3904.1,3873.0,3874.1,3881.3,3829.0,3889.6,3925.0,3861.0,,3859.6,3865.6,,3884.0,4512.9,3894.0,3885.9,,3877.5,3885.0,3881.4,4003.9,3896.0,3890.0,3618.2,3918.0,-30.4,-15.5,-25.1,-23.0,-23.0,-33.0,-23.0,-19.0,-137.7,-46.0,-46.6,-46.2,-11.3,-33.9,,-37.0,-61.0,-21.9,7.1,-42.2,-27.9,-22.0,-13.9,-45.0,-43.9,-36.7,-89.0,-28.4,7.0,-57.0,,-58.4,-52.4,,-34.0,594.9,-24.0,-32.1,,-40.5,-33.0,-36.6,85.9,-22.0,-28.0,-299.8,0.0,True,True,True,True,False,True,True,False,False,False,False,True,False,,False,False,True,True,False,True,True,True,False,False,False,False,True,True,False,,False,False,,False,False,True,False,,False,False,False,False,True,True,False,True
Iowa,1528,1526.3,1555.5,1538.1,1537.0,1537.0,1528.0,1493.0,1525.2,1451.9,1520.0,1510.5,1527.1,1542.3,1519.7,,1530.0,1506.0,1519.7,1542.0,1516.6,1538.0,1520.2,1537.0,1549.0,1540.0,1537.5,,1515.9,1541.0,1531.0,,1518.7,1513.3,,1526.0,1766.1,1521.0,1533.5,,1542.0,1520.0,1529.0,1568.9,1537.0,1528.0,1497.8,1565.0,-1.7,27.5,10.1,9.0,9.0,0.0,-35.0,-2.8,-76.1,-8.0,-17.5,-0.9,14.3,-8.3,,2.0,-22.0,-8.3,14.0,-11.4,10.0,-7.8,9.0,21.0,12.0,9.5,,-12.1,13.0,3.0,,-9.3,-14.7,,-2.0,238.1,-7.0,5.5,,14.0,-8.0,1.0,40.9,9.0,0.0,-30.2,37.0,False,False,False,False,True,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,True,False,False,True,False,False
Kansas,859,846.0,903.0,859.4,855.0,856.0,837.0,785.0,836.2,739.6,811.0,832.2,861.1,842.7,853.8,,837.0,840.0,827.9,850.9,826.2,838.8,815.9,827.0,878.0,848.1,823.3,,798.4,857.6,856.0,,,798.6,,837.0,762.5,824.0,804.9,,852.4,829.0,840.3,821.6,850.0,827.0,802.9,870.0,-13.0,44.0,0.4,-4.0,-3.0,-22.0,-74.0,-22.8,-119.4,-48.0,-26.8,2.1,-16.3,-5.2,,-22.0,-19.0,-31.1,-8.1,-32.8,-20.2,-43.1,-32.0,19.0,-10.9,-35.7,,-60.6,-1.4,-3.0,,,-60.4,,-22.0,-96.5,-35.0,-54.1,,-6.6,-30.0,-18.7,-37.4,-9.0,-32.0,-56.1,11.0,False,True,True,True,False,False,False,False,False,False,True,False,True,,False,False,False,True,False,False,False,False,False,True,False,,False,True,True,,,False,,False,False,False,False,,True,False,False,False,True,False,False,True
Kentucky,1312,1288.9,1299.3,1294.7,1293.0,1293.0,1302.0,1312.0,1309.9,1251.8,1310.0,1304.1,1306.6,1293.5,1312.2,,1294.0,1324.0,1301.6,1338.5,1315.1,1308.6,1290.9,1297.5,1349.0,1302.6,1303.8,1323.0,1284.5,1299.1,1277.0,,1296.5,1283.9,,1303.0,1397.9,1296.0,1297.7,,1303.5,1300.0,1292.3,1345.0,1300.0,1295.0,1284.1,1306.0,-23.1,-12.7,-17.3,-19.0,-19.0,-10.0,0.0,-2.1,-60.2,-2.0,-7.9,-5.4,-18.5,0.2,,-18.0,12.0,-10.4,26.5,3.1,-3.4,-21.1,-14.5,37.0,-9.4,-8.2,11.0,-27.5,-12.9,-35.0,,-15.5,-28.1,,-9.0,85.9,-16.0,-14.3,,-8.5,-12.0,-19.7,33.0,-12.0,-17.0,-27.9,-6.0,True,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,False,True,True,True,True,False,True,True,True,False,True,False,,True,False,,True,False,True,True,,True,True,True,False,True,True,False,True
Louisiana,5727,5721.9,5751.6,5725.4,5724.0,5725.0,5723.0,5710.0,5703.7,5655.9,5714.0,5725.2,5732.1,5721.7,5715.4,,5717.0,5703.0,5705.9,5749.4,5688.2,5714.3,5740.9,5710.6,5708.0,5765.6,5725.2,,5726.3,5705.6,5692.0,,5725.8,5705.8,,5725.0,5584.0,5759.0,5810.0,,5762.7,5709.0,5755.3,5755.4,5717.0,5714.0,5543.2,5741.0,-5.1,24.6,-1.6,-3.0,-2.0,-4.0,-17.0,-23.3,-71.1,-13.0,-1.8,5.1,-5.3,-11.6,,-10.0,-24.0,-21.1,22.4,-38.8,-12.7,13.9,-16.4,-19.0,38.6,-1.8,,-0.7,-21.4,-35.0,,-1.2,-21.2,,-2.0,-143.0,32.0,83.0,,35.7,-18.0,28.3,28.4,-10.0,-13.0,-183.8,14.0,False,True,True,True,True,False,False,False,False,True,True,False,False,,False,False,False,False,False,False,False,False,False,False,True,,True,False,False,,True,False,,True,False,False,False,,False,False,False,False,False,False,False,False
Maine,146,143.9,145.3,144.0,144.0,144.0,144.0,143.0,144.2,143.4,145.0,145.5,144.8,144.1,145.2,,144.0,142.0,143.6,144.8,149.1,144.6,144.5,143.1,154.0,144.4,146.2,,143.7,144.1,144.0,,,143.8,,144.0,159.5,144.0,143.9,,146.6,145.0,146.0,149.6,145.0,145.0,144.6,,-2.1,-0.7,-2.0,-2.0,-2.0,-2.0,-3.0,-1.8,-2.6,-1.0,-0.5,-1.2,-1.9,-0.8,,-2.0,-4.0,-2.4,-1.2,3.1,-1.4,-1.5,-2.9,8.0,-1.6,0.2,,-2.3,-1.9,-2.0,,,-2.2,,-2.0,13.5,-2.0,-2.1,,0.6,-1.0,0.0,3.6,-1.0,-1.0,-1.4,,True,True,True,True,True,False,True,False,True,True,True,True,True,,True,False,False,True,False,True,True,False,False,True,True,,False,True,True,,,False,,True,False,True,True,,True,True,True,False,True,True,True,
