,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Maryland,4036,4034.1,4030.2,4033.8,4035.0,4033.0,4031.0,4088.0,4019.4,4003.2,4019.0,4032.9,4033.5,4032.7,4038.0,,4040.0,4025.0,4036.7,4031.4,4039.9,4035.0,4029.1,4033.9,4028.0,4037.7,4033.4,,4028.4,4037.5,4033.0,,4024.8,4014.6,4055.0,4028.0,4370.8,4031.0,4030.4,,4039.9,4032.0,4035.8,4114.8,4031.0,4086.0,4015.7,4101.0,-1.9,-5.8,-2.2,-1.0,-3.0,-5.0,52.0,-16.6,-32.8,-17.0,-3.1,-2.5,-3.3,2.0,,4.0,-11.0,0.7,-4.6,3.9,-1.0,-6.9,-2.1,-8.0,1.7,-2.6,,-7.6,1.5,-3.0,,-11.2,-21.4,19.0,-8.0,334.8,-5.0,-5.6,,3.9,-4.0,-0.2,78.8,-5.0,50.0,-20.3,65.0,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,True,False,False,False,True,False,,False,True,False,,False,False,False,False,False,False,False,,False,False,True,False,False,False,False,False
Massachusetts,9723,9684.6,9678.9,9661.2,9668.0,9667.0,9688.0,9760.0,9735.2,9650.8,9724.0,9683.4,9667.7,9643.5,9745.1,,9655.0,9660.0,9699.4,9756.2,9684.0,9712.5,9695.1,9689.1,9657.0,9669.5,9712.0,,9679.5,9691.3,9670.5,,9686.1,9625.9,,9714.0,10023.9,9690.0,9658.9,,9670.1,9689.0,9688.7,9811.3,9686.0,9725.0,9633.5,9595.0,-38.4,-44.1,-61.8,-55.0,-56.0,-35.0,37.0,12.2,-72.2,1.0,-39.6,-55.3,-79.5,22.1,,-68.0,-63.0,-23.6,33.2,-39.0,-10.5,-27.9,-33.9,-66.0,-53.5,-11.0,,-43.5,-31.7,-52.5,,-36.9,-97.1,,-9.0,300.9,-33.0,-64.1,,-52.9,-34.0,-34.3,88.3,-37.0,2.0,-89.5,-128.0,False,False,False,False,True,True,True,False,True,False,False,False,True,,False,False,True,True,False,True,True,True,False,False,True,,False,True,False,,True,False,,True,False,True,False,,False,True,True,False,True,True,False,False
Michigan,7340,7300.4,7353.1,7310.5,7313.0,7314.0,7308.0,7344.0,7306.3,7204.5,7289.0,7287.7,7305.9,7313.0,7232.4,,7305.0,7290.0,7327.6,7345.5,7346.3,7318.7,7266.9,7312.1,7320.0,7333.8,7301.9,7456.0,7258.7,7332.3,7271.0,,7204.0,7284.1,,7310.0,7669.1,7283.0,7304.4,,7335.4,7309.0,7309.9,7594.0,7320.0,7283.0,7159.8,7283.0,-39.6,13.1,-29.5,-27.0,-26.0,-32.0,4.0,-33.7,-135.5,-51.0,-52.3,-34.1,-27.0,-107.6,,-35.0,-50.0,-12.4,5.5,6.3,-21.3,-73.1,-27.9,-20.0,-6.2,-38.1,116.0,-81.3,-7.7,-69.0,,-136.0,-55.9,,-30.0,329.1,-57.0,-35.6,,-4.6,-31.0,-30.1,254.0,-20.0,-57.0,-180.2,-57.0,True,True,True,True,True,True,True,False,False,False,True,True,False,,True,False,True,True,True,True,False,True,True,True,True,False,False,True,False,,False,False,,True,False,False,True,,True,True,True,False,True,False,False,False
Minnesota,2270,2246.3,2254.1,2241.5,2245.0,2242.0,2252.0,2254.0,2261.7,2195.5,2285.0,2240.4,2247.6,2234.3,2276.1,,2249.0,2249.0,2247.4,2273.5,2253.1,2254.6,2255.9,2262.2,2281.0,2246.0,2251.4,2269.0,2555.4,2250.7,2224.0,,2244.5,2245.7,,2253.0,2452.4,2263.0,2243.0,,2248.3,2257.0,2244.4,2357.7,2258.0,2292.0,2175.0,2287.0,-23.7,-15.9,-28.5,-25.0,-28.0,-18.0,-16.0,-8.3,-74.5,15.0,-29.6,-22.4,-35.7,6.1,,-21.0,-21.0,-22.6,3.5,-16.9,-15.4,-14.1,-7.8,11.0,-24.0,-18.6,-1.0,285.4,-19.3,-46.0,,-25.5,-24.3,,-17.0,182.4,-7.0,-27.0,,-21.7,-13.0,-25.6,87.7,-12.0,22.0,-95.0,17.0,True,False,False,False,True,True,True,False,True,False,True,False,True,,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,,False,False,,True,False,True,False,,True,True,False,False,True,True,False,True
Mississippi,3171,3176.4,3184.7,3179.6,3180.0,3181.0,3181.0,3151.0,3197.0,3116.1,3161.0,3181.7,3182.7,3171.6,3189.9,,3193.0,3212.0,3208.0,3212.4,3141.4,3195.7,3176.9,3168.7,3171.0,3186.1,3192.5,,3159.8,3196.0,3156.0,,3187.4,3165.7,,3183.0,2983.7,3184.0,3181.8,,3187.3,3180.0,3195.4,3201.5,3191.0,3157.0,3177.3,3184.0,5.4,13.7,8.6,9.0,10.0,10.0,-20.0,26.0,-54.9,-10.0,10.7,11.7,0.6,18.9,,22.0,41.0,37.0,41.4,-29.6,24.7,5.9,-2.3,0.0,15.1,21.5,,-11.2,25.0,-15.0,,16.4,-5.3,,12.0,-187.3,13.0,10.8,,16.3,9.0,24.4,30.5,20.0,-14.0,6.3,13.0,False,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,False,True,True,False,False,,False,False,False,,False,True,,False,False,False,False,,False,False,False,False,False,False,False,False
Missouri,2566,2628.0,2726.2,2649.6,2583.0,2671.0,2600.0,2510.0,2607.6,2389.1,2530.0,2568.3,2632.2,2690.1,2410.2,,2613.0,2465.0,2611.8,2385.8,2548.2,2637.2,2563.9,2581.8,2581.0,2636.0,2578.1,,2574.3,2723.8,2617.0,,2382.3,2556.3,,2589.0,2547.2,2606.0,2492.5,,2655.4,2500.0,2637.1,2593.7,2667.0,2600.0,2325.9,2607.0,46.0,144.2,67.6,1.0,89.0,18.0,-72.0,25.6,-192.9,-52.0,-13.7,50.2,108.1,-171.8,,31.0,-117.0,29.8,-196.2,-33.8,55.2,-18.1,-0.2,-1.0,54.0,-3.9,,-7.7,141.8,35.0,,-199.7,-25.7,,7.0,-34.8,24.0,-89.5,,73.4,-82.0,55.1,11.7,85.0,18.0,-256.1,25.0,False,False,True,False,True,False,True,False,False,True,False,False,False,,True,False,True,False,True,False,True,True,True,False,True,,True,False,True,,False,True,,True,True,True,False,,False,False,False,True,False,True,False,True
Montana,239,229.7,235.0,232.8,232.0,232.0,233.0,229.0,235.0,209.8,230.0,230.3,233.1,254.1,250.4,,232.0,224.0,234.0,253.6,229.5,240.5,232.3,229.9,268.0,236.2,234.7,,224.5,239.8,231.0,,,214.6,,239.0,291.9,235.0,231.0,,238.2,240.0,226.8,235.2,237.0,226.0,220.6,233.0,-9.3,-4.0,-6.2,-7.0,-7.0,-6.0,-10.0,-4.0,-29.2,-9.0,-8.7,-5.9,15.1,11.4,,-7.0,-15.0,-5.0,14.6,-9.5,1.5,-6.7,-9.1,29.0,-2.8,-4.3,,-14.5,0.8,-8.0,,,-24.4,,0.0,52.9,-4.0,-8.0,,-0.8,1.0,-12.2,-3.8,-2.0,-13.0,-18.4,-6.0,True,True,True,True,True,False,True,False,True,True,True,False,False,,True,False,True,False,False,True,True,True,False,True,True,,False,True,True,,,False,,True,False,True,True,,True,True,False,True,True,False,False,True
Nebraska,547,534.4,541.8,542.9,542.0,541.0,545.0,566.0,546.5,526.7,548.0,546.8,551.9,546.4,545.0,,541.0,551.0,542.9,547.6,545.4,552.9,544.5,540.8,616.0,537.7,547.3,,540.4,541.5,545.0,,,532.7,,549.0,557.5,546.0,539.0,,540.2,543.0,539.1,554.5,545.0,553.0,531.0,559.0,-12.6,-5.2,-4.1,-5.0,-6.0,-2.0,19.0,-0.5,-20.3,1.0,-0.2,4.9,-0.6,-2.0,,-6.0,4.0,-4.1,0.6,-1.6,5.9,-2.5,-6.2,69.0,-9.3,0.3,,-6.6,-5.5,-2.0,,,-14.3,,2.0,10.5,-1.0,-8.0,,-6.8,-4.0,-7.9,7.5,-2.0,6.0,-16.0,12.0,True,True,True,True,True,False,True,False,True,True,True,True,True,,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,,,False,,True,True,True,True,,True,True,True,True,True,True,False,True
Nevada,1707,1693.6,1700.5,1700.3,1697.0,1698.0,1702.0,1724.0,1714.5,1671.8,1698.0,1700.2,1692.8,1696.0,1714.2,,1704.0,1695.0,1705.1,1723.2,1690.8,1711.8,1700.4,1693.7,1703.0,1719.9,1702.8,,1713.2,1701.9,1690.0,,1699.8,1687.8,,1707.0,1822.8,1699.0,1704.0,,1721.4,1702.0,1697.8,1713.6,1709.0,1699.0,1704.1,1716.0,-13.4,-6.5,-6.7,-10.0,-9.0,-5.0,17.0,7.5,-35.2,-9.0,-6.8,-14.2,-11.0,7.2,,-3.0,-12.0,-1.9,16.2,-16.2,4.8,-6.6,-13.3,-4.0,12.9,-4.2,,6.2,-5.1,-17.0,,-7.2,-19.2,,0.0,115.8,-8.0,-3.0,,14.4,-5.0,-9.2,6.6,2.0,-8.0,-2.9,9.0,True,True,True,True,True,False,True,False,True,True,False,True,True,,True,True,True,False,False,True,True,True,True,True,True,,True,True,False,,True,False,,True,False,True,True,,False,True,True,True,True,True,True,True
New Hampshire,466,467.1,471.3,468.3,468.0,468.0,464.0,458.0,462.5,445.1,463.0,463.6,466.7,466.3,459.8,,468.0,454.0,459.9,459.4,462.2,463.7,461.5,460.4,463.0,458.5,457.7,,461.9,472.5,459.0,,,493.6,,464.0,487.6,464.0,466.8,,461.7,466.0,464.9,471.3,465.0,466.0,458.4,468.0,1.1,5.3,2.3,2.0,2.0,-2.0,-8.0,-3.5,-20.9,-3.0,-2.4,0.7,0.3,-6.2,,2.0,-12.0,-6.1,-6.6,-3.8,-2.3,-4.5,-5.6,-3.0,-7.5,-8.3,,-4.1,6.5,-7.0,,,27.6,,-2.0,21.6,-2.0,0.8,,-4.3,0.0,-1.1,5.3,-1.0,0.0,-7.6,2.0,False,False,False,False,False,False,False,False,False,False,True,True,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,True,,False,True,True,False,True,True,False,False
New Jersey,16204,16206.6,16268.4,16206.5,16208.0,16207.0,16216.0,16444.0,16208.8,16207.1,16233.0,16216.8,16225.4,16206.0,16256.8,,16206.0,16229.5,16220.4,16242.9,16213.8,16218.9,16221.6,16215.5,16219.0,16212.9,16214.6,,16216.9,16216.3,16175.0,,16197.6,16185.4,,16217.0,17959.1,16212.0,16205.0,,16214.6,16212.0,16376.5,16481.3,16206.0,16398.0,16192.9,16419.0,2.6,64.4,2.5,4.0,3.0,12.0,240.0,4.8,3.1,29.0,12.8,21.4,2.0,52.8,,2.0,25.5,16.4,38.9,9.8,14.9,17.6,11.5,15.0,8.9,10.6,,12.9,12.3,-29.0,,-6.4,-18.6,,13.0,1755.1,8.0,1.0,,10.6,8.0,172.5,277.3,2.0,194.0,-11.1,215.0,False,True,False,False,False,False,False,False,False,False,False,True,False,,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,True,,False,False,False,False,True,False,False,False
New Mexico,929,927.3,923.4,923.6,924.0,924.0,930.0,931.0,940.2,916.2,926.0,929.3,936.3,920.3,933.0,,925.0,930.0,940.7,967.8,928.8,939.7,940.3,928.4,938.0,927.1,931.7,,929.2,930.1,931.0,,,921.8,,934.0,1039.9,937.0,923.2,,929.5,934.0,932.0,942.2,932.0,926.0,926.9,935.0,-1.7,-5.6,-5.4,-5.0,-5.0,1.0,2.0,11.2,-12.8,-3.0,0.3,7.3,-8.7,4.0,,-4.0,1.0,11.7,38.8,-0.2,10.7,11.3,-0.6,9.0,-1.9,2.7,,0.2,1.1,2.0,,,-7.2,,5.0,110.9,8.0,-5.8,,0.5,5.0,3.0,13.2,3.0,-3.0,-2.1,6.0,False,False,False,False,True,False,False,False,False,True,False,False,False,,False,True,False,False,True,False,False,True,False,False,False,,True,True,False,,,False,,False,False,False,False,,True,False,False,False,False,False,False,False
New York,33547,33370.3,33641.8,33388.4,33355.0,33389.0,33389.0,33437.0,33392.2,33314.3,33391.0,33345.0,33362.0,33394.4,33403.8,,33345.0,33343.0,33387.5,33415.8,33407.7,33395.7,33339.3,33376.4,33385.0,33428.4,33360.2,,33357.3,33397.6,33297.0,,33353.7,33317.6,,33359.0,33583.5,33346.0,33330.2,,33433.6,33377.0,33427.3,33773.5,33406.0,33403.0,33210.9,33303.0,-1.7,269.8,16.4,-17.0,17.0,17.0,65.0,20.2,-57.7,19.0,-27.0,-10.0,22.4,31.8,,-27.0,-29.0,15.5,43.8,35.7,23.7,-32.7,4.4,13.0,56.4,-11.8,,-14.7,25.6,-75.0,,-18.3,-54.4,,-13.0,211.5,-26.0,-41.8,,61.6,5.0,55.3,401.5,34.0,31.0,-161.1,-69.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False
North Carolina,3929,3886.6,3896.9,3902.1,3902.0,3901.0,3923.0,3967.0,3998.0,3834.0,3891.0,3927.2,3939.7,3877.0,4003.5,,3912.0,3950.0,3970.1,4050.5,3936.4,3961.3,3906.2,3900.1,3921.0,3964.5,3941.2,,3858.0,3928.7,3937.0,,3939.8,3885.1,,3941.0,3435.8,3905.0,3898.8,,3960.8,3915.0,3926.8,3913.8,3927.0,3883.0,3881.9,3922.0,-42.4,-32.1,-26.9,-27.0,-28.0,-6.0,38.0,69.0,-95.0,-38.0,-1.8,10.7,-52.0,74.5,,-17.0,21.0,41.1,121.5,7.4,32.3,-22.8,-28.9,-8.0,35.5,12.2,,-71.0,-0.3,8.0,,10.8,-43.9,,12.0,-493.2,-24.0,-30.2,,31.8,-14.0,-2.2,-15.2,-2.0,-46.0,-47.1,-7.0,True,True,True,True,True,True,False,False,True,True,True,False,False,,True,True,True,False,True,True,True,True,True,True,True,,False,True,True,,True,False,,True,False,True,True,,True,True,True,True,True,False,False,True
North Dakota,399,391.0,425.4,401.2,383.0,401.0,388.0,351.0,399.7,342.2,367.0,377.8,416.0,386.8,382.3,,381.0,360.0,390.3,370.6,362.1,402.2,394.4,385.2,393.0,408.5,391.5,,388.5,410.4,386.0,,,382.2,,373.0,268.2,371.0,346.2,,413.0,394.0,419.7,371.4,402.0,399.0,356.1,416.0,-8.0,26.4,2.2,-16.0,2.0,-11.0,-48.0,0.7,-56.8,-32.0,-21.2,17.0,-12.2,-16.7,,-18.0,-39.0,-8.7,-28.4,-36.9,3.2,-4.6,-13.8,-6.0,9.5,-7.5,,-10.5,11.4,-13.0,,,-16.8,,-26.0,-130.8,-28.0,-52.8,,14.0,-5.0,20.7,-27.6,3.0,0.0,-42.9,17.0,False,True,False,True,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,True,True,False,True,False,True,,False,False,False,,,False,,False,False,False,False,,False,True,False,False,True,True,False,False
Ohio,5067,5062.4,5088.0,5080.7,5072.0,5069.0,5129.0,5272.0,5169.8,5065.8,5117.0,5103.8,5112.4,5071.0,5155.8,,5089.0,5148.0,5103.1,5248.2,5149.2,5146.3,5114.2,5095.6,5126.0,5155.7,5126.9,5169.0,5083.3,5094.3,5155.0,,5131.6,5083.2,,5129.0,5546.4,5107.0,5074.7,,5149.8,5122.0,5142.8,5223.0,5085.0,5184.5,5104.9,5199.0,-4.6,21.0,13.7,5.0,2.0,62.0,205.0,102.8,-1.2,50.0,36.8,45.4,4.0,88.8,,22.0,81.0,36.1,181.2,82.2,79.3,47.2,28.6,59.0,88.7,59.9,102.0,16.3,27.3,88.0,,64.6,16.2,,62.0,479.4,40.0,7.7,,82.8,55.0,75.8,156.0,18.0,117.5,37.9,132.0,False,False,False,True,False,False,False,True,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False
Oklahoma,1162,1138.3,1147.6,1138.7,1139.0,1139.0,1142.0,1137.0,1141.3,1114.0,1158.0,1144.6,1146.8,1133.1,1153.5,,1140.0,1170.0,1150.3,1152.6,1165.3,1154.6,1134.4,1144.9,1181.0,1157.4,1151.1,,1133.7,1141.9,1137.0,,,1124.4,,1145.0,1564.6,1135.0,1141.0,,1157.6,1146.0,1137.4,1204.3,1140.0,1134.0,1130.8,1148.0,-23.7,-14.4,-23.3,-23.0,-23.0,-20.0,-25.0,-20.7,-48.0,-4.0,-17.4,-15.2,-28.9,-8.5,,-22.0,8.0,-11.7,-9.4,3.3,-7.4,-27.6,-17.1,19.0,-4.6,-10.9,,-28.3,-20.1,-25.0,,,-37.6,,-17.0,402.6,-27.0,-21.0,,-4.4,-16.0,-24.6,42.3,-22.0,-28.0,-31.2,-14.0,True,True,True,True,True,False,True,False,True,True,True,False,True,,True,True,True,True,True,True,False,True,True,True,True,,False,True,False,,,False,,True,False,False,True,,True,True,False,False,True,False,False,True
Oregon,619,622.1,640.9,627.0,627.0,627.0,627.0,619.0,630.3,592.3,617.0,622.2,624.3,629.5,625.3,,624.0,629.0,623.5,637.2,651.7,630.0,622.1,620.9,645.0,628.9,628.3,,624.2,629.5,611.0,,,614.3,,627.0,648.4,625.0,627.5,,630.2,623.0,622.2,632.2,631.0,613.0,615.0,625.0,3.1,21.9,8.0,8.0,8.0,8.0,0.0,11.3,-26.7,-2.0,3.2,5.3,10.5,6.3,,5.0,10.0,4.5,18.2,32.7,11.0,3.1,1.9,26.0,9.9,9.3,,5.2,10.5,-8.0,,,-4.7,,8.0,29.4,6.0,8.5,,11.2,4.0,3.2,13.2,12.0,-6.0,-4.0,6.0,False,False,False,False,False,True,False,False,True,False,False,False,False,,False,False,False,False,False,False,True,True,False,False,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,False,False
Pennsylvania,8442,8445.7,8452.6,8463.1,8465.0,8468.0,8451.0,8456.0,8470.8,8342.1,8417.0,8469.5,8430.6,8465.1,8451.3,,8460.0,8416.0,8469.5,8478.1,8436.6,8486.4,8437.3,8451.5,8435.0,8433.1,8435.1,,8495.9,8480.0,8386.0,,8417.3,8411.0,,8456.0,8102.3,8441.0,8454.2,,8437.7,8446.0,8464.3,8655.4,8476.0,8447.0,8385.6,8472.0,3.7,10.6,21.1,23.0,26.0,9.0,14.0,28.8,-99.9,-25.0,27.5,-11.4,23.1,9.3,,18.0,-26.0,27.5,36.1,-5.4,44.4,-4.7,9.5,-7.0,-8.9,-6.9,,53.9,38.0,-56.0,,-24.7,-31.0,,14.0,-339.7,-1.0,12.2,,-4.3,4.0,22.3,213.4,34.0,5.0,-56.4,30.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,True,False,,False,False,False,False,False,False,False,False
Rhode Island,1152,1140.3,1135.2,1142.6,1142.0,1142.0,1143.0,1144.0,1147.0,1136.2,1140.0,1145.8,1144.0,1142.2,1149.4,,1141.0,1144.0,1143.7,1155.1,1151.1,1146.0,1142.1,1138.9,1140.0,1134.7,1140.8,,1144.6,1147.3,1146.0,,,1135.3,,1143.0,1310.8,1137.0,1135.6,,1136.8,1144.0,1143.8,1161.7,1141.0,1139.0,0.0,1143.0,-11.7,-16.8,-9.4,-10.0,-10.0,-9.0,-8.0,-5.0,-15.8,-12.0,-6.2,-8.0,-9.8,-2.6,,-11.0,-8.0,-8.3,3.1,-0.9,-6.0,-9.9,-13.1,-12.0,-17.3,-11.2,,-7.4,-4.7,-6.0,,,-16.7,,-9.0,158.8,-15.0,-16.4,,-15.2,-8.0,-8.2,9.7,-11.0,-13.0,-1152.0,-9.0,False,True,True,True,True,True,True,False,False,True,True,True,True,,True,True,True,True,True,True,True,False,False,False,True,,True,True,True,,,False,,True,False,False,False,,False,True,True,True,True,False,False,True
South Carolina,3637,3636.9,3672.6,3659.8,3659.0,3660.0,3646.0,3660.0,3647.4,3540.4,3645.0,3661.4,3668.5,3649.7,3669.6,,3673.0,3669.0,3665.6,3640.5,3622.2,3680.8,3634.0,3634.0,3642.0,3641.0,3679.0,,3634.6,3645.8,3636.0,,3665.2,3631.2,,3663.0,4044.9,3631.0,3660.8,,3642.6,3645.0,3668.3,3712.8,3664.0,3621.0,3644.2,3646.0,-0.1,35.6,22.8,22.0,23.0,9.0,23.0,10.4,-96.6,8.0,24.4,31.5,12.7,32.6,,36.0,32.0,28.6,3.5,-14.8,43.8,-3.0,-3.0,5.0,4.0,42.0,,-2.4,8.8,-1.0,,28.2,-5.8,,26.0,407.9,-6.0,23.8,,5.6,8.0,31.3,75.8,27.0,-16.0,7.2,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False
South Dakota,315,318.6,346.5,323.6,324.0,324.0,322.0,285.0,331.9,282.3,309.0,317.4,,329.0,321.2,,301.0,304.0,322.4,330.9,309.7,325.2,322.3,314.5,348.0,323.1,320.2,,306.2,333.1,318.0,,,300.2,,322.0,282.7,324.0,295.0,,326.7,316.0,306.7,321.8,333.0,315.0,297.7,323.0,3.6,31.5,8.6,9.0,9.0,7.0,-30.0,16.9,-32.7,-6.0,2.4,,14.0,6.2,,-14.0,-11.0,7.4,15.9,-5.3,10.2,7.3,-0.5,33.0,8.1,5.2,,-8.8,18.1,3.0,,,-14.8,,7.0,-32.3,9.0,-20.0,,11.7,1.0,-8.3,6.8,18.0,0.0,-17.3,8.0,False,False,False,False,False,False,False,False,False,True,,False,False,,False,False,False,False,False,False,False,True,False,False,False,,False,False,True,,,False,,False,False,False,False,,False,True,False,False,False,True,False,False
Tennessee,2903,2929.9,3014.2,2955.1,2954.0,2956.0,2938.0,2896.0,2957.6,2749.7,2889.0,2959.4,2934.1,2961.2,2922.4,,2953.0,2928.0,2935.0,3003.0,2899.3,2933.2,2938.4,2943.7,2894.0,2969.9,2962.4,,2854.1,2965.7,2897.0,,2944.2,2891.7,,2939.0,3100.1,2919.0,2951.3,,2975.1,2927.0,2938.6,2859.9,2959.0,2929.0,2837.0,2961.0,26.9,111.2,52.1,51.0,53.0,35.0,-7.0,54.6,-153.3,-14.0,56.4,31.1,58.2,19.4,,50.0,25.0,32.0,100.0,-3.7,30.2,35.4,40.7,-9.0,66.9,59.4,,-48.9,62.7,-6.0,,41.2,-11.3,,36.0,197.1,16.0,48.3,,72.1,24.0,35.6,-43.1,56.0,26.0,-66.0,58.0,False,False,False,False,False,True,False,False,True,False,False,False,True,,False,True,False,False,True,False,False,False,True,False,False,,False,False,True,,False,True,,False,False,True,False,,False,True,False,False,False,True,False,False
Texas,17723,17529.0,17703.0,17583.5,17583.0,17591.0,17498.0,17497.0,17553.2,16989.1,17381.0,17514.7,17515.5,17596.2,17505.4,,17586.0,17498.0,17488.4,17380.0,17396.4,17551.5,17334.9,17533.7,17466.0,17599.3,17581.0,,17371.0,17618.2,17365.0,,17597.7,17396.1,17778.0,17484.0,19593.7,17350.0,17571.7,,17603.6,17450.0,17621.3,17705.9,17590.0,17431.0,17431.0,17162.0,74.0,248.0,128.5,128.0,136.0,43.0,42.0,98.2,-465.9,-74.0,59.7,60.5,141.2,50.4,,131.0,43.0,33.4,-75.0,-58.6,96.5,-120.1,78.7,11.0,144.3,126.0,,-84.0,163.2,-90.0,,142.7,-58.9,323.0,29.0,2138.7,-105.0,116.7,,148.6,-5.0,166.3,250.9,135.0,-24.0,-24.0,-293.0,False,False,False,False,True,True,False,False,False,True,True,False,True,,False,True,True,False,True,False,False,False,True,False,False,,False,False,False,,False,True,False,True,False,False,False,,False,True,False,False,False,True,True,False
