,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,2788,2314.4,2993.5,2991.2,2137.0,,-473.6,205.5,203.2,-651.0,,True,True,False,
Alaska,67,45.7,74.1,13.7,,,-21.3,7.1,-53.3,,,True,False,,
Arizona,5824,5257.0,10774.7,5048.3,8934.0,,-567.0,4950.7,-775.7,3110.0,,False,False,False,
Arkansas,1684,628.7,1189.4,669.4,2404.0,,-1055.3,-494.6,-1014.6,720.0,,True,True,True,
California,16956,12925.0,24118.1,14950.2,13088.0,,-4031.0,7162.1,-2005.8,-3868.0,,False,True,True,
Colorado,2176,2072.4,2118.0,1910.0,1848.0,,-103.6,-58.0,-266.0,-328.0,,True,False,False,
Connecticut,4542,4617.3,4458.3,4654.2,4997.0,,75.3,-83.7,112.2,455.0,,False,False,False,
Delaware,664,586.3,779.1,597.4,640.0,,-77.7,115.1,-66.6,-24.0,,False,True,True,
District of Columbia,641,692.7,592.3,656.6,695.0,,51.7,-48.7,15.6,54.0,,True,True,False,
Florida,15917,8366.4,41520.6,16795.3,6522.0,,-7550.6,25603.6,878.3,-9395.0,,False,True,False,
Georgia,7607,4078.3,8281.3,3758.9,4934.0,,-3528.7,674.3,-3848.1,-2673.0,,True,False,True,
Hawaii,186,33.9,65.2,18.1,,,-152.1,-120.8,-167.9,,,True,False,,
Idaho,529,122.7,1176.6,117.8,549.0,,-406.3,647.6,-411.2,20.0,,False,False,True,
Illinois,9452,8981.1,7691.4,8708.0,8308.0,,-470.9,-1760.6,-744.0,-1144.0,,False,False,False,
Indiana,3918,3792.4,3411.6,3294.6,3001.0,,-125.6,-506.4,-623.4,-917.0,,False,False,False,
Iowa,1528,943.9,1468.0,834.3,905.0,,-584.1,-60.0,-693.7,-623.0,,True,False,False,
Kansas,859,506.9,981.2,567.6,330.0,,-352.1,122.2,-291.4,-529.0,,True,True,False,
