,mean_rank
UMass-MechBayes,13.9
COVIDhub-ensemble,13.9
Karlen-pypm,14.3
YYG-ParamSearch,14.7
JCB-PRM,15.1
Google_Harvard-CPF,16.2
LNQ-ens1,16.3
USC-SI_kJalpha,16.3
GT-DeepCOVID,16.5
OliverWyman-Navigator,17.2
MIT_CritData-GBCF,17.3
CMU-TimeSeries,17.4
COVIDhub-baseline,18.0
SteveMcConnell-CovidComplete,18.1
JHU_IDD-CovidSP,18.2
UCLA-SuEIR,18.5
IowaStateLW-STEM,18.6
DDS-NBDS,18.6
CEID-Walk,18.8
Covid19Sim-Simulator,19.5
MITCovAlliance-SIR,19.8
LANL-GrowthRate,19.8
NotreDame-mobility,19.9
Columbia_UNC-SurvCon,20.0
PSI-DRAFT,20.4
UA-EpiCovDA,20.5
JHUAPL-Bucky,20.8
MOBS-GLEAM_COVID,21.1
UMich-RidgeTfReg,21.6
UCSD_NEU-DeepGLEAM,22.8
CovidAnalytics-DELPHI,23.2
IHME-CurveFit,23.3
CU-select,24.0
USACE-ERDC_SEIR,25.6
UT-Mobility,25.8
WalmartLabsML-LogForecasting,26.6
epiforecasts-ensemble1,27.5
RobertWalraven-ESG,29.1
TTU-squider,30.8
