,total_deaths_2020-09-20,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
OliverWyman-Navigator,199855,219506.9,219916,19997.9,20061,-63.1,-0.3%
SteveMcConnell-CovidComplete,199855,219741.0,219916,20232.0,20061,171.0,0.9%
USC-SI_kJalpha,199855,219336.0,219916,19827.0,20061,-234.0,-1.2%
UCSD_NEU-DeepGLEAM,199855,219113.7,219916,19604.7,20061,-456.3,-2.3%
RPI_UW-Mob_Collision,199855,219037.4,219916,19528.4,20061,-532.6,-2.7%
LNQ-ens1,199855,218997.9,219916,19488.9,20061,-572.1,-2.9%
DDS-NBDS,199855,220304.3,219916,20795.3,20061,734.3,3.7%
COVIDhub-ensemble,199855,218761.0,219916,19252.0,20061,-809.0,-4.0%
UMass-MechBayes,199855,218761.0,219916,19252.0,20061,-809.0,-4.0%
UT-Mobility,199855,220451.5,219916,20942.5,20061,881.5,4.4%
Baseline,199855,220484.1,219916,20975.1,20061,914.1,4.6%
JHU_IDD-CovidSP,199855,220498.2,219916,20989.2,20061,928.2,4.6%
STH-3PU,199855,218310.0,219916,18801.0,20061,-1260.0,-6.3%
GT-DeepCOVID,199855,221092.7,219916,21583.7,20061,1522.7,7.6%
Columbia_UNC-SurvCon,199855,217923.0,219916,18414.0,20061,-1647.0,-8.2%
MOBS-GLEAM_COVID,199855,217830.4,219916,18321.4,20061,-1739.6,-8.7%
COVIDhub-baseline,199855,221524.0,219916,22015.0,20061,1954.0,9.7%
UCLA-SuEIR,199855,217305.9,219916,17796.9,20061,-2264.1,-11.3%
JCB-PRM,199855,217303.7,219916,17794.7,20061,-2266.3,-11.3%
CEID-Walk,199855,222018.9,219916,22509.9,20061,2448.9,12.2%
QJHong-Encounter,199855,216841.1,219916,17332.1,20061,-2728.9,-13.6%
CU-select,199855,222334.0,219916,22825.0,20061,2764.0,13.8%
IowaStateLW-STEM,199855,222388.0,219916,22879.0,20061,2818.0,14.0%
Karlen-pypm,199855,216704.1,219916,17195.1,20061,-2865.9,-14.3%
MIT_CritData-GBCF,199855,216475.0,219916,16966.0,20061,-3095.0,-15.4%
PSI-DRAFT,199855,216430.5,219916,16921.5,20061,-3139.5,-15.6%
NotreDame-mobility,199855,215831.7,219916,16322.7,20061,-3738.3,-18.6%
IHME-CurveFit,199855,215817.9,219916,16308.9,20061,-3752.1,-18.7%
JHUAPL-Bucky,199855,215584.9,219916,16075.9,20061,-3985.1,-19.9%
YYG-ParamSearch,199855,215517.8,219916,16008.8,20061,-4052.2,-20.2%
CovidAnalytics-DELPHI,199855,215113.0,219916,15604.0,20061,-4457.0,-22.2%
UCM_MESALab-FoGSEIR,199855,215033.0,219916,15524.0,20061,-4537.0,-22.6%
Covid19Sim-Simulator,199855,214736.6,219916,15227.6,20061,-4833.4,-24.1%
UA-EpiCovDA,199855,224544.0,219916,25035.0,20061,4974.0,24.8%
WalmartLabsML-LogForecasting,199855,213659.8,219916,14150.8,20061,-5910.2,-29.5%
LANL-GrowthRate,199855,213464.7,219916,13955.7,20061,-6105.3,-30.4%
USACE-ERDC_SEIR,199855,226707.4,219916,27198.4,20061,7137.4,35.6%
IBF-TimeSeries,199855,226828.0,219916,27319.0,20061,7258.0,36.2%
RobertWalraven-ESG,199855,209635.5,219916,10126.5,20061,-9934.5,-49.5%
UMich-RidgeTfReg,199855,230122.4,219916,30613.4,20061,10552.4,52.6%
epiforecasts-ensemble1,199855,202450.0,219916,2941.0,20061,-17120.0,-85.3%
CMU-TimeSeries,199855,,219916,,20061,,
Google_Harvard-CPF,199855,,219916,,20061,,
MITCovAlliance-SIR,199855,,219916,,20061,,
NotreDame-FRED,199855,,219916,,20061,,
