,actual_deaths,Baseline,IHME-CurveFit,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-IHME-CurveFit,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2788,3157.9,2826.4,,2699.3,2852.3,369.9,38.4,,-88.7,64.3,True,,True,True
Alaska,67,45.7,33.9,,41.2,60.4,-21.3,-33.1,,-25.8,-6.6,False,,False,True
Arizona,5824,7945.0,6135.9,,5900.7,6613.0,2121.0,311.9,,76.7,789.0,True,,True,True
Arkansas,1684,1332.6,1265.9,,977.4,1100.2,-351.4,-418.1,,-706.6,-583.8,False,,False,False
California,16956,20046.9,20052.2,,16034.9,18052.4,3090.9,3096.2,,-921.1,1096.4,False,,True,True
Colorado,2176,1996.0,3000.0,,1961.8,2278.6,-180.0,824.0,,-214.2,102.6,False,,False,True
Connecticut,4542,4529.7,4648.7,,4525.9,4554.7,-12.3,106.7,,-16.1,12.7,False,,False,False
Delaware,664,650.1,655.2,,654.3,659.1,-13.9,-8.8,,-9.7,-4.9,True,,True,True
District of Columbia,641,640.3,597.5,,645.8,643.3,-0.7,-43.5,,4.8,2.3,False,,False,False
Florida,15917,19048.6,16265.1,,13116.8,15807.6,3131.6,348.1,,-2800.2,-109.4,True,,True,True
Georgia,7607,7737.7,9308.9,,6333.2,6747.7,130.7,1701.9,,-1273.8,-859.3,False,,False,False
Hawaii,186,80.3,28.3,,80.0,110.7,-105.7,-157.7,,-106.0,-75.3,False,,False,True
Idaho,529,631.3,648.7,,323.9,649.2,102.3,119.7,,-205.1,120.2,False,,False,False
Illinois,9452,9136.3,8800.0,,9181.7,9455.6,-315.7,-652.0,,-270.3,3.6,False,,True,True
Indiana,3918,3691.6,3806.7,,3410.3,4021.9,-226.4,-111.3,,-507.7,103.9,True,,False,True
Iowa,1528,1453.4,1361.7,,1190.1,1388.7,-74.6,-166.3,,-337.9,-139.3,False,,False,False
Kansas,859,567.3,1130.3,,466.0,629.4,-291.7,271.3,,-393.0,-229.6,True,,False,True
Kentucky,1312,1078.6,1709.0,,967.9,1190.9,-233.4,397.0,,-344.1,-121.1,False,,False,True
Louisiana,5727,6786.4,6659.9,,5585.9,5634.8,1059.4,932.9,,-141.1,-92.2,True,,True,True
Maine,146,144.7,143.9,,130.8,147.4,-1.3,-2.1,,-15.2,1.4,False,,False,False
Maryland,4036,4275.0,4291.4,,4004.4,4514.9,239.0,255.4,,-31.6,478.9,False,,True,False
Massachusetts,9723,9691.1,9430.8,,9198.3,9765.4,-31.9,-292.2,,-524.7,42.4,False,,False,False
Michigan,7340,7130.1,7150.1,,6923.6,7186.5,-209.9,-189.9,,-416.4,-153.5,True,,False,True
Minnesota,2270,2131.7,2002.3,,2042.0,2203.6,-138.3,-267.7,,-228.0,-66.4,False,,False,True
Mississippi,3171,3798.4,3155.7,,2781.2,3138.8,627.4,-15.3,,-389.8,-32.2,True,,True,True
Missouri,2581,1905.7,3366.4,,1941.9,2043.9,-675.3,785.4,,-639.1,-537.1,False,,True,True
Montana,239,213.0,157.7,,113.6,228.5,-26.0,-81.3,,-125.4,-10.5,False,,False,True
Nebraska,547,473.1,512.7,,415.1,494.8,-73.9,-34.3,,-131.9,-52.2,True,,False,True
Nevada,1707,2189.1,2348.4,,1571.1,1821.3,482.1,641.4,,-135.9,114.3,False,,True,True
New Hampshire,466,438.7,496.3,,472.0,505.5,-27.3,30.3,,6.0,39.5,False,,True,False
New Jersey,16204,16248.6,16274.0,,16349.9,16246.1,44.6,70.0,,145.9,42.1,False,,False,True
New Mexico,929,990.6,1077.6,,828.7,1014.9,61.6,148.6,,-100.3,85.9,False,,False,False
New York,33547,33404.9,33356.2,,33116.8,33214.7,-161.1,-209.8,,-449.2,-351.3,False,,False,False
North Carolina,3929,4252.1,4644.4,,3548.8,3780.7,323.1,715.4,,-380.2,-148.3,False,,False,True
North Dakota,399,181.0,163.5,,207.4,189.5,-218.0,-235.5,,-191.6,-209.5,False,,True,True
Ohio,5067,5049.0,6023.3,,4238.5,5201.7,-18.0,956.3,,-828.5,134.7,False,,False,False
Oklahoma,1162,1125.4,1537.7,,883.2,1130.7,-36.6,375.7,,-278.8,-31.3,False,,False,True
Oregon,619,651.7,1216.5,,440.7,734.2,32.7,597.5,,-178.3,115.2,False,,False,False
Pennsylvania,8442,8178.4,8093.5,,7960.7,8265.3,-263.6,-348.5,,-481.3,-176.7,False,,False,True
Rhode Island,1152,1083.0,1060.2,,1111.2,1106.2,-58.0,-80.8,,-29.8,-34.8,False,,True,True
South Carolina,3637,4534.7,3483.4,,3076.5,3930.2,897.7,-153.6,,-560.5,293.2,True,,True,True
South Dakota,315,254.4,199.1,,230.9,223.0,-60.6,-115.9,,-84.1,-92.0,False,,False,False
Tennessee,2903,2701.6,2054.2,,2363.0,2353.2,-201.4,-848.8,,-540.0,-549.8,False,,False,False
Texas,17509,24691.9,22173.8,16228.0,14088.1,18644.7,7342.9,4824.8,-1121.0,-3260.9,1295.7,True,True,True,True
Utah,540,582.4,647.5,,467.5,641.7,42.4,107.5,,-72.5,101.7,False,,False,False
Vermont,58,67.9,59.6,,63.1,70.3,9.9,1.6,,5.1,12.3,True,,True,False
Virginia,3422,3390.6,4221.2,,2775.8,3776.2,-31.4,799.2,,-646.2,354.2,False,,False,False
Washington,2211,2594.9,2799.1,,2139.1,2681.0,417.9,622.1,,-37.9,504.0,False,,True,False
West Virginia,401,355.9,193.6,,202.0,350.5,-45.1,-207.4,,-199.0,-50.5,False,,False,False
Wisconsin,1761,1490.9,1847.2,,1242.3,1634.0,-219.1,137.2,,-467.7,-76.0,True,,False,True
Wyoming,57,47.7,27.0,,44.4,41.9,-9.3,-30.0,,-12.6,-15.1,False,,False,False
US,219717,235614.7,233142.7,219408.0,203420.8,220824.9,16134.7,13662.7,-72.0,-16059.2,1344.9,True,True,True,True
