,mean_rank
YYG-ParamSearch,12.3
UMass-MechBayes,13.6
COVIDhub-ensemble,14.4
CMU-TimeSeries,14.4
COVIDhub-baseline,15.0
OliverWyman-Navigator,15.2
LNQ-ens1,15.7
Karlen-pypm,15.9
CEID-Walk,16.1
SteveMcConnell-CovidComplete,16.6
USC-SI_kJalpha,16.8
UT-Mobility,17.3
JCB-PRM,18.8
NotreDame-mobility,19.0
BPagano-RtDriven,19.2
IQVIA_ACOE-STAN,19.3
DDS-NBDS,19.4
GT-DeepCOVID,19.7
UMich-RidgeTfReg,20.0
UA-EpiCovDA,20.4
Columbia_UNC-SurvCon,20.5
UCLA-SuEIR,20.8
IowaStateLW-STEM,20.8
MIT_CritData-GBCF,20.9
MOBS-GLEAM_COVID,21.1
CovidAnalytics-DELPHI,21.1
LANL-GrowthRate,21.2
UCSD_NEU-DeepGLEAM,21.3
JHU_CSSE-DECOM,21.4
JHU_IDD-CovidSP,21.7
JHUAPL-Bucky,22.0
CU-select,22.8
Google_Harvard-CPF,22.9
Covid19Sim-Simulator,22.9
PSI-DRAFT,23.7
RobertWalraven-ESG,25.2
WalmartLabsML-LogForecasting,26.9
epiforecasts-ensemble1,30.5
TTU-squider,33.2
