,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2788,3678.4,3934.8,3147.3,2949.0,,2768.0,3467.1,890.4,1146.8,359.3,161.0,,-20.0,679.1,False,True,True,,True,True
Alaska,67,43.7,129.6,19.0,,,52.1,61.7,-23.3,62.6,-48.0,,,-14.9,-5.3,False,False,,,True,True
Arizona,5824,9755.3,6523.8,5561.7,6839.0,,6239.8,6955.5,3931.3,699.8,-262.3,1015.0,,415.8,1131.5,True,True,True,,True,True
Arkansas,1684,922.7,1402.0,834.4,972.0,,702.2,915.4,-761.3,-282.0,-849.6,-712.0,,-981.8,-768.6,True,False,True,,False,False
California,16956,17139.3,21220.1,18036.1,15166.0,,14371.8,16631.7,183.3,4264.1,1080.1,-1790.0,,-2584.2,-324.3,False,False,False,,False,False
Colorado,2176,2292.0,2636.2,2566.0,2035.0,,2457.6,2458.5,116.0,460.2,390.0,-141.0,,281.6,282.5,False,False,False,,False,False
Connecticut,4542,4614.6,4489.1,4713.1,4485.0,,4419.8,4620.4,72.6,-52.9,171.1,-57.0,,-122.2,78.4,True,False,True,,False,False
Delaware,664,1243.0,693.6,559.5,616.0,,1324.6,663.4,579.0,29.6,-104.5,-48.0,,660.6,-0.6,True,True,True,,False,True
District of Columbia,641,616.6,648.8,675.6,594.0,,584.0,638.1,-24.4,7.8,34.6,-47.0,,-57.0,-2.9,True,False,False,,False,True
Florida,15917,16193.4,21752.4,16436.9,12830.0,,13551.3,13596.4,276.4,5835.4,519.9,-3087.0,,-2365.7,-2320.6,False,False,False,,False,False
Georgia,7607,7339.7,8527.1,6795.5,5001.0,,7445.1,6822.5,-267.3,920.1,-811.5,-2606.0,,-161.9,-784.5,False,False,False,,True,False
Hawaii,186,49.7,76.2,27.6,,,29.9,79.7,-136.3,-109.8,-158.4,,,-156.1,-106.3,True,False,,,False,True
Idaho,529,466.1,1202.0,394.1,345.0,,344.8,568.7,-62.9,673.0,-134.9,-184.0,,-184.2,39.7,False,False,False,,False,True
Illinois,9452,8799.4,9452.0,8378.0,8270.0,,8951.0,9076.4,-652.6,-0.0,-1074.0,-1182.0,,-501.0,-375.6,True,False,False,,True,True
Indiana,3918,3863.4,3834.0,3323.5,3482.0,,3897.3,4317.8,-54.6,-84.0,-594.5,-436.0,,-20.7,399.8,False,False,False,,True,False
Iowa,1528,1255.9,1580.4,1609.0,1112.0,,1013.3,1389.3,-272.1,52.4,81.0,-416.0,,-514.7,-138.7,True,True,False,,False,True
