,total_deaths_2020-09-13,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
STH-3PU,194071,219228.0,219289,25157.0,25218,-61.0,-0.2%
Baseline,194071,218988.1,219289,24917.1,25218,-300.9,-1.2%
Columbia_UNC-SurvCon,194071,217732.0,219289,23661.0,25218,-1557.0,-6.2%
IowaStateLW-STEM,194071,221694.0,219289,27623.0,25218,2405.0,9.5%
NotreDame-mobility,194071,216462.7,219289,22391.7,25218,-2826.3,-11.2%
JHU_IDD-CovidSP,194071,222262.0,219289,28191.0,25218,2973.0,11.8%
JCB-PRM,194071,214990.3,219289,20919.3,25218,-4298.7,-17.0%
Karlen-pypm,194071,214707.9,219289,20636.9,25218,-4581.1,-18.2%
USC-SI_kJalpha,194071,214687.0,219289,20616.0,25218,-4602.0,-18.2%
UCLA-SuEIR,194071,214543.3,219289,20472.3,25218,-4745.7,-18.8%
CovidAnalytics-DELPHI,194071,214406.0,219289,20335.0,25218,-4883.0,-19.4%
UCM_MESALab-FoGSEIR,194071,214389.0,219289,20318.0,25218,-4900.0,-19.4%
Covid19Sim-Simulator,194071,214147.1,219289,20076.1,25218,-5141.9,-20.4%
QJHong-Encounter,194071,213893.3,219289,19822.3,25218,-5395.7,-21.4%
IBF-TimeSeries,194071,224887.2,219289,30816.2,25218,5598.2,22.2%
USACE-ERDC_SEIR,194071,225072.0,219289,31001.0,25218,5783.0,22.9%
PSI-DRAFT,194071,213469.5,219289,19398.5,25218,-5819.5,-23.1%
YYG-ParamSearch,194071,212646.3,219289,18575.3,25218,-6642.7,-26.3%
JHUAPL-Bucky,194071,211961.4,219289,17890.4,25218,-7327.6,-29.1%
WalmartLabsML-LogForecasting,194071,211201.5,219289,17130.5,25218,-8087.5,-32.1%
LANL-GrowthRate,194071,210500.8,219289,16429.8,25218,-8788.2,-34.8%
RobertWalraven-ESG,194071,205279.2,219289,11208.2,25218,-14009.8,-55.6%
MITCovAlliance-SIR,194071,,219289,,25218,,
NotreDame-FRED,194071,,219289,,25218,,
