,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2788,2663.9,2599.5,2675.0,2676.0,2671.9,2672.0,2666.0,2658.0,2659.7,2653.0,2665.0,2645.0,2695.2,2675.0,2736.0,2704.6,2684.8,2698.4,2706.2,2672.1,2668.7,2678.1,2781.0,2668.8,,2763.9,2676.0,2690.0,,2696.2,2618.2,,2685.0,3116.9,2683.0,2673.3,,2660.4,2691.0,2730.2,2656.0,2629.0,2689.8,2696.2,2605.0,-124.1,-188.5,-113.0,-112.0,-116.1,-116.0,-122.0,-130.0,-128.3,-135.0,-123.0,-143.0,-92.8,-113.0,-52.0,-83.4,-103.2,-89.6,-81.8,-115.9,-119.3,-109.9,-7.0,-119.2,,-24.1,-112.0,-98.0,,-91.8,-169.8,,-103.0,328.9,-105.0,-114.7,,-127.6,-97.0,-57.8,-132.0,-159.0,-98.2,-91.8,-183.0,False,True,True,True,True,True,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,False,,True,False,True,True,,False,True,True,False,False,True,True,False
Alaska,67,61.7,63.2,68.1,72.0,70.0,68.0,69.0,79.0,75.0,67.0,67.6,77.7,72.7,,,63.7,76.5,82.9,74.1,71.1,66.2,62.2,104.0,71.9,,60.7,68.8,68.0,,,61.2,,73.0,59.5,75.0,62.3,,64.2,69.0,64.3,77.0,64.0,63.0,68.7,62.0,-5.3,-3.8,1.1,5.0,3.0,1.0,2.0,12.0,8.0,0.0,0.6,10.7,5.7,,,-3.3,9.5,15.9,7.1,4.1,-0.8,-4.8,37.0,4.9,,-6.3,1.8,1.0,,,-5.8,,6.0,-7.5,8.0,-4.7,,-2.8,2.0,-2.7,10.0,-3.0,-4.0,1.7,-5.0,True,True,True,True,True,True,False,False,True,True,False,False,,,True,False,False,False,True,True,True,False,True,,False,True,True,,,False,,False,False,False,True,,True,True,True,False,True,True,True,True
Arizona,5824,5860.1,5788.2,5861.4,5870.0,5871.2,5887.0,5900.0,5929.0,5934.9,5924.0,5858.8,5897.9,5903.1,5951.0,5928.0,5946.0,5986.0,5894.3,5843.2,5963.8,5876.5,5841.2,5902.0,5783.6,,5828.2,5838.4,5899.0,,6041.2,5739.9,,5934.0,6252.3,5873.0,5881.8,,5774.4,5882.0,6011.2,5884.0,5835.0,5945.7,5870.0,5805.0,36.1,-35.8,37.4,46.0,47.2,63.0,76.0,105.0,110.9,100.0,34.8,73.9,79.1,127.0,104.0,122.0,162.0,70.3,19.2,139.8,52.5,17.2,78.0,-40.4,,4.2,14.4,75.0,,217.2,-84.1,,110.0,428.3,49.0,57.8,,-49.6,58.0,187.2,60.0,11.0,121.7,46.0,-19.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,,True,True,False,,False,False,,False,False,False,False,,False,False,False,False,True,False,False,True
Arkansas,1684,1642.3,1633.8,1695.6,1610.0,1651.0,1647.0,1570.0,1686.0,1639.2,1624.0,1659.9,,1619.6,1660.0,1663.0,1664.4,1700.2,1612.8,1582.6,1652.8,1577.1,1634.3,1605.0,1700.4,,1528.0,1688.2,1606.0,,1647.3,1603.8,,1687.0,1357.1,1690.0,1621.9,,1700.6,1621.0,1672.4,1652.0,1670.0,1560.4,1630.3,1361.0,-41.7,-50.2,11.6,-74.0,-33.0,-37.0,-114.0,2.0,-44.8,-60.0,-24.1,,-64.4,-24.0,-21.0,-19.6,16.2,-71.2,-101.4,-31.2,-106.9,-49.7,-79.0,16.4,,-156.0,4.2,-78.0,,-36.7,-80.2,,3.0,-326.9,6.0,-62.1,,16.6,-63.0,-11.6,-32.0,-14.0,-123.6,-53.7,-323.0,False,True,False,True,True,False,True,False,False,True,,False,True,True,True,True,False,False,True,False,False,False,True,,False,True,False,,True,False,,True,False,True,False,,True,False,True,True,True,False,False,False
California,16956,17151.7,16863.7,17180.7,17121.0,17179.1,17056.0,16944.0,17208.0,16929.6,16935.0,16894.4,17015.1,16847.1,17247.0,17298.0,17099.3,17160.0,17048.9,17163.0,17021.2,16978.0,17074.2,16976.0,17046.9,,16843.3,17181.0,16721.0,,17247.9,16732.4,,17181.0,16233.8,17425.0,17120.6,18003.0,17047.6,17036.0,17223.4,17205.0,16972.5,16996.1,17042.0,16593.0,195.7,-92.3,224.7,165.0,223.1,100.0,-12.0,252.0,-26.4,-21.0,-61.6,59.1,-108.9,291.0,342.0,143.3,204.0,92.9,207.0,65.2,22.0,118.2,20.0,90.9,,-112.7,225.0,-235.0,,291.9,-223.6,,225.0,-722.2,469.0,164.6,1047.0,91.6,80.0,267.4,249.0,16.5,40.1,86.0,-363.0,True,False,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True,False,True,True,True,True,True,,True,False,False,,False,False,,False,False,False,True,False,True,True,False,False,True,True,True,False
Colorado,2176,2118.1,2114.1,2101.7,2107.0,2101.1,2116.0,2159.0,2139.0,2125.8,2155.0,2117.2,2118.7,2121.0,2098.0,2137.0,2127.1,2171.8,2133.1,2143.1,2130.1,2116.0,2123.7,2177.0,2104.5,,2145.6,2112.3,2100.0,,2107.2,2096.1,,2132.0,2404.5,2137.0,2096.2,,2106.2,2130.0,2109.2,2134.0,2148.0,2097.5,2131.9,2096.0,-57.9,-61.9,-74.3,-69.0,-74.9,-60.0,-17.0,-37.0,-50.2,-21.0,-58.8,-57.3,-55.0,-78.0,-39.0,-48.9,-4.2,-42.9,-32.9,-45.9,-60.0,-52.3,1.0,-71.5,,-30.4,-63.7,-76.0,,-68.8,-79.9,,-44.0,228.5,-39.0,-79.8,,-69.8,-46.0,-66.8,-42.0,-28.0,-78.5,-44.1,-80.0,False,False,False,False,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,False,True,True,False,,True,False,False,,False,False,,True,False,True,False,,False,True,False,True,True,False,True,False
Connecticut,4542,4535.3,4563.1,4539.4,4538.0,4540.0,4537.0,4548.0,4538.0,4535.1,4556.0,4534.4,4534.6,4577.8,4533.0,4561.0,4535.2,4569.2,4538.3,4546.8,4532.4,4526.8,4534.2,4543.0,4534.7,,4539.1,4545.4,4515.0,,4529.4,4521.3,,4537.0,4863.6,4541.0,4533.4,,4537.5,4546.0,4536.9,4536.0,4529.0,4515.6,4543.6,4522.0,-6.7,21.1,-2.6,-4.0,-2.0,-5.0,6.0,-4.0,-6.9,14.0,-7.6,-7.4,35.8,-9.0,19.0,-6.8,27.2,-3.7,4.8,-9.6,-15.2,-7.8,1.0,-7.3,,-2.9,3.4,-27.0,,-12.6,-20.7,,-5.0,321.6,-1.0,-8.6,,-4.5,4.0,-5.1,-6.0,-13.0,-26.4,1.6,-20.0,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,,True,True,False,,False,False,,True,False,True,False,,True,True,True,True,False,False,True,False
Delaware,664,667.3,670.3,668.5,668.0,669.0,667.0,667.0,662.0,666.1,663.0,667.8,673.8,674.2,650.0,654.0,660.0,667.0,705.2,659.4,664.3,658.1,661.7,663.0,665.2,,667.7,675.4,654.0,,,649.3,,667.0,734.7,680.0,654.5,,669.1,665.0,683.9,663.0,672.0,660.2,666.4,659.0,3.3,6.3,4.5,4.0,5.0,3.0,3.0,-2.0,2.1,-1.0,3.8,9.8,10.2,-14.0,-10.0,-4.0,3.0,41.2,-4.6,0.3,-5.9,-2.3,-1.0,1.2,,3.7,11.4,-10.0,,,-14.7,,3.0,70.7,16.0,-9.5,,5.1,1.0,19.9,-1.0,8.0,-3.8,2.4,-5.0,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,,False,False,False,,,False,,True,False,False,False,,False,True,False,True,False,False,True,False
District of Columbia,641,644.0,644.2,632.3,637.0,639.2,638.0,633.0,636.0,635.6,635.0,644.2,638.1,640.2,634.0,633.0,636.2,637.6,,639.1,637.7,636.3,633.3,637.0,,,637.4,638.6,636.0,,,639.9,,638.0,670.5,662.0,637.4,,,638.0,,640.0,647.0,635.2,642.4,638.0,3.0,3.2,-8.7,-4.0,-1.8,-3.0,-8.0,-5.0,-5.4,-6.0,3.2,-2.9,-0.8,-7.0,-8.0,-4.8,-3.4,,-1.9,-3.3,-4.7,-7.7,-4.0,,,-3.6,-2.4,-5.0,,,-1.1,,-3.0,29.5,21.0,-3.6,,,-3.0,,-1.0,6.0,-5.8,1.4,-3.0,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,,True,False,False,False,False,,,False,True,False,,,True,,False,False,False,False,,,False,,True,False,False,True,False
Florida,15917,15857.7,15685.9,15831.4,15760.0,15839.8,15737.0,15447.0,15908.0,15669.0,15529.0,15354.7,15639.8,15428.2,16003.0,15775.0,15800.2,15741.5,15661.9,15632.1,15859.0,15605.5,15639.3,15561.0,15373.2,,15815.5,15889.3,15541.0,,16017.4,15583.1,,15850.0,16248.2,15864.0,15737.8,,15394.1,15655.0,15816.6,15787.0,15778.5,15571.5,15807.1,15080.0,-59.3,-231.1,-85.6,-157.0,-77.2,-180.0,-470.0,-9.0,-248.0,-388.0,-562.3,-277.2,-488.8,86.0,-142.0,-116.8,-175.5,-255.1,-284.9,-58.0,-311.5,-277.7,-356.0,-543.8,,-101.5,-27.7,-376.0,,100.4,-333.9,,-67.0,331.2,-53.0,-179.2,,-522.9,-262.0,-100.4,-130.0,-138.5,-345.5,-109.9,-837.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,False,True,False,,False,False,,False,False,True,False,,False,False,False,False,False,False,False,False
