,count,mean,median,std,min,25%,75%,max
YYG-ParamSearch,51,149.9,62.6,288.6,0.1,22.3,181.0,1935.6
Covid19Sim-Simulator,51,165.5,62.5,349.7,0.0,21.3,143.2,2306.6
UCLA-SuEIR,51,191.2,114.5,193.4,0.9,36.5,308.3,648.1
USC-SI_kJalpha,51,210.1,78.0,410.4,0.0,20.0,221.0,2478.0
IowaStateLW-STEM,49,216.2,76.0,383.8,3.0,30.5,257.5,2462.0
CovidAnalytics-DELPHI,51,244.4,113.0,394.5,1.0,35.0,301.0,2123.0
Baseline,51,250.2,106.9,390.1,0.0,30.4,261.6,2011.0
LANL-GrowthRate,51,285.3,102.6,464.2,3.0,43.5,311.2,2535.1
RobertWalraven-ESG,51,334.1,185.2,476.6,0.0,65.2,365.7,2793.2
USACE-ERDC_SEIR,51,425.4,190.0,567.6,4.8,39.5,569.2,2638.9
IHME-CurveFit,51,483.8,160.7,982.4,1.0,67.5,415.7,5686.3
