,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Alabama,2788,2943.7,5837.0,3176.4,2980.0,,3359.1,2780.0,2921.9,2989.4,2545.3,2679.5,,3120.4,3206.0,,2527.4,,2789.0,2729.5,3159.0,2480.5,2770.2,155.7,3049.0,388.4,192.0,,571.1,-8.0,133.9,201.4,-242.7,-108.5,,332.4,418.0,,-260.6,,1.0,-58.5,371.0,-307.5,-17.8,False,False,False,,False,True,True,False,False,True,,False,False,,False,,True,True,False,False,True
Alaska,67,71.3,76.0,74.6,67.0,,54.5,,61.6,108.0,60.0,100.5,,57.6,86.0,,46.1,,59.7,70.8,64.0,52.4,67.4,4.3,9.0,7.6,0.0,,-12.5,,-5.4,41.0,-7.0,33.5,,-9.4,19.0,,-20.9,,-7.3,3.8,-3.0,-14.6,0.4,False,False,True,,False,,False,False,False,False,,False,False,,False,,False,True,True,False,True
Arizona,5824,6339.7,5849.0,5956.1,6207.0,,6122.4,6669.0,5744.2,5826.1,6095.1,5836.4,,5648.8,5836.0,,5647.6,,6093.9,5751.5,6176.0,5937.4,5877.5,515.7,25.0,132.1,383.0,,298.4,845.0,-79.8,2.1,271.1,12.4,,-175.2,12.0,,-176.4,,269.9,-72.5,352.0,113.4,53.5,True,True,True,,True,False,True,True,True,True,,True,True,,True,,True,True,True,True,True
Arkansas,1684,1538.3,1749.0,1615.1,1284.0,,1989.8,1341.0,1313.3,1440.8,1360.3,1319.7,,1194.0,1818.5,,1114.0,,1399.2,1231.0,1525.0,1108.5,1311.4,-145.7,65.0,-68.9,-400.0,,305.8,-343.0,-370.7,-243.2,-323.7,-364.3,,-490.0,134.5,,-570.0,,-284.8,-453.0,-159.0,-575.5,-372.6,True,True,False,,False,False,False,False,False,False,,False,True,,False,,False,False,False,False,False
California,16956,18381.6,16243.0,16391.0,18322.0,,18961.3,18196.0,16912.3,18571.5,16050.3,17575.8,,16061.4,17591.0,,15132.6,,17920.3,16895.4,16485.0,16033.0,17237.9,1425.6,-713.0,-565.0,1366.0,,2005.3,1240.0,-43.7,1615.5,-905.7,619.8,,-894.6,635.0,,-1823.4,,964.3,-60.6,-471.0,-923.0,281.9,True,True,True,,False,True,True,False,True,True,,True,True,,False,,True,True,True,True,True
Colorado,2176,2147.7,2142.0,2088.0,2040.0,,2162.0,2151.0,2069.5,2263.4,2051.3,2106.0,,2171.1,2439.0,,2013.5,,2088.1,2394.5,2098.0,2046.0,2101.4,-28.3,-34.0,-88.0,-136.0,,-14.0,-25.0,-106.5,87.4,-124.7,-70.0,,-4.9,263.0,,-162.5,,-87.9,218.5,-78.0,-130.0,-74.6,False,False,False,,True,True,False,False,False,False,,True,False,,False,,False,False,False,False,False
Connecticut,4542,4485.6,4583.0,4524.1,4476.0,,4516.5,4563.0,4524.9,4572.1,4493.9,4582.6,,4525.5,4470.0,,4487.1,,4498.9,4841.4,4487.0,4510.5,4523.4,-56.4,41.0,-17.9,-66.0,,-25.5,21.0,-17.1,30.1,-48.1,40.6,,-16.5,-72.0,,-54.9,,-43.1,299.4,-55.0,-31.5,-18.6,True,True,False,,True,True,True,True,True,True,,True,False,,True,,True,False,True,True,True
Delaware,664,638.3,613.0,645.5,619.0,,677.3,640.0,629.5,649.1,628.6,636.4,,659.4,612.0,,625.6,,630.3,755.9,645.0,638.9,639.9,-25.7,-51.0,-18.5,-45.0,,13.3,-24.0,-34.5,-14.9,-35.4,-27.6,,-4.6,-52.0,,-38.4,,-33.7,91.9,-19.0,-25.1,-24.1,False,True,False,,True,True,False,True,False,False,,True,False,,False,,False,False,True,True,True
District of Columbia,641,640.3,633.0,629.5,620.0,,648.9,628.0,634.9,633.1,623.8,631.6,,631.1,620.0,,627.4,,649.9,701.5,633.0,624.6,631.9,-0.7,-8.0,-11.5,-21.0,,7.9,-13.0,-6.1,-7.9,-17.2,-9.4,,-9.9,-21.0,,-13.6,,8.9,60.5,-8.0,-16.4,-9.1,False,False,False,,False,False,False,False,False,False,,False,False,,False,,False,False,False,False,False
Florida,15917,16124.7,14372.0,14022.0,15128.0,,15066.2,15510.0,14423.4,16202.3,13790.1,19239.4,,14669.1,13901.5,,13059.4,,15160.0,14053.8,14793.0,13972.5,14142.4,207.7,-1545.0,-1895.0,-789.0,,-850.8,-407.0,-1493.6,285.3,-2126.9,3322.4,,-1247.9,-2015.5,,-2857.6,,-757.0,-1863.2,-1124.0,-1944.5,-1774.6,False,False,False,,False,False,False,False,False,False,,False,False,,False,,False,False,False,False,False
