,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2788,2683.9,2693.6,2631.0,2693.0,2735.0,2902.0,2689.0,2647.3,2790.0,2703.3,2666.7,2825.2,,2812.6,2870.0,2735.9,2772.5,2764.2,2674.5,2681.5,2720.6,2746.8,2863.0,2821.5,,2850.8,2738.0,2662.5,,2788.8,2598.6,2751.0,3116.9,2707.0,2690.8,,2835.3,2746.0,2801.7,3094.7,2771.0,2621.5,2705.5,2709.0,2556.0,-104.1,-94.4,-157.0,-95.0,-53.0,114.0,-99.0,-140.7,2.0,-84.7,-121.3,37.2,,24.6,82.0,-52.1,-15.5,-23.8,-113.5,-106.5,-67.4,-41.2,75.0,33.5,,62.8,-50.0,-125.5,,0.8,-189.4,-37.0,328.9,-81.0,-97.2,,47.3,-42.0,13.7,306.7,-17.0,-166.5,-82.5,-79.0,-232.0,True,False,True,True,False,True,False,True,True,False,True,,True,True,True,True,True,False,False,True,True,True,True,,True,True,False,,True,False,True,False,True,True,,True,True,True,False,True,False,True,True,False
Alaska,67,87.4,73.0,73.0,73.0,67.0,53.0,61.0,57.4,69.0,76.6,63.0,68.8,,47.0,,60.0,73.3,79.0,61.5,66.2,62.8,84.0,110.0,69.4,,66.5,79.0,61.0,,,60.0,64.0,59.5,77.0,67.2,,83.8,75.0,59.4,65.1,64.0,61.5,62.9,73.4,60.0,20.4,6.0,6.0,6.0,0.0,-14.0,-6.0,-9.6,2.0,9.6,-4.0,1.8,,-20.0,,-7.0,6.3,12.0,-5.5,-0.8,-4.2,17.0,43.0,2.4,,-0.5,12.0,-6.0,,,-7.0,-3.0,-7.5,10.0,0.2,,16.8,8.0,-7.6,-1.9,-3.0,-5.5,-4.1,6.4,-7.0,True,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,True,True,True,True,False,True,,True,True,True,,,True,True,True,True,True,,True,True,True,True,True,True,True,True,True
Arizona,5824,6040.1,6038.6,6036.0,6087.3,5954.0,5879.0,6692.0,5925.2,5990.0,5890.3,5946.2,5882.9,,5983.1,6066.0,5928.0,5738.5,5849.0,5996.0,5822.5,5927.9,5884.7,5891.0,6289.9,,5850.8,6117.1,5884.0,,6086.8,5752.3,6140.0,6252.3,6102.0,6037.9,,6303.6,5913.0,6298.7,5905.9,6042.0,5847.0,5994.1,6008.6,5903.0,216.1,214.6,212.0,263.3,130.0,55.0,868.0,101.2,166.0,66.3,122.2,58.9,,159.1,242.0,104.0,-85.5,25.0,172.0,-1.5,103.9,60.7,67.0,465.9,,26.8,293.1,60.0,,262.8,-71.7,316.0,428.3,278.0,213.9,,479.6,89.0,474.7,81.9,218.0,23.0,170.1,184.6,79.0,True,True,False,True,True,False,True,True,True,True,True,,True,False,True,True,True,True,True,True,True,True,False,,True,False,True,,False,True,False,False,False,True,,False,True,False,True,False,True,True,True,True
Arkansas,1684,1670.9,1586.2,1537.0,1596.8,1594.0,1546.0,1929.0,1834.9,1591.0,1651.1,,1615.4,,1527.6,1466.0,1625.5,1476.6,1562.6,1694.6,1476.6,1607.3,1682.6,1573.0,1696.9,,1508.1,1678.0,1855.0,,1839.6,1552.4,1742.0,1357.1,1781.0,1552.1,,1710.7,1671.0,1659.1,1481.7,1641.0,1552.0,1497.2,1562.9,1334.0,-13.1,-97.8,-147.0,-87.2,-90.0,-138.0,245.0,150.9,-93.0,-32.9,,-68.6,,-156.4,-218.0,-58.5,-207.4,-121.4,10.6,-207.4,-76.7,-1.4,-111.0,12.9,,-175.9,-6.0,171.0,,155.6,-131.6,58.0,-326.9,97.0,-131.9,,26.7,-13.0,-24.9,-202.3,-43.0,-132.0,-186.8,-121.1,-350.0,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,True,False,False,True,False,True,,False,True,False,,False,False,False,False,False,False,,False,True,False,False,False,False,False,False,False
California,16956,17291.7,17351.6,17126.0,17277.6,17142.0,17136.0,16995.0,16748.9,17179.0,16806.4,17066.3,16820.9,,17945.7,17170.0,16970.4,16492.6,17319.4,16948.0,16713.5,17142.1,16807.2,16925.0,17849.4,,16447.5,17433.6,17165.0,,17570.5,16256.3,17352.0,21931.0,17785.0,17142.8,19977.0,17859.6,16964.0,17430.1,16908.0,17238.0,16667.0,16868.0,17246.9,16020.0,335.7,395.6,170.0,321.6,186.0,180.0,39.0,-207.1,223.0,-149.6,110.3,-135.1,,989.7,214.0,14.4,-463.4,363.4,-8.0,-242.5,186.1,-148.8,-31.0,893.4,,-508.5,477.6,209.0,,614.5,-699.7,396.0,4975.0,829.0,186.8,3021.0,903.6,8.0,474.1,-48.0,282.0,-289.0,-88.0,290.9,-936.0,False,True,True,True,True,True,True,True,True,True,True,,False,True,True,False,False,True,True,True,True,True,False,,False,False,True,,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,False
Colorado,2176,2118.1,2120.4,2122.0,2124.5,2135.0,2218.0,2260.0,2141.8,2066.0,2128.3,2140.1,2165.0,,2114.6,2136.0,2143.3,2343.7,2176.8,2143.4,2118.1,2133.1,2135.6,2200.0,2077.8,,2045.6,2157.8,2061.0,,2113.0,2077.8,2146.0,2404.5,2135.0,2105.8,,2091.8,2144.0,2152.5,2383.4,2185.0,2122.0,2085.7,2135.3,2104.0,-57.9,-55.6,-54.0,-51.5,-41.0,42.0,84.0,-34.2,-110.0,-47.7,-35.9,-11.0,,-61.4,-40.0,-32.7,167.7,0.8,-32.6,-57.9,-42.9,-40.4,24.0,-98.2,,-130.4,-18.2,-115.0,,-63.0,-98.2,-30.0,228.5,-41.0,-70.2,,-84.2,-32.0,-23.5,207.4,9.0,-54.0,-90.3,-40.7,-72.0,True,True,True,True,True,False,True,False,True,True,True,,False,True,True,False,True,True,False,True,True,True,False,,False,True,False,,False,False,True,False,True,False,,False,True,True,False,True,True,False,True,False
Connecticut,4542,4526.7,4523.3,4527.0,4547.2,4532.0,4564.0,4551.0,4532.2,4502.0,4532.5,4538.5,4596.7,,4545.8,4554.0,4529.1,4663.1,4550.0,4531.0,4512.2,4519.9,4623.5,4543.0,4526.3,,4542.9,4526.8,4517.0,,4529.7,4514.5,4540.0,5054.3,4523.0,4523.9,,4540.1,4530.0,4588.8,4754.2,4538.0,4528.5,4507.8,4550.3,4516.0,-15.3,-18.7,-15.0,5.2,-10.0,22.0,9.0,-9.8,-40.0,-9.5,-3.5,54.7,,3.8,12.0,-12.9,121.1,8.0,-11.0,-29.8,-22.1,81.5,1.0,-15.7,,0.9,-15.2,-25.0,,-12.3,-27.5,-2.0,512.3,-19.0,-18.1,,-1.9,-12.0,46.8,212.2,-4.0,-13.5,-34.2,8.3,-26.0,False,True,True,True,False,True,True,False,True,True,False,,True,True,True,False,True,True,False,False,False,True,False,,True,True,False,,True,False,True,False,False,False,,True,True,False,False,True,True,False,True,False
Delaware,664,667.3,666.7,661.0,670.0,662.0,655.0,671.0,659.6,636.0,667.7,664.3,661.6,,652.5,655.0,652.3,667.8,658.1,654.1,646.1,650.1,663.9,657.0,661.2,,651.7,670.1,641.0,,,655.2,666.0,734.7,677.0,659.7,,674.9,651.0,694.7,707.5,653.0,832.0,648.6,658.1,655.0,3.3,2.7,-3.0,6.0,-2.0,-9.0,7.0,-4.4,-28.0,3.7,0.3,-2.4,,-11.5,-9.0,-11.7,3.8,-5.9,-9.9,-17.9,-13.9,-0.1,-7.0,-2.8,,-12.3,6.1,-23.0,,,-8.8,2.0,70.7,13.0,-4.3,,10.9,-13.0,30.7,43.5,-11.0,168.0,-15.4,-5.9,-9.0,True,True,False,True,False,False,False,False,False,True,True,,False,False,False,False,False,False,False,False,True,False,True,,False,False,False,,,False,True,False,False,False,,False,False,False,False,False,False,False,False,False
District of Columbia,641,635.4,637.4,636.0,640.1,636.0,635.0,637.0,633.3,627.0,644.7,639.5,648.3,,635.4,628.0,632.9,649.4,639.0,636.4,632.4,624.7,640.8,635.0,,,634.4,636.3,628.0,,,624.6,638.0,670.5,649.0,635.8,,,634.0,,665.1,637.0,630.0,630.1,634.6,636.0,-5.6,-3.6,-5.0,-0.9,-5.0,-6.0,-4.0,-7.7,-14.0,3.7,-1.5,7.3,,-5.6,-13.0,-8.1,8.4,-2.0,-4.6,-8.6,-16.3,-0.2,-6.0,,,-6.6,-4.7,-13.0,,,-16.4,-3.0,29.5,8.0,-5.2,,,-7.0,,24.1,-4.0,-11.0,-10.9,-6.4,-5.0,True,True,True,True,False,True,False,False,True,True,False,,False,False,False,False,True,True,False,False,True,False,,,False,True,False,,,False,True,False,False,True,,,False,,False,True,False,False,False,True
Florida,15917,16134.9,16269.0,15987.0,16226.6,15562.0,15434.0,15921.0,15640.2,15375.0,15147.4,15754.6,15053.8,,16726.7,15535.0,15447.7,14516.9,15815.6,15226.1,15422.1,15593.6,15476.5,15428.0,16271.4,,15829.3,16465.7,15384.0,,16160.2,14677.6,16088.0,16248.2,15562.0,15898.0,,16828.2,15561.0,16221.1,14995.0,16173.0,14787.5,15341.6,15688.4,15005.0,217.9,352.0,70.0,309.6,-355.0,-483.0,4.0,-276.8,-542.0,-769.6,-162.4,-863.2,,809.7,-382.0,-469.3,-1400.1,-101.4,-690.9,-494.9,-323.4,-440.5,-489.0,354.4,,-87.7,548.7,-533.0,,243.2,-1239.4,171.0,331.2,-355.0,-19.0,,911.2,-356.0,304.1,-922.0,256.0,-1129.5,-575.4,-228.6,-912.0,False,True,False,False,False,True,False,False,False,True,False,,False,False,False,False,True,False,False,False,False,False,False,,True,False,False,,False,False,True,False,False,True,,False,False,False,False,False,False,False,False,False
