,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU
Alabama,2788,2219.4,2593.5,4079.8,1188.0,,-568.6,-194.5,1291.8,-1600.0,,True,False,False,
Alaska,67,47.7,21.9,69.3,,,-19.3,-45.1,2.3,,,False,True,,
Arizona,5824,3691.0,7863.5,8850.8,3805.0,,-2133.0,2039.5,3026.8,-2019.0,,True,False,True,
Arkansas,1684,625.4,855.3,1695.1,2057.0,,-1058.6,-828.7,11.1,373.0,,True,True,True,
California,16956,13438.3,14712.4,20800.8,7473.0,,-3517.7,-2243.6,3844.8,-9483.0,,True,False,False,
Colorado,2176,2865.9,2123.9,6718.2,1752.0,,689.9,-52.1,4542.2,-424.0,,True,False,True,
Connecticut,4542,6522.4,4850.6,4452.7,4508.0,,1980.4,308.6,-89.3,-34.0,,True,True,True,
Delaware,686,850.6,543.0,592.7,483.0,,283.6,-24.0,25.7,-84.0,,True,True,True,
District of Columbia,641,979.3,697.4,779.0,657.0,,338.3,56.4,138.0,16.0,,True,True,True,
Florida,15917,7056.0,7430.4,26935.3,9146.0,,-8861.0,-8486.6,11018.3,-6771.0,,True,False,True,
Georgia,7607,7290.3,3886.4,12355.6,2966.0,,-316.7,-3720.6,4748.6,-4641.0,,False,False,False,
Hawaii,186,17.0,19.3,33.9,,,-169.0,-166.7,-152.1,,,True,True,,
Idaho,529,158.4,214.2,108.8,91.0,,-370.6,-314.8,-420.2,-438.0,,True,False,False,
Illinois,9452,13522.3,7931.6,8540.8,8160.0,,4070.3,-1520.4,-911.2,-1292.0,,True,True,True,
Indiana,4025,4547.0,3300.8,3558.2,2527.0,,472.0,-774.2,-516.8,-1548.0,,False,False,False,
Iowa,1528,1491.3,1357.4,1283.4,904.0,,-36.7,-170.6,-244.6,-624.0,,False,False,False,
Kansas,859,459.3,332.7,444.3,344.0,,-399.7,-526.3,-414.7,-515.0,,False,False,False,
Kentucky,1312,1016.9,845.3,841.4,599.0,,-295.1,-466.7,-470.6,-713.0,,False,False,False,
Louisiana,5727,4406.9,4053.9,4338.3,4946.0,,-1320.1,-1673.1,-1388.7,-781.0,,False,False,True,
Maine,146,117.9,168.6,200.5,142.0,,-28.1,22.6,54.5,-4.0,,True,False,True,
Maryland,4036,6331.9,4724.6,5743.2,3908.0,,2295.9,688.6,1707.2,-128.0,,True,True,True,
Massachusetts,9723,13124.0,8812.8,8838.2,8949.0,,3401.0,-910.2,-884.8,-774.0,,True,True,True,
Michigan,7340,7605.3,6581.3,8885.4,8378.0,,265.3,-758.7,1545.4,1038.0,,False,False,False,
Minnesota,2270,3686.1,2185.3,3642.9,4714.0,,1416.1,-84.7,1372.9,2444.0,,True,True,False,
Mississippi,3171,2212.4,2404.5,1357.7,1440.0,,-958.6,-766.5,-1813.3,-1731.0,,True,False,False,
Missouri,2595,1510.0,1462.2,1766.0,1150.0,,-1073.0,-1120.8,-817.0,-1433.0,,False,True,False,
Montana,239,36.9,20.8,32.9,26.0,,-202.1,-218.2,-206.1,-213.0,,False,False,False,
Nebraska,547,715.0,481.1,681.7,295.0,,168.0,-65.9,134.7,-252.0,,True,True,False,
Nevada,1707,909.4,760.9,980.1,615.0,,-797.6,-946.1,-726.9,-1092.0,,False,True,False,
New Hampshire,466,927.1,651.5,876.1,354.0,,461.1,185.5,410.1,-112.0,,True,True,True,
New Jersey,16204,21284.0,13514.3,14382.4,13980.0,,6936.0,-833.7,34.4,-368.0,,True,True,True,
New Mexico,929,1131.4,992.2,1030.5,572.0,,202.4,63.2,101.5,-357.0,,True,True,False,
New York,33547,38878.6,31895.3,34187.2,32881.0,,6101.6,-881.7,1410.2,104.0,,True,True,True,
North Carolina,3929,2917.7,4743.6,3178.7,4191.0,,-1011.3,814.6,-750.3,262.0,,True,True,True,
North Dakota,399,109.7,118.3,130.9,571.0,,-289.3,-280.7,-268.1,172.0,,True,True,True,
Ohio,4784,5773.3,4008.4,3768.1,3202.0,,807.3,-957.6,-1197.9,-1764.0,,False,False,False,
Oklahoma,1162,555.4,466.0,604.9,1077.0,,-606.6,-696.0,-557.1,-85.0,,False,True,True,
Oregon,619,351.6,280.1,1279.8,232.0,,-264.4,-335.9,663.8,-384.0,,False,False,False,
Pennsylvania,8442,11072.1,9149.7,9344.2,6749.0,,2630.1,707.7,902.2,-1693.0,,True,True,True,
Rhode Island,1174,1922.3,1183.4,1176.0,1002.0,,824.3,85.4,78.0,-96.0,,True,True,True,
South Carolina,3637,1564.3,2463.0,3257.4,1073.0,,-2072.7,-1174.0,-379.6,-2564.0,,True,True,False,
South Dakota,315,253.6,155.7,184.8,123.0,,-61.4,-159.3,-130.2,-192.0,,False,False,False,
Tennessee,2903,1474.0,1009.0,2305.6,1828.0,,-1429.0,-1894.0,-597.4,-1075.0,,False,True,True,
Texas,17723,4537.6,5623.9,6729.4,5465.0,12789.0,-12932.4,-11846.1,-10740.6,-12005.0,-4681.0,True,True,True,True
Utah,540,460.4,1462.7,774.4,419.0,,-79.6,922.7,234.4,-121.0,,False,False,False,
Vermont,58,55.0,90.9,65.3,60.0,,-3.0,32.9,7.3,2.0,,False,False,True,
Virginia,3422,2867.4,2484.8,2298.3,2056.0,,-554.6,-937.2,-1123.7,-1366.0,,False,False,False,
Washington,2211,2288.4,2020.7,2069.6,1426.0,,69.4,-198.3,-149.4,-793.0,,False,False,False,
West Virginia,401,159.4,127.3,154.2,87.0,,-241.6,-273.7,-246.8,-314.0,,False,False,False,
Wisconsin,1761,1495.6,1436.8,1480.3,1374.0,,-217.4,-276.2,-232.7,-339.0,,False,False,False,
Wyoming,57,35.9,30.9,27.7,18.0,,-21.1,-26.1,-29.3,-39.0,,False,False,False,
US,219813,207821.3,175540.6,227912.8,159890.0,177328.0,-9094.7,-41375.4,10996.8,-57026.0,-39588.0,False,False,False,False
