,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2788,2700.7,2905.2,4288.0,,2504.9,3791.2,-87.3,117.2,1500.0,,-283.1,1003.2,False,False,,False,False
Alaska,67,30.9,115.8,,,34.1,46.1,-36.1,48.8,,,-32.9,-20.9,False,,,True,True
Arizona,5824,7946.1,9231.9,5398.0,,5706.8,6329.5,2122.1,3407.9,-426.0,,-117.2,505.5,False,True,,True,True
Arkansas,1684,792.1,1010.2,1602.0,,551.9,1189.4,-891.9,-673.8,-82.0,,-1132.1,-494.6,True,True,,False,True
California,16956,16446.1,23135.5,11465.0,,13761.2,19299.4,-509.9,6179.5,-5491.0,,-3194.8,2343.4,False,False,,False,False
Colorado,2176,2057.6,2343.8,2098.0,,1983.3,2416.0,-118.4,167.8,-78.0,,-192.7,240.0,False,True,,False,False
Connecticut,4542,4528.1,4462.3,4516.0,,4490.0,4469.6,-13.9,-79.7,-26.0,,-52.0,-72.4,False,False,,False,False
Delaware,664,586.3,807.5,635.0,,685.0,659.3,-77.7,143.5,-29.0,,21.0,-4.7,False,True,,True,True
District of Columbia,641,692.7,598.8,603.0,,634.3,686.8,51.7,-42.2,-38.0,,-6.7,45.8,True,True,,True,True
Florida,15917,11323.0,29959.5,9452.0,,13285.7,14211.6,-4594.0,14042.5,-6465.0,,-2631.3,-1705.4,False,False,,True,True
Georgia,7607,4984.6,9378.1,5974.0,,4917.5,6771.9,-2622.4,1771.1,-1633.0,,-2689.5,-835.1,True,True,,False,True
Hawaii,186,19.0,90.2,,,23.9,36.2,-167.0,-95.8,,,-162.1,-149.8,True,,,True,True
Idaho,529,226.7,1247.5,404.0,,177.9,367.5,-302.3,718.5,-125.0,,-351.1,-161.5,False,True,,False,True
Illinois,9452,12487.4,8365.2,8910.0,,9661.4,8521.4,3035.4,-1086.8,-542.0,,209.4,-930.6,True,True,,True,True
Indiana,3918,3688.4,4128.2,3648.0,,3473.6,3938.4,-229.6,210.2,-270.0,,-444.4,20.4,True,False,,False,True
Iowa,1528,1181.6,1776.8,1114.0,,1006.2,1184.6,-346.4,248.8,-414.0,,-521.8,-343.4,True,False,,False,True
Kansas,859,477.1,1305.9,877.0,,445.4,563.2,-381.9,446.9,18.0,,-413.6,-295.8,False,True,,False,True
Kentucky,1312,1179.3,1321.1,1103.0,,902.3,1651.0,-132.7,9.1,-209.0,,-409.7,339.0,True,False,,False,False
Louisiana,5727,5189.7,6693.4,8368.0,,4437.3,5625.9,-537.3,966.4,2641.0,,-1289.7,-101.1,False,False,,False,True
