,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2788,3049.4,2574.3,2890.0,,2711.3,2773.5,261.4,-213.7,102.0,,-76.7,-14.5,True,True,,True,True
Alaska,67,45.7,100.0,,,44.5,54.3,-21.3,33.0,,,-22.5,-12.7,False,,,False,True
Arizona,5824,7659.1,4453.7,6969.0,,6317.9,6456.9,1835.1,-1370.3,1145.0,,493.9,632.9,True,True,,True,True
Arkansas,1684,1086.1,1096.4,1143.0,,809.1,1056.1,-597.9,-587.6,-541.0,,-874.9,-627.9,True,True,,False,False
California,16956,18913.3,16392.6,18628.0,,16402.0,17624.4,1957.3,-563.4,1672.0,,-554.0,668.4,True,True,,True,True
Colorado,2176,2232.6,2189.7,2129.0,,2269.1,2254.3,56.6,13.7,-47.0,,93.1,78.3,True,True,,False,False
Connecticut,4542,4559.3,4521.0,4528.0,,4561.0,4535.7,17.3,-21.0,-14.0,,19.0,-6.3,False,True,,False,True
Delaware,664,610.7,641.7,636.0,,627.1,665.3,-53.3,-22.3,-28.0,,-36.9,1.3,True,True,,True,True
District of Columbia,641,650.1,646.9,627.0,,655.3,643.6,9.1,5.9,-14.0,,14.3,2.6,True,False,,False,True
Florida,15917,20665.1,11903.1,16276.0,,16775.2,16072.7,4748.1,-4013.9,359.0,,858.2,155.7,True,True,,True,True
Georgia,7607,9157.1,6434.6,6602.0,,7470.6,7367.1,1550.1,-1172.4,-1005.0,,-136.4,-239.9,True,True,,True,True
Hawaii,186,119.7,332.6,,,125.9,146.1,-66.3,146.6,,,-60.1,-39.9,False,,,True,True
Idaho,529,552.4,508.1,406.0,,395.8,557.2,23.4,-20.9,-123.0,,-133.2,28.2,True,False,,False,False
Illinois,9452,8929.3,9153.5,8556.0,,8674.5,9154.1,-522.7,-298.5,-896.0,,-777.5,-297.9,True,False,,False,True
Indiana,3918,3947.9,3874.3,3651.0,,3808.1,4006.5,29.9,-43.7,-267.0,,-109.9,88.5,False,False,,False,False
Iowa,1528,1364.7,1308.3,1361.0,,1155.5,1367.5,-163.3,-219.7,-167.0,,-372.5,-160.5,False,False,,False,True
Kansas,859,636.3,674.3,592.0,,550.0,625.3,-222.7,-184.7,-267.0,,-309.0,-233.7,True,False,,False,False
Kentucky,1312,1137.7,,998.0,,1126.2,1163.2,-174.3,,-314.0,,-185.8,-148.8,,False,,False,True
Louisiana,5727,6668.1,,6177.0,,5278.9,5661.1,941.1,,450.0,,-448.1,-65.9,,True,,True,True
Maine,146,144.7,,138.0,,137.6,148.0,-1.3,,-8.0,,-8.4,2.0,,False,,False,False
Maryland,4036,4117.3,,3870.0,,3977.4,4303.3,81.3,,-166.0,,-58.6,267.3,,False,,True,False
Massachusetts,9723,9750.3,,8942.0,,9430.4,9718.8,27.3,,-781.0,,-292.6,-4.2,,False,,False,True
Michigan,7340,7238.6,,7060.0,,6987.0,7177.8,-101.4,,-280.0,,-353.0,-162.2,,False,,False,False
Minnesota,2270,2230.3,,2060.0,,1815.5,2197.8,-39.7,,-210.0,,-454.5,-72.2,,False,,False,False
Mississippi,3171,3749.1,,3414.0,,3132.2,3095.2,578.1,,243.0,,-38.8,-75.8,,True,,True,True
Missouri,2581,1817.0,,1717.0,,2301.1,1919.3,-764.0,,-864.0,,-279.9,-661.7,,False,,True,True
Montana,239,144.0,,177.0,,101.0,189.6,-95.0,,-62.0,,-138.0,-49.4,,True,,False,True
Nebraska,547,502.7,,492.0,,459.4,493.0,-44.3,,-55.0,,-87.6,-54.0,,False,,False,False
Nevada,1707,2090.6,,1907.0,,1582.3,1807.9,383.6,,200.0,,-124.7,100.9,,True,,True,True
New Hampshire,466,458.4,,426.0,,486.0,478.9,-7.6,,-40.0,,20.0,12.9,,False,,False,False
New Jersey,16204,16248.6,,16202.0,,16326.2,16096.1,44.6,,-2.0,,122.2,-107.9,,True,,False,False
New Mexico,929,970.9,,932.0,,891.8,973.4,41.9,,3.0,,-37.2,44.4,,True,,True,False
New York,33347,33424.6,,33195.0,,33120.0,33207.5,53.6,,-176.0,,-251.0,-163.5,,False,,False,False
North Carolina,3929,3719.9,,3639.0,,2982.6,3628.0,-209.1,,-290.0,,-946.4,-301.0,,False,,False,False
North Dakota,399,240.1,,203.0,,209.9,210.0,-158.9,,-196.0,,-189.1,-189.0,,False,,False,False
Ohio,5067,5216.6,,4760.0,,4728.9,5141.1,149.6,,-307.0,,-338.1,74.1,,False,,False,True
Oklahoma,1162,1174.7,,985.0,,917.2,1114.9,12.7,,-177.0,,-244.8,-47.1,,False,,False,False
Oregon,619,671.4,,601.0,,530.3,696.2,52.4,,-18.0,,-88.7,77.2,,True,,False,False
Pennsylvania,8442,8710.7,,7752.0,,8493.6,8477.1,268.7,,-690.0,,51.6,35.1,,False,,True,True
Rhode Island,1152,1083.0,,1074.0,,1089.6,1093.6,-63.0,,-72.0,,-56.4,-52.4,,False,,True,True
South Carolina,3637,4377.0,,3222.0,,3394.1,3748.0,740.0,,-415.0,,-242.9,111.0,,True,,True,True
South Dakota,315,215.0,,237.0,,217.9,218.8,-100.0,,-78.0,,-97.1,-96.2,,True,,True,True
Tennessee,2903,2632.6,,2418.0,,1922.9,2340.9,-270.4,,-485.0,,-980.1,-562.1,,False,,False,False
Texas,17440,21370.0,,22386.0,15968.0,15655.2,17853.3,3930.0,,4946.0,-1472.0,-1784.8,413.3,,False,True,True,True
Utah,540,602.1,,552.0,,559.0,601.2,62.1,,12.0,,19.0,61.2,,True,,True,True
Vermont,58,58.0,,58.0,,59.2,69.4,0.0,,0.0,,1.2,11.4,,True,,False,False
Virginia,3422,2868.1,,2810.0,,2602.0,3247.5,-553.9,,-612.0,,-820.0,-174.5,,False,,False,True
Washington,2239,2604.7,,2220.0,,2048.3,2636.7,365.7,,-19.0,,-190.7,397.7,,True,,True,False
West Virginia,401,346.0,,254.0,,332.8,374.3,-55.0,,-147.0,,-68.2,-26.7,,False,,False,True
Wisconsin,1574,1402.1,,1287.0,,1216.1,1492.3,-171.9,,-287.0,,-357.9,-81.7,,False,,False,True
Wyoming,57,47.7,,32.0,,39.7,44.8,-9.3,,-25.0,,-17.3,-12.2,,False,,False,False
US,219289,233061.7,196657.7,213239.0,219606.0,214552.0,217928.0,13754.7,-22649.3,-6068.0,299.0,-4755.0,-1379.0,False,True,True,True,True
