,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,717,637.0,,,,,858.0,709.1,,729.7,,,-80.0,,,,,141.0,-7.9,,12.7,,,,,,,False,True,,True,,
01003,3271,2149.0,,,,,1342.0,4251.1,,3348.9,,,-1122.0,,,,,-1929.0,980.1,,77.9,,,,,,,False,True,,True,,
01005,356,231.0,,,,,120.0,91.7,,,,,-125.0,,,,,-236.0,-264.3,,,,,,,,,False,False,,,,
01007,325,203.0,,,,,134.0,131.9,,,,,-122.0,,,,,-191.0,-193.1,,,,,,,,,False,False,,,,
01009,909,315.0,,,,,435.0,269.0,,,,,-594.0,,,,,-474.0,-640.0,,,,,,,,,True,False,,,,
01011,176,98.0,,,,,83.0,11.8,,,,,-78.0,,,,,-93.0,-164.2,,,,,,,,,False,False,,,,
01013,191,189.0,,,,,892.0,70.2,,,,,-2.0,,,,,701.0,-120.8,,,,,,,,,False,False,,,,
01015,1897,665.0,,,,,1094.0,926.4,,,,,-1232.0,,,,,-803.0,-970.6,,,,,,,,,True,True,,,,
01017,336,539.0,,,,,267.0,316.9,,,,,203.0,,,,,-69.0,-19.1,,,,,,,,,True,True,,,,
01019,268,133.0,,,,,70.0,67.9,,,,,-135.0,,,,,-198.0,-200.1,,,,,,,,,False,False,,,,
