,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,7883,7407.0,7188.1,7188.0,5736.0,,6267.2,8211.0,7737.6,5967.5,8886.0,8791.4,6823.8,5639.4,5739.0,6525.0,,5118.7,9053.4,7991.2,,4627.8,5888.0,-476.0,-694.9,-695.0,-2147.0,,-1615.8,328.0,-145.4,-1915.5,1003.0,908.4,-1059.2,-2243.6,-2144.0,-1358.0,,-2764.3,1170.4,108.2,,-3255.2,-1995.0,False,False,False,,False,True,True,False,False,False,False,False,False,False,,False,False,True,,False,False
Alaska,549,543.0,536.4,548.0,384.0,,497.7,559.0,677.4,572.6,,977.0,416.2,620.6,518.0,496.0,,481.9,957.0,615.7,683.2,776.8,463.0,-6.0,-12.6,-1.0,-165.0,,-51.3,10.0,128.4,23.6,,428.0,-132.8,71.6,-31.0,-53.0,,-67.1,408.0,66.7,134.2,227.8,-86.0,False,True,False,,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False
Arizona,5241,6547.0,6438.3,5628.0,5667.0,,3617.6,8317.0,5327.2,6227.0,7126.0,5915.7,8883.9,5628.4,5290.7,4621.0,,5365.8,8901.9,6849.2,,4472.6,5072.0,1306.0,1197.3,387.0,426.0,,-1623.4,3076.0,86.2,986.0,1885.0,674.7,3642.9,387.4,49.7,-620.0,,124.8,3660.9,1608.2,,-768.4,-169.0,True,True,True,,False,False,True,True,False,True,False,True,True,True,,True,False,False,,True,True
Arkansas,4207,3181.0,3558.3,3848.0,3754.0,,4525.8,5318.0,3935.9,3903.6,4984.0,4528.0,5802.8,3062.9,3521.3,3181.0,,3311.7,5621.9,2895.9,,4161.3,3591.0,-1026.0,-648.7,-359.0,-453.0,,318.8,1111.0,-271.1,-303.4,777.0,321.0,1595.8,-1144.1,-685.7,-1026.0,,-895.3,1414.9,-1311.1,,-45.7,-616.0,True,True,True,,True,False,True,True,True,True,False,False,True,False,,True,False,False,,True,True
California,46441,63606.0,61249.9,54964.0,75282.0,,40437.7,66686.0,47402.6,62626.9,68064.0,50229.0,47014.3,40399.3,54964.1,60023.0,,46873.1,39858.7,64236.9,73253.8,58530.7,46672.0,17165.0,14808.9,8523.0,28841.0,,-6003.3,20245.0,961.6,16185.9,21623.0,3788.0,573.3,-6041.7,8523.1,13582.0,,432.1,-6582.3,17795.9,26812.8,12089.7,231.0,True,True,False,,True,False,True,True,False,True,True,True,True,True,,True,True,False,False,True,True
Colorado,2045,2513.0,2417.8,2241.0,2345.0,,2240.7,1178.0,2956.0,2244.3,2490.0,3826.4,2337.8,2177.6,2193.8,2285.0,,2234.0,2385.4,2707.4,2041.2,2195.8,2363.0,468.0,372.8,196.0,300.0,,195.7,-867.0,911.0,199.3,445.0,1781.4,292.8,132.6,148.8,240.0,,189.0,340.4,662.4,-3.8,150.8,318.0,True,True,True,,True,False,False,True,True,False,True,True,True,True,,True,True,False,True,True,True
Connecticut,634,577.0,684.9,512.0,483.0,,799.1,21.0,255.4,465.0,600.0,943.8,1055.8,216.2,382.8,352.0,,234.3,5.5,633.1,85.5,511.8,389.0,-57.0,50.9,-122.0,-151.0,,165.1,-613.0,-378.6,-169.0,-34.0,309.8,421.8,-417.8,-251.2,-282.0,,-399.7,-628.5,-0.9,-548.5,-122.2,-245.0,True,False,False,,False,False,False,False,True,False,False,False,False,False,,False,False,True,False,False,False
Delaware,432,894.0,879.3,639.0,1180.0,,496.1,83.0,584.2,882.7,549.0,642.9,860.7,727.5,638.7,946.0,,529.7,789.0,858.0,449.4,1023.7,378.0,462.0,447.3,207.0,748.0,,64.1,-349.0,152.2,450.7,117.0,210.9,428.7,295.5,206.7,514.0,,97.7,357.0,426.0,17.4,591.7,-54.0,True,True,False,,True,True,True,True,True,True,True,True,True,False,,True,True,True,True,False,True
District of Columbia,375,506.0,501.9,497.0,512.0,,508.4,147.0,514.1,481.0,495.0,384.0,670.7,393.9,411.1,493.0,,,207.1,556.2,,468.5,483.0,131.0,126.9,122.0,137.0,,133.4,-228.0,139.1,106.0,120.0,9.0,295.7,18.9,36.1,118.0,,,-167.9,181.2,,93.5,108.0,True,True,False,,False,False,False,True,True,True,False,True,True,True,,,False,False,,True,True
Florida,27960,43060.0,43701.8,36466.0,43717.0,,20933.4,40721.0,37746.2,43428.5,32782.0,37580.2,40894.5,28133.6,31776.7,34008.0,,29368.0,38032.6,40841.2,36818.1,35933.4,31364.0,15100.0,15741.8,8506.0,15757.0,,-7026.6,12761.0,9786.2,15468.5,4822.0,9620.2,12934.5,173.6,3816.7,6048.0,,1408.0,10072.6,12881.2,8858.1,7973.4,3404.0,False,True,False,,True,True,True,False,True,True,True,True,True,True,,True,True,True,True,True,True
