,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,143,196.0,360.0,204.6,,197.0,180.0,,,,,182.2,,407.8,332.4,279.0,123.0,,153.9,192.0,,,,,,53.0,217.0,61.6,,54.0,37.0,,,,,39.2,,264.8,189.4,136.0,-20.0,,10.9,49.0,,,,,,False,False,,False,True,,,,,True,,False,False,False,True,,True,True,,,,,
01003,557,814.0,1931.9,811.5,,666.0,546.0,,,,,1353.8,,730.9,589.2,777.0,870.0,,478.1,569.2,504.0,,,,,257.0,1374.9,254.5,,109.0,-11.0,,,,,796.8,,173.9,32.2,220.0,313.0,,-78.9,12.2,-53.0,,,,,False,True,,True,True,,,,,False,,True,True,True,False,,True,True,True,,,,
01005,80,38.0,,31.1,,32.0,28.0,,,,,61.4,,10.3,29.7,,48.0,,27.2,68.8,,,,,,-42.0,,-48.9,,-48.0,-52.0,,,,,-18.6,,-69.7,-50.3,,-32.0,,-52.8,-11.2,,,,,,,False,,False,False,,,,,True,,False,False,,True,,False,True,,,,,
01007,75,132.0,,129.2,,123.0,147.0,,,,,115.7,,124.0,115.1,121.0,8.0,,49.9,129.8,,,,,,57.0,,54.2,,48.0,72.0,,,,,40.7,,49.0,40.1,46.0,-67.0,,-25.1,54.8,,,,,,,True,,True,False,,,,,True,,True,True,True,False,,True,True,,,,,
01009,204,168.0,319.0,167.0,,165.0,94.0,,,,,333.3,,120.7,143.0,162.0,83.0,,106.3,314.2,,,,,,-36.0,115.0,-37.0,,-39.0,-110.0,,,,,129.3,,-83.3,-61.0,-42.0,-121.0,,-97.7,110.2,,,,,,False,False,,False,False,,,,,False,,False,False,False,False,,False,False,,,,,
01011,71,54.0,,52.9,,29.0,14.0,,,,,21.3,,23.4,54.6,81.0,40.0,,21.3,34.2,,,,,,-17.0,,-18.1,,-42.0,-57.0,,,,,-49.7,,-47.6,-16.4,10.0,-31.0,,-49.7,-36.8,,,,,,,False,,False,False,,,,,False,,False,True,True,False,,False,False,,,,,
01013,44,30.0,,34.6,,32.0,45.0,,,,,23.7,,13.8,41.3,104.0,15.0,,77.2,28.2,,,,,,-14.0,,-9.4,,-12.0,1.0,,,,,-20.3,,-30.2,-2.7,60.0,-29.0,,33.2,-15.8,,,,,,,True,,True,True,,,,,False,,False,True,False,False,,False,False,,,,,
01015,439,646.0,830.9,635.5,,528.0,494.0,,,,,855.5,,455.2,446.7,456.0,302.0,,378.8,527.5,,,,,,207.0,391.9,196.5,,89.0,55.0,,,,,416.5,,16.2,7.7,17.0,-137.0,,-60.2,88.5,,,,,,False,True,,True,True,,,,,False,,True,True,True,True,,True,True,,,,,
01017,64,66.0,,65.1,,62.0,50.0,,,,,116.0,,12.5,44.5,124.0,55.0,,65.1,60.2,,,,,,2.0,,1.1,,-2.0,-14.0,,,,,52.0,,-51.5,-19.5,60.0,-9.0,,1.1,-3.8,,,,,,,True,,False,False,,,,,False,,False,False,False,False,,True,False,,,,,
01019,68,96.0,,94.5,,87.0,94.0,,,,,118.6,,37.2,66.7,66.0,47.0,,74.6,95.7,,,,,,28.0,,26.5,,19.0,26.0,,,,,50.6,,-30.8,-1.3,-2.0,-21.0,,6.6,27.7,,,,,,,True,,True,True,,,,,False,,False,True,True,True,,True,True,,,,,
