,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,48628,66435.0,,70613.7,68594.0,50711.3,69588.0,42928.3,131779.2,52802.0,80888.1,64466.1,49360.1,17807.0,,21985.7,19966.0,2083.3,20960.0,-5699.7,83151.2,4174.0,32260.1,15838.1,732.1,,False,False,True,False,True,False,True,False,True,True
Alaska,3373,2055.0,,3358.3,1627.0,89.6,,3081.7,7014.8,1939.3,3294.5,3466.8,15935.9,-1318.0,,-14.7,-1746.0,-3283.4,,-291.3,3641.8,-1433.7,-78.5,93.8,12562.9,,True,False,False,,True,False,False,True,True,False
Arizona,56630,106675.0,,168669.8,129002.0,108926.7,99276.0,55535.3,107926.5,55397.5,83839.7,60642.7,71682.6,50045.0,,112039.8,72372.0,52296.7,42646.0,-1094.7,51296.5,-1232.5,27209.7,4012.7,15052.6,,False,False,False,True,True,False,True,True,True,True
Arkansas,24066,23345.0,,25085.6,23780.0,11206.1,28895.0,26539.5,49536.7,17970.7,17636.6,20263.4,14900.9,-721.0,,1019.6,-286.0,-12859.9,4829.0,2473.5,25470.7,-6095.3,-6429.4,-3802.6,-9165.1,,False,True,False,False,False,False,False,False,False,False
California,283690,309920.0,,415571.4,321478.0,605996.3,324259.0,329043.0,845063.8,160374.2,332460.5,126509.7,65038.5,26230.0,,131881.4,37788.0,322306.3,40569.0,45353.0,561373.8,-123315.8,48770.5,-157180.3,-218651.5,,False,False,False,False,False,False,False,False,False,False
Colorado,15095,15985.0,,20812.2,3662.0,12778.4,14363.0,20763.5,72852.0,10585.6,29412.6,22439.7,15047.2,890.0,,5717.2,-11433.0,-2316.6,-732.0,5668.5,57757.0,-4509.4,14317.6,7344.7,-47.8,,False,False,False,True,False,False,False,False,False,True
Connecticut,3638,3030.0,,1770.1,147.0,3536.2,1624.0,11680.3,2114.3,1454.8,4828.7,2577.2,1229.6,-608.0,,-1867.9,-3491.0,-101.8,-2014.0,8042.3,-1523.7,-2183.2,1190.7,-1060.8,-2408.4,,False,False,True,False,False,False,False,False,False,False
Delaware,3426,3430.0,,4281.4,649.0,1223.1,1775.0,5554.5,6213.3,2340.7,5235.0,3191.0,6409.6,4.0,,855.4,-2777.0,-2202.9,-1651.0,2128.5,2787.3,-1085.3,1809.0,-235.0,2983.6,,False,False,False,False,False,False,False,False,False,False
District of Columbia,2340,1965.0,,1255.2,546.0,4876.2,1968.0,3152.5,9120.5,1361.2,2311.8,3544.2,442.0,-375.0,,-1084.8,-1794.0,2536.2,-372.0,812.5,6780.5,-978.8,-28.2,1204.2,-1898.0,,False,False,False,True,False,False,False,True,False,False
Florida,260028,415290.0,,676204.9,327721.0,428609.6,583268.0,159341.8,728209.2,390497.7,344441.9,281198.5,187036.1,155262.0,,416176.9,67693.0,168581.6,323240.0,-100686.2,468181.2,130469.7,84413.9,21170.5,-72991.9,,False,True,False,False,True,False,True,True,True,True
Georgia,112342,127395.0,,198661.7,90502.0,80350.3,98339.0,64360.6,426842.1,94176.2,267541.9,88293.8,199597.2,15053.0,,86319.7,-21840.0,-31991.7,-14003.0,-47981.4,314500.1,-18165.8,155199.9,-24048.2,87255.2,,False,False,False,True,False,False,False,False,False,False
Hawaii,5002,770.0,,1452.3,154.0,14.9,,4763.1,5410.0,581.1,1214.9,609.8,2640.1,-4232.0,,-3549.7,-4848.0,-4987.1,,-238.9,408.0,-4420.9,-3787.1,-4392.2,-2361.9,,True,False,False,,True,True,False,True,False,True
Idaho,15356,18985.0,,39490.3,10939.0,10656.8,20492.0,14400.6,158839.3,19581.8,21720.7,21474.8,17683.3,3629.0,,24134.3,-4417.0,-4699.2,5136.0,-955.4,143483.3,4225.8,6364.7,6118.8,2327.3,,False,False,False,False,True,False,False,False,False,True
