,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,467,670.0,719.8,1365.0,,,,,595.0,737.3,545.2,,,,,203.0,252.8,898.0,,,,,128.0,270.3,78.2,,,,,False,False,,,,,True,False,True,,,,
01003,2241,2945.0,2704.2,7529.0,,,,,3131.0,1848.2,8095.9,,4001.2,,,704.0,463.2,5288.0,,,,,890.0,-392.8,5854.9,,1760.2,,,True,False,,,,,False,True,False,,False,,
01005,161,355.0,,697.0,,,,,273.0,307.5,281.9,,,,,194.0,,536.0,,,,,112.0,146.5,120.9,,,,,,False,,,,,True,True,True,,,,
01007,243,195.0,,285.0,,,,,194.0,270.8,173.8,,,,,-48.0,,42.0,,,,,-49.0,27.8,-69.2,,,,,,True,,,,,False,True,False,,,,
01009,510,625.0,625.1,1457.0,,,,,725.0,500.5,1144.9,,,,,115.0,115.1,947.0,,,,,215.0,-9.5,634.9,,,,,False,False,,,,,False,True,False,,,,
01011,136,75.0,,20.0,,,,,116.0,60.8,23.1,,,,,-61.0,,-116.0,,,,,-20.0,-75.2,-112.9,,,,,,False,,,,,True,False,False,,,,
01013,133,100.0,,124.0,,,,,243.0,83.0,50.0,,,,,-33.0,,-9.0,,,,,110.0,-50.0,-83.0,,,,,,True,,,,,False,False,False,,,,
01015,1410,1170.0,502.9,1429.0,,,,,1520.0,637.8,1935.8,,,,,-240.0,-907.1,19.0,,,,,110.0,-772.2,525.8,,,,,False,True,,,,,True,False,False,,,,
01017,139,280.0,,358.0,,,,,289.0,192.4,153.0,,,,,141.0,,219.0,,,,,150.0,53.4,14.0,,,,,,False,,,,,False,True,True,,,,
01019,172,175.0,,409.0,,,,,184.0,187.4,169.8,,,,,3.0,,237.0,,,,,12.0,15.4,-2.2,,,,,,False,,,,,False,False,True,,,,
