,predicted_cases,actual_cases,error,perc_error
COVIDhub-baseline,2428104.0,2421400,6704.0,0.3%
Columbia_UNC-SurvCon,2525411.0,2421400,104011.0,4.3%
QJHong-Encounter,2284849.2,2421400,-136550.8,-5.6%
OliverWyman-Navigator,2040356.0,2421400,-381044.0,-15.7%
LNQ-ens1,1952982.8,2421400,-468417.2,-19.3%
UCLA-SuEIR,2905012.8,2421400,483612.8,20.0%
UMich-RidgeTfReg,1926904.4,2421400,-494495.6,-20.4%
CovidAnalytics-DELPHI,1909237.0,2421400,-512163.0,-21.2%
USACE-ERDC_SEIR,1870462.1,2421400,-550937.9,-22.8%
JHU_IDD-CovidSP,1846573.3,2421400,-574826.7,-23.7%
IowaStateLW-STEM,3169875.0,2421400,748475.0,30.9%
RobertWalraven-ESG,1630538.6,2421400,-790861.4,-32.7%
LANL-GrowthRate,1599459.7,2421400,-821940.3,-33.9%
Covid19Sim-Simulator,3389817.6,2421400,968417.6,40.0%
USC-SI_kJalpha,3452570.5,2421400,1031170.5,42.6%
Geneva-DetGrowth,460803.6,2421400,-1960596.4,-81.0%
