,actual_cases,COVIDhub-baseline,COVIDhub-ensemble,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-COVIDhub-ensemble,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,24510,33657.0,36787.0,,53013.8,43892.0,30920.2,62181.3,36468.0,34017.6,71087.6,36044.4,33444.8,34990.0,,40872.6,57956.4,54246.0,32258.1,23002.0,9147.0,12277.0,,28503.8,19382.0,6410.2,37671.3,11958.0,9507.6,46577.6,11534.4,8934.8,10480.0,,16362.6,33446.4,29736.0,7748.1,-1508.0,False,,False,False,True,False,False,False,False,False,True,False,,False,False,False,True,True
Alaska,1686,2391.0,2732.0,,2890.5,2500.0,2049.1,38.6,,3733.8,6492.5,2592.6,2469.3,4191.0,,3839.2,3712.7,,4287.4,2754.0,705.0,1046.0,,1204.5,814.0,363.1,-1647.4,,2047.8,4806.5,906.6,783.3,2505.0,,2153.2,2026.7,,2601.4,1068.0,False,,False,False,True,False,,False,False,False,False,False,,False,False,,False,False
Arizona,20893,50883.0,41621.0,,38093.6,41420.0,45997.6,133928.6,49932.0,26839.6,48177.4,31551.6,44434.2,38008.0,,42409.2,41700.2,71048.2,35027.2,30452.0,29990.0,20728.0,,17200.6,20527.0,25104.6,113035.6,29039.0,5946.6,27284.4,10658.6,23541.2,17115.0,,21516.2,20807.2,50155.2,14134.2,9559.0,True,,True,True,True,False,True,True,True,True,True,True,,True,True,False,True,True
Arkansas,13426,15576.0,15398.0,,16547.5,19082.0,12849.5,14242.1,17859.0,16127.0,24630.2,11692.9,13290.1,16006.0,,16249.6,14511.7,22546.8,12168.9,12161.0,2150.0,1972.0,,3121.5,5656.0,-576.5,816.1,4433.0,2701.0,11204.2,-1733.1,-135.9,2580.0,,2823.6,1085.7,9120.8,-1257.1,-1265.0,True,,False,False,True,True,False,False,False,True,True,False,,False,True,False,True,True
California,157822,180483.0,188087.0,,203668.4,219756.0,140792.4,217728.2,204042.0,218045.1,181688.9,100276.7,147702.7,174413.0,,183543.4,206282.2,270164.9,115386.0,133291.0,22661.0,30265.0,,45846.4,61934.0,-17029.6,59906.2,46220.0,60223.1,23866.9,-57545.3,-10119.3,16591.0,,25721.4,48460.2,112342.9,-42436.0,-24531.0,False,,False,False,True,False,False,False,False,False,True,True,,False,False,False,False,False
Colorado,7616,10434.0,9767.0,,15323.6,3563.0,10178.7,18368.2,9941.0,15869.1,25984.7,7521.2,9829.9,13552.0,,8241.5,9018.6,,8269.3,9174.0,2818.0,2151.0,,7707.6,-4053.0,2562.7,10752.2,2325.0,8253.1,18368.7,-94.8,2213.9,5936.0,,625.5,1402.6,,653.3,1558.0,True,,False,False,True,False,True,False,False,True,True,False,,True,True,,True,True
Connecticut,1721,3102.0,2867.0,,2939.0,112.0,1497.1,10616.2,2175.0,4620.6,3950.6,1891.2,1984.3,4766.0,,1336.6,2909.8,,3372.1,4707.0,1381.0,1146.0,,1218.0,-1609.0,-223.9,8895.2,454.0,2899.6,2229.6,170.2,263.3,3045.0,,-384.4,1188.8,,1651.1,2986.0,True,,True,False,True,False,True,False,False,True,True,False,,True,True,,False,False
Delaware,1951,2106.0,1950.0,,2133.4,327.0,2242.6,2709.3,1920.0,2078.2,3152.3,1291.4,1766.1,1972.0,,1847.2,2714.7,,1515.4,2042.0,155.0,-1.0,,182.4,-1624.0,291.6,758.3,-31.0,127.2,1201.3,-659.6,-184.9,21.0,,-103.8,763.7,,-435.6,91.0,True,,False,False,False,False,True,True,False,False,False,True,,True,False,,False,True
District of Columbia,1329,1020.0,1004.0,,2036.9,372.0,1061.8,1915.6,1589.0,1315.9,2166.0,280.8,529.2,807.0,,,1508.0,,454.3,610.0,-309.0,-325.0,,707.9,-957.0,-267.2,586.6,260.0,-13.1,837.0,-1048.2,-799.8,-522.0,,,179.0,,-874.7,-719.0,False,,False,False,True,False,True,True,False,False,False,False,,,True,,False,False
Florida,117569,196551.0,170868.0,,232211.2,215634.0,183248.0,336120.1,194627.0,147245.1,262716.4,123348.9,157777.6,163619.0,,158731.0,157836.2,234518.4,117994.6,128401.0,78982.0,53299.0,,114642.2,98065.0,65679.0,218551.1,77058.0,29676.1,145147.4,5779.9,40208.6,46050.0,,41162.0,40267.2,116949.4,425.6,10832.0,True,,False,False,True,False,True,True,False,True,True,True,,True,True,False,True,True
