,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,66,120.0,129.3,122.7,,92.0,147.0,,,,,,92.0,71.5,,34.9,59.4,,66.0,,69.3,,115.4,,,,,,94.3,54.0,63.3,56.7,,26.0,81.0,,,,,,26.0,5.5,,-31.1,-6.6,,0.0,,3.3,,49.4,,,,,,28.3,False,False,,True,False,,,,,,True,True,,True,True,,True,,True,,True,,,,,,True
01003,209,337.0,872.2,374.1,,311.0,306.0,,,,,,487.0,459.4,,254.4,242.9,,284.0,,224.4,,317.9,202.0,,,,,431.2,128.0,663.2,165.1,,102.0,97.0,,,,,,278.0,250.4,,45.4,33.9,,75.0,,15.4,,108.9,-7.0,,,,,222.2,False,False,,True,True,,,,,,False,False,,True,True,,True,,True,,True,True,,,,,False
01005,40,25.0,,24.5,,23.0,10.0,,,,,,50.0,28.4,,19.3,26.1,,38.0,,13.1,,29.2,,,,,,61.9,-15.0,,-15.5,,-17.0,-30.0,,,,,,10.0,-11.6,,-20.7,-13.9,,-2.0,,-26.9,,-10.8,,,,,,21.9,,False,,False,False,,,,,,True,True,,False,True,,True,,False,,True,,,,,,False
01007,40,43.0,,40.2,,38.0,53.0,,,,,,36.0,51.6,,15.7,26.2,,34.0,,19.0,,44.8,,,,,,63.5,3.0,,0.2,,-2.0,13.0,,,,,,-4.0,11.6,,-24.3,-13.8,,-6.0,,-21.0,,4.8,,,,,,23.5,,True,,True,False,,,,,,False,False,,False,False,,False,,False,,False,,,,,,False
01009,135,66.0,170.1,67.5,,68.0,42.0,,,,,,83.0,134.5,,38.9,46.8,,60.0,,42.0,,86.4,,,,,,106.8,-69.0,35.1,-67.5,,-67.0,-93.0,,,,,,-52.0,-0.5,,-96.1,-88.2,,-75.0,,-93.0,,-48.6,,,,,,-28.2,True,True,,True,False,,,,,,True,True,,False,False,,False,,False,,True,,,,,,True
01011,39,32.0,,32.0,,20.0,7.0,,,,,,29.0,13.3,,6.0,18.7,,37.0,,22.1,,28.0,,,,,,35.9,-7.0,,-7.0,,-19.0,-32.0,,,,,,-10.0,-25.7,,-33.0,-20.3,,-2.0,,-16.9,,-11.0,,,,,,-3.1,,True,,False,False,,,,,,False,False,,False,False,,True,,False,,False,,,,,,True
01013,16,30.0,,32.6,,23.0,23.0,,,,,,45.0,13.0,,14.5,22.6,,40.0,,23.7,,30.4,,,,,,42.6,14.0,,16.6,,7.0,7.0,,,,,,29.0,-3.0,,-1.5,6.6,,24.0,,7.7,,14.4,,,,,,26.6,,False,,True,True,,,,,,False,True,,True,True,,False,,True,,False,,,,,,False
01015,260,142.0,396.4,148.9,,149.0,93.0,,,,,,192.0,363.8,,103.3,121.7,,140.0,,95.8,,160.6,,,,,,243.2,-118.0,136.4,-111.1,,-111.0,-167.0,,,,,,-68.0,103.8,,-156.7,-138.3,,-120.0,,-164.2,,-99.4,,,,,,-16.8,False,True,,True,False,,,,,,True,True,,False,False,,False,,False,,True,,,,,,True
01017,43,14.0,,14.8,,14.0,11.0,,,,,,56.0,39.2,,2.8,9.1,,28.0,,14.2,,15.5,,,,,,25.9,-29.0,,-28.2,,-29.0,-32.0,,,,,,13.0,-3.8,,-40.2,-33.9,,-15.0,,-28.8,,-27.5,,,,,,-17.1,,True,,False,False,,,,,,True,True,,False,False,,True,,True,,True,,,,,,True
01019,32,29.0,,28.7,,28.0,28.0,,,,,,36.0,48.8,,19.1,25.3,,32.0,,31.2,,26.5,,,,,,63.9,-3.0,,-3.3,,-4.0,-4.0,,,,,,4.0,16.8,,-12.9,-6.7,,0.0,,-0.8,,-5.5,,,,,,31.9,,False,,False,False,,,,,,False,False,,False,False,,True,,True,,False,,,,,,False
01021,92,69.0,,72.3,,63.0,53.0,,,,,,73.0,111.5,,30.4,46.9,,62.0,,35.9,,78.2,,,,,,105.1,-23.0,,-19.7,,-29.0,-39.0,,,,,,-19.0,19.5,,-61.6,-45.1,,-30.0,,-56.1,,-13.8,,,,,,13.1,,True,,False,False,,,,,,True,True,,False,False,,False,,False,,True,,,,,,True
01023,16,11.0,,10.9,,9.0,9.0,,,,,,29.0,13.4,,2.0,6.2,,13.0,,9.5,,11.7,,,,,,7.5,-5.0,,-5.1,,-7.0,-7.0,,,,,,13.0,-2.6,,-14.0,-9.8,,-3.0,,-6.5,,-4.3,,,,,,-8.5,,False,,False,False,,,,,,False,True,,False,False,,True,,False,,True,,,,,,False
01025,65,173.0,,161.4,,67.0,187.0,,,,,,77.0,55.1,,2.1,57.5,,,,47.5,,148.1,,,,,,149.3,108.0,,96.4,,2.0,122.0,,,,,,12.0,-9.9,,-62.9,-7.5,,,,-17.5,,83.1,,,,,,84.3,,True,,True,False,,,,,,True,True,,True,True,,,,True,,True,,,,,,True
01027,20,44.0,,43.0,,29.0,44.0,,,,,,18.0,32.1,,24.9,32.3,,42.0,,1.7,,38.4,,,,,,36.1,24.0,,23.0,,9.0,24.0,,,,,,-2.0,12.1,,4.9,12.3,,22.0,,-18.3,,18.4,,,,,,16.1,,True,,True,False,,,,,,True,True,,True,True,,True,,True,,True,,,,,,True
01029,56,6.0,,5.7,,5.0,7.0,,,,,,15.0,17.7,,1.9,5.2,,7.0,,3.0,,8.2,,,,,,13.2,-50.0,,-50.3,,-51.0,-49.0,,,,,,-41.0,-38.3,,-54.1,-50.8,,-49.0,,-53.0,,-47.8,,,,,,-42.8,,False,,False,True,,,,,,True,True,,False,False,,True,,False,,True,,,,,,True
01031,144,49.0,84.3,47.3,,47.0,34.0,,,,,,93.0,71.6,,42.4,44.5,,60.0,,34.8,,72.0,,,,,,83.3,-95.0,-59.7,-96.7,,-97.0,-110.0,,,,,,-51.0,-72.4,,-101.6,-99.5,,-84.0,,-109.2,,-72.0,,,,,,-60.7,True,False,,False,False,,,,,,True,True,,False,False,,True,,False,,True,,,,,,True
01033,74,94.0,207.0,96.0,,94.0,70.0,,,,,,94.0,116.6,,52.2,68.1,,84.0,,46.9,,103.3,,,,,,127.3,20.0,133.0,22.0,,20.0,-4.0,,,,,,20.0,42.6,,-21.8,-5.9,,10.0,,-27.1,,29.3,,,,,,53.3,False,False,,False,True,,,,,,False,False,,False,True,,True,,False,,False,,,,,,False
01035,27,14.0,,15.1,,14.0,14.0,,,,,,34.0,24.1,,3.9,9.1,0.0,19.0,,19.8,,13.5,,,,,,22.8,-13.0,,-11.9,,-13.0,-13.0,,,,,,7.0,-2.9,,-23.1,-17.9,-27.0,-8.0,,-7.2,,-13.5,,,,,,-4.2,,True,,False,False,,,,,,True,True,,False,False,False,True,,True,,False,,,,,,True
