,count,mean,median,std,min,25%,75%,max
LNQ-ens1,3141,9715.4,34.6,139410.5,0.0,3.0,309.7,4740264.6
RobertWalraven-ESG,3141,24379.0,64.0,473089.1,0.0,5.4,632.5,18387630.1
COVIDhub-ensemble,3141,25124.2,36.0,617457.3,0.0,4.0,361.0,23726641.0
LANL-GrowthRate,2951,27349.5,80.6,618477.2,0.0,6.5,605.9,23722529.8
JHU_IDD-CovidSP,3139,27814.8,125.2,741865.0,0.0,9.7,1117.1,40895001.8
OliverWyman-Navigator,2467,31792.8,49.0,800546.0,0.0,5.1,400.0,34082244.0
USC-SI_kJalpha,2779,44981.2,64.0,1174347.1,0.0,4.0,529.0,46335249.0
COVIDhub-baseline,3141,45785.6,49.0,962620.0,0.0,4.0,529.0,40742689.0
IowaStateLW-STEM,3103,46080.4,81.0,894827.3,0.0,9.0,900.0,37822500.0
UCLA-SuEIR,2847,47317.8,53.8,1105629.2,0.0,5.5,480.2,51443100.6
CEID-Walk,3141,47774.4,49.8,991736.6,0.0,4.5,515.7,42089784.2
MITCovAlliance-SIR,2094,55287.0,73.1,1210042.7,0.0,8.7,796.0,43280872.6
Yu_Group-CLEP,3139,65296.9,122.0,1026779.4,0.0,17.1,1038.1,33672882.2
CU-select,3099,71066.5,64.0,1525418.6,0.0,9.0,625.0,76877824.0
