,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,610,558.0,1237.3,580.0,,,,984.0,366.4,,,,,-52.0,627.3,-30.0,,,,374.0,-243.6,,,,,False,True,,,,False,False,,,,
01003,2852,2166.0,1927.0,3425.0,,,,2325.0,4519.7,,3286.9,,,-686.0,-925.0,573.0,,,,-527.0,1667.7,,434.9,,,False,True,,,,True,False,,True,,
01005,303,282.0,,665.0,,,,220.0,172.7,,,,,-21.0,,362.0,,,,-83.0,-130.3,,,,,,False,,,,False,False,,,,
01007,292,204.0,,334.0,,,,127.0,147.5,,,,,-88.0,,42.0,,,,-165.0,-144.5,,,,,,True,,,,False,False,,,,
01009,811,396.0,538.8,667.0,,,,444.0,918.2,,,,,-415.0,-272.2,-144.0,,,,-367.0,107.2,,,,,True,True,,,,True,True,,,,
01011,166,54.0,,40.0,,,,138.0,12.8,,,,,-112.0,,-126.0,,,,-28.0,-153.2,,,,,,False,,,,True,False,,,,
01013,169,162.0,,244.0,,,,475.0,23.1,,,,,-7.0,,75.0,,,,306.0,-145.9,,,,,,False,,,,False,False,,,,
01015,1740,948.0,379.7,4948.0,,,,1604.0,1253.0,,,,,-792.0,-1360.3,3208.0,,,,-136.0,-487.0,,,,,False,False,,,,True,True,,,,
01017,276,300.0,,411.0,,,,417.0,120.9,,,,,24.0,,135.0,,,,141.0,-155.1,,,,,,False,,,,False,False,,,,
01019,241,228.0,,505.0,,,,122.0,103.2,,,,,-13.0,,264.0,,,,-119.0,-137.8,,,,,,False,,,,False,False,,,,
01021,661,504.0,,1593.0,,,,434.0,858.4,,,,,-157.0,,932.0,,,,-227.0,197.4,,,,,,False,,,,False,False,,,,
01023,96,102.0,,120.0,,,,139.0,49.4,,,,,6.0,,24.0,,,,43.0,-46.6,,,,,,False,,,,False,False,,,,
01025,616,234.0,,389.0,,,,495.0,208.6,,,,,-382.0,,-227.0,,,,-121.0,-407.4,,,,,,True,,,,True,False,,,,
01027,241,126.0,,0.0,,,,35.0,31.3,,,,,-115.0,,-241.0,,,,-206.0,-209.7,,,,,,False,,,,False,False,,,,
01029,152,36.0,,70.0,,,,28.0,15.8,,,,,-116.0,,-82.0,,,,-124.0,-136.2,,,,,,True,,,,False,False,,,,
01031,566,306.0,273.0,567.0,,,,931.0,234.8,,,,,-260.0,-293.0,1.0,,,,365.0,-331.2,,,,,False,True,,,,False,False,,,,
01033,843,624.0,363.7,1405.0,,,,910.0,648.3,,,,,-219.0,-479.3,562.0,,,,67.0,-194.7,,,,,False,False,,,,True,True,,,,
01035,226,156.0,,20.0,,,,183.0,23.7,59.3,,,,-70.0,,-206.0,,,,-43.0,-202.3,-166.7,,,,,False,,,,True,False,False,,,
01037,64,42.0,,11.0,,,,13.0,34.4,,,,,-22.0,,-53.0,,,,-51.0,-29.6,,,,,,False,,,,False,False,,,,
01039,581,360.0,,533.0,,,,834.0,222.2,332.8,,,,-221.0,,-48.0,,,,253.0,-358.8,-248.2,,,,,True,,,,False,False,False,,,
01041,290,12.0,,23.0,,,,170.0,6.3,31.7,,,,-278.0,,-267.0,,,,-120.0,-283.7,-258.3,,,,,True,,,,True,False,True,,,
01043,888,792.0,1127.3,2537.0,,,,1196.0,623.5,559.7,,,,-96.0,239.3,1649.0,,,,308.0,-264.5,-328.3,,,,False,False,,,,False,False,False,,,
01045,617,654.0,,2043.0,,,,805.0,1064.6,349.1,,,,37.0,,1426.0,,,,188.0,447.6,-267.9,,,,,False,,,,False,False,False,,,
01047,520,702.0,,618.0,,,,882.0,358.3,158.7,,,,182.0,,98.0,,,,362.0,-161.7,-361.3,,,,,True,,,,False,True,False,,,
01049,1096,1404.0,835.6,4381.0,,,,1427.0,2793.4,707.4,,,,308.0,-260.4,3285.0,,,,331.0,1697.4,-388.6,,,,True,False,,,,False,False,False,,,
01051,960,756.0,2067.1,949.0,,,,1266.0,703.3,391.8,691.6,,,-204.0,1107.1,-11.0,,,,306.0,-256.7,-568.2,-268.4,,,False,True,,,,False,False,False,False,,
01053,839,858.0,,1265.0,,,,1055.0,305.7,231.3,,,,19.0,,426.0,,,,216.0,-533.3,-607.7,,,,,False,,,,False,False,False,,,
