,predicted_cases,actual_cases,error,perc_error
UMich-RidgeTfReg,309849.5,306085,3764.5,1.2%
USC-SI_kJalpha,315735.0,306085,9650.0,3.2%
USACE-ERDC_SEIR,328312.9,306085,22227.9,7.3%
CovidAnalytics-DELPHI,328712.0,306085,22627.0,7.4%
Columbia_UNC-SurvCon,330934.0,306085,24849.0,8.1%
LANL-GrowthRate,280694.0,306085,-25391.0,-8.3%
OliverWyman-Navigator,332585.0,306085,26500.0,8.7%
LNQ-ens1,332671.7,306085,26586.7,8.7%
TTU-squider,332960.8,306085,26875.8,8.8%
COVIDhub-ensemble,333170.0,306085,27085.0,8.8%
DDS-NBDS,338753.9,306085,32668.9,10.7%
QJHong-Encounter,343990.3,306085,37905.3,12.4%
UCLA-SuEIR,344805.6,306085,38720.6,12.7%
IowaStateLW-STEM,347372.0,306085,41287.0,13.5%
Covid19Sim-Simulator,263554.7,306085,-42530.3,-13.9%
RobertWalraven-ESG,261292.3,306085,-44792.7,-14.6%
Karlen-pypm,353157.0,306085,47072.0,15.4%
CU-select,358564.0,306085,52479.0,17.1%
COVIDhub-baseline,363236.0,306085,57151.0,18.7%
CEID-Walk,363379.9,306085,57294.9,18.7%
JHU_IDD-CovidSP,369785.8,306085,63700.8,20.8%
Geneva-DetGrowth,371449.6,306085,65364.6,21.4%
