,predicted_cases,actual_cases,error,perc_error
USC-SI_kJalpha,1079990.0,1045297,34693.0,3.3%
USACE-ERDC_SEIR,1000270.8,1045297,-45026.2,-4.3%
Columbia_UNC-SurvCon,996807.0,1045297,-48490.0,-4.6%
QJHong-Encounter,1112431.4,1045297,67134.4,6.4%
DDS-NBDS,1167660.7,1045297,122363.7,11.7%
LNQ-ens1,1172522.4,1045297,127225.4,12.2%
RobertWalraven-ESG,1181928.0,1045297,136631.0,13.1%
UMich-RidgeTfReg,1239680.5,1045297,194383.5,18.6%
COVIDhub-ensemble,1245545.0,1045297,200248.0,19.2%
CovidAnalytics-DELPHI,1246457.0,1045297,201160.0,19.2%
LANL-GrowthRate,833472.8,1045297,-211824.2,-20.3%
UCLA-SuEIR,1279978.9,1045297,234681.9,22.5%
IowaStateLW-STEM,1309462.0,1045297,264165.0,25.3%
COVIDhub-baseline,1324422.0,1045297,279125.0,26.7%
OliverWyman-Navigator,1355805.0,1045297,310508.0,29.7%
JHU_IDD-CovidSP,1450374.1,1045297,405077.1,38.8%
Covid19Sim-Simulator,1498523.2,1045297,453226.2,43.4%
Geneva-DetGrowth,443586.4,1045297,-601710.6,-57.6%
Karlen-pypm,1745104.1,1045297,699807.1,66.9%
IHME-CurveFit,2316046.1,1045297,1270749.1,121.6%
