,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,377,360.0,448.4,327.0,342.0,,,,,,586.0,400.0,,259.8,386.1,,,,215.5,,,,,,-17.0,71.4,-50.0,-35.0,,,,,,209.0,23.0,,-117.2,9.1,,,,-161.5,,,,,,False,False,False,,,,,,False,False,,False,True,,,,False,,,,,
01003,1417,3296.0,3233.1,3201.0,5406.0,,,,,,2757.0,3090.3,,5110.1,2821.9,,,,3077.1,4328.0,,,,,1879.0,1816.1,1784.0,3989.0,,,,,,1340.0,1673.3,,3693.1,1404.9,,,,1660.1,2911.0,,,,,True,True,False,,,,,,True,True,,False,True,,,,True,False,,,,
01005,110,204.0,,189.0,282.0,,,,,,232.0,194.1,,113.4,225.6,,,,158.0,,,,,,94.0,,79.0,172.0,,,,,,122.0,84.1,,3.4,115.6,,,,48.0,,,,,,,True,False,,,,,,False,True,,True,False,,,,True,,,,,
01007,191,208.0,,187.0,259.0,,,,,,168.0,227.4,,162.3,225.9,,,,230.5,,,,,,17.0,,-4.0,68.0,,,,,,-23.0,36.4,,-28.7,34.9,,,,39.5,,,,,,,True,False,,,,,,False,False,,False,False,,,,False,,,,,
01009,362,592.0,572.3,588.0,931.0,,,,,,489.0,841.0,,659.1,529.5,,,,664.2,,,,,,230.0,210.3,226.0,569.0,,,,,,127.0,479.0,,297.1,167.5,,,,302.2,,,,,,True,True,False,,,,,,True,False,,False,True,,,,False,,,,,
01011,120,64.0,,31.0,0.0,,,,,,101.0,36.9,,19.8,61.1,,,,42.2,,,,,,-56.0,,-89.0,-120.0,,,,,,-19.0,-83.2,,-100.2,-58.9,,,,-77.8,,,,,,,False,False,,,,,,True,False,,False,False,,,,False,,,,,
01013,94,156.0,,110.0,109.0,,,,,,312.0,53.8,,53.0,147.5,,,,115.2,,,,,,62.0,,16.0,15.0,,,,,,218.0,-40.2,,-41.0,53.5,,,,21.2,,,,,,,True,True,,,,,,False,True,,True,True,,,,True,,,,,
01015,1105,1220.0,1177.5,1235.0,1512.0,,,,,,1111.0,1413.5,,1511.8,1379.7,,,,620.5,,,,,,115.0,72.5,130.0,407.0,,,,,,6.0,308.5,,406.8,274.7,,,,-484.5,,,,,,True,False,False,,,,,,True,False,,False,False,,,,False,,,,,
01017,102,148.0,,154.0,112.0,,,,,,289.0,258.0,,103.8,184.0,,,,131.2,,,,,,46.0,,52.0,10.0,,,,,,187.0,156.0,,1.8,82.0,,,,29.2,,,,,,,False,True,,,,,,False,False,,True,False,,,,True,,,,,
01019,138,136.0,,137.0,171.0,,,,,,134.0,247.2,,59.0,131.1,,,,135.4,,,,,,-2.0,,-1.0,33.0,,,,,,-4.0,109.2,,-79.0,-6.9,,,,-2.6,,,,,,,True,False,,,,,,False,False,,False,False,,,,False,,,,,
01021,353,572.0,,523.0,811.0,,,,,,471.0,482.2,,551.6,489.1,,,,1090.0,,,,,,219.0,,170.0,458.0,,,,,,118.0,129.2,,198.6,136.1,,,,737.0,,,,,,,True,False,,,,,,True,True,,True,True,,,,False,,,,,
01023,48,84.0,,64.0,79.0,,,,,,182.0,56.4,,29.4,97.9,,,,49.6,,,,,,36.0,,16.0,31.0,,,,,,134.0,8.4,,-18.6,49.9,,,,1.6,,,,,,,True,True,,,,,,False,True,,True,False,,,,True,,,,,
01025,458,220.0,,176.0,310.0,,,,,,397.0,189.3,,111.6,192.1,,,,160.1,,,,,,-238.0,,-282.0,-148.0,,,,,,-61.0,-268.7,,-346.4,-265.9,,,,-297.9,,,,,,,False,True,,,,,,True,False,,False,False,,,,False,,,,,
01027,169,160.0,,125.0,184.0,,,,,,60.0,92.1,,140.2,210.7,,,,116.9,,,,,,-9.0,,-44.0,15.0,,,,,,-109.0,-76.9,,-28.8,41.7,,,,-52.1,,,,,,,False,False,,,,,,False,False,,False,False,,,,False,,,,,
01029,81,92.0,,69.0,141.0,,,,,,60.0,66.4,,35.1,78.5,,,,184.1,,,,,,11.0,,-12.0,60.0,,,,,,-21.0,-14.6,,-45.9,-2.5,,,,103.1,,,,,,,False,False,,,,,,False,False,,False,True,,,,False,,,,,
01031,281,396.0,211.0,365.0,700.0,,,,,,697.0,365.3,,359.2,433.1,,,,332.1,,,,,,115.0,-70.0,84.0,419.0,,,,,,416.0,84.3,,78.2,152.1,,,,51.1,,,,,,True,True,False,,,,,,False,True,,True,False,,,,True,,,,,
01033,471,656.0,659.1,571.0,413.0,,,,,,685.0,509.5,,379.0,549.5,,,,734.0,,,,,,185.0,188.1,100.0,-58.0,,,,,,214.0,38.5,,-92.0,78.5,,,,263.0,,,,,,False,True,True,,,,,,False,True,,True,True,,,,False,,,,,
01035,92,200.0,,136.0,235.0,,,,,,192.0,154.0,,104.2,215.3,69.4,,,155.7,,,,,,108.0,,44.0,143.0,,,,,,100.0,62.0,,12.2,123.3,-22.6,,,63.7,,,,,,,True,False,,,,,,True,True,,True,False,True,,,True,,,,,
01037,32,48.0,,34.0,19.0,,,,,,30.0,42.5,,39.4,56.6,,,,38.5,,,,,,16.0,,2.0,-13.0,,,,,,-2.0,10.5,,7.4,24.6,,,,6.5,,,,,,,True,True,,,,,,True,True,,True,False,,,,True,,,,,
01039,192,420.0,,409.0,571.0,,,,,,649.0,540.1,,264.1,415.6,211.6,,,341.7,,,,,,228.0,,217.0,379.0,,,,,,457.0,348.1,,72.1,223.6,19.6,,,149.7,,,,,,,True,False,,,,,,False,False,,True,True,True,,,True,,,,,
01041,144,288.0,,114.0,616.0,,,,,,162.0,58.6,,67.0,176.5,56.9,,,134.4,,,,,,144.0,,-30.0,472.0,,,,,,18.0,-85.4,,-77.0,32.5,-87.1,,,-9.6,,,,,,,True,False,,,,,,True,True,,True,True,True,,,True,,,,,
01043,429,632.0,803.0,599.0,399.0,,,,,,948.0,939.3,,318.9,552.2,589.3,,,760.8,,,,,,203.0,374.0,170.0,-30.0,,,,,,519.0,510.3,,-110.1,123.2,160.3,,,331.8,,,,,,False,True,True,,,,,,False,False,,True,True,True,,,False,,,,,
01045,282,676.0,,581.0,1000.0,,,,,,594.0,540.2,,663.1,523.2,294.7,,,882.6,,,,,,394.0,,299.0,718.0,,,,,,312.0,258.2,,381.1,241.2,12.7,,,600.6,,,,,,,True,False,,,,,,True,True,,True,True,True,,,False,,,,,
01047,218,332.0,,247.0,361.0,,,,,,545.0,331.8,,77.7,241.2,99.9,,,242.9,,,,,,114.0,,29.0,143.0,,,,,,327.0,113.8,,-140.3,23.2,-118.1,,,24.9,,,,,,,True,False,,,,,,False,True,,False,True,False,,,True,,,,,
01049,507,792.0,1056.8,732.0,325.0,,,,,,1012.0,924.2,,729.4,754.8,452.1,,,531.5,,,,,,285.0,549.8,225.0,-182.0,,,,,,505.0,417.2,,222.4,247.8,-54.9,,,24.5,,,,,,False,True,True,,,,,,False,False,,True,True,True,,,True,,,,,
01051,479,832.0,598.1,639.0,1094.0,,,,,,856.0,626.3,,676.9,722.6,413.9,,,551.2,,,,,,353.0,119.1,160.0,615.0,,,,,,377.0,147.3,,197.9,243.6,-65.1,,,72.2,,,,,,True,True,False,,,,,,False,True,,True,True,True,,,True,,,,,
01053,359,864.0,,616.0,1011.0,,,,,,817.0,710.3,,482.3,738.5,235.5,,,572.8,,,,,,505.0,,257.0,652.0,,,,,,458.0,351.3,,123.3,379.5,-123.5,,,213.8,,,,,,,True,False,,,,,,True,True,,True,True,True,,,True,,,,,
01055,864,1404.0,1355.3,1281.0,1357.0,,,,,,1264.0,1528.6,,1279.2,1270.7,712.1,,,1196.2,,,,,,540.0,491.3,417.0,493.0,,,,,,400.0,664.6,,415.2,406.7,-151.9,,,332.2,,,,,,True,True,True,,,,,,True,False,,True,True,True,,,True,,,,,
01057,131,68.0,,81.0,92.0,,,,,,124.0,118.3,,56.2,85.3,96.4,,,16.0,,,,,,-63.0,,-50.0,-39.0,,,,,,-7.0,-12.7,,-74.8,-45.7,-34.6,,,-115.0,,,,,,,True,True,,,,,,True,True,,False,True,True,,,False,,,,,
