,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,289,264.0,644.2,265.0,153.0,,,,,,,388.0,260.5,,224.9,321.2,,353.0,,283.1,262.5,,,,,,-25.0,355.2,-24.0,-136.0,,,,,,,99.0,-28.5,,-64.1,32.2,,64.0,,-5.9,-26.5,,,,,,False,True,False,,,,,,,False,False,,False,False,,False,,True,False,,,,,
01003,942,1425.0,1964.7,1563.0,670.0,,,,,,,1914.0,2144.7,,1673.4,1294.7,,1381.0,,1193.9,1752.0,1362.0,,,,,483.0,1022.7,621.0,-272.0,,,,,,,972.0,1202.7,,731.4,352.7,,439.0,,251.9,810.0,420.0,,,,,False,False,True,,,,,,,False,False,,False,True,,True,,True,False,True,,,,
01005,72,114.0,,121.0,103.0,,,,,,,189.0,115.2,,55.5,124.5,,186.0,,151.3,139.1,,,,,,42.0,,49.0,31.0,,,,,,,117.0,43.2,,-16.5,52.5,,114.0,,79.3,67.1,,,,,,,False,True,,,,,,,False,False,,True,False,,False,,False,False,,,,,
01007,143,144.0,,138.0,192.0,,,,,,,141.0,155.0,,88.5,128.7,,141.0,,154.7,121.7,,,,,,1.0,,-5.0,49.0,,,,,,,-2.0,12.0,,-54.5,-14.3,,-2.0,,11.7,-21.3,,,,,,,False,False,,,,,,,False,False,,False,False,,False,,False,False,,,,,
01009,227,405.0,358.6,385.0,345.0,,,,,,,374.0,553.1,,519.1,382.8,,343.0,,372.5,621.8,,,,,,178.0,131.6,158.0,118.0,,,,,,,147.0,326.1,,292.1,155.8,,116.0,,145.5,394.8,,,,,,True,True,True,,,,,,,True,False,,False,True,,True,,True,False,,,,,
01011,92,84.0,,53.0,17.0,,,,,,,102.0,28.3,,17.5,63.8,,150.0,,59.2,52.9,,,,,,-8.0,,-39.0,-75.0,,,,,,,10.0,-63.7,,-74.5,-28.2,,58.0,,-32.8,-39.1,,,,,,,False,False,,,,,,,False,False,,False,False,,False,,False,False,,,,,
01013,61,99.0,,90.0,97.0,,,,,,,199.0,39.5,,55.6,124.6,,236.0,,84.8,65.3,,,,,,38.0,,29.0,36.0,,,,,,,138.0,-21.5,,-5.4,63.6,,175.0,,23.8,4.3,,,,,,,True,True,,,,,,,False,True,,True,False,,False,,True,True,,,,,
01015,696,1227.0,994.4,1237.0,1617.0,,,,,,,802.0,1188.7,,1664.4,1323.3,,,,2102.8,1237.8,,,,,,531.0,298.4,541.0,921.0,,,,,,,106.0,492.7,,968.4,627.3,,,,1406.8,541.8,,,,,,True,False,False,,,,,,,True,True,,False,False,,,,False,False,,,,,
01017,62,120.0,,117.0,93.0,,,,,,,217.0,167.9,,49.7,116.3,,256.0,,79.5,126.4,,,,,,58.0,,55.0,31.0,,,,,,,155.0,105.9,,-12.3,54.3,,194.0,,17.5,64.4,,,,,,,True,True,,,,,,,False,False,,True,True,,False,,True,False,,,,,
01019,108,90.0,,103.0,82.0,,,,,,,129.0,172.2,,64.2,112.5,,91.0,,116.8,97.4,,,,,,-18.0,,-5.0,-26.0,,,,,,,21.0,64.2,,-43.8,4.5,,-17.0,,8.8,-10.6,,,,,,,True,False,,,,,,,False,False,,False,True,,True,,True,True,,,,,
