,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,71593,54453.0,,65801.8,73398.0,59283.0,36419.7,75374.2,42661.8,70744.1,-17140.0,,-5791.2,1805.0,-12310.0,-35173.3,3781.2,-28931.2,-848.9,,True,True,True,False,True,False,True
Alaska,4203,1792.0,,1833.9,734.0,,1572.2,1656.3,3334.5,17274.6,-2411.0,,-2369.1,-3469.0,,-2630.8,-2546.7,-868.5,13071.6,,True,False,,False,False,True,False
Arizona,103328,171101.0,,305301.4,268157.0,178743.0,134679.3,104744.0,110790.2,127163.4,67773.0,,201973.4,164829.0,75415.0,31351.3,1416.0,7462.2,23835.4,,False,False,False,True,True,True,True
Arkansas,33390,27293.0,,33883.3,36231.0,47219.0,20413.4,35288.7,21236.5,23551.0,-6097.0,,493.3,2841.0,13829.0,-12976.6,1898.7,-12153.5,-9839.0,,True,True,False,False,True,False,False
California,405678,295421.0,,516838.2,334725.0,408554.0,477977.1,400912.4,239081.6,126787.4,-110257.0,,111160.2,-70953.0,2876.0,72299.1,-4765.6,-166596.4,-278890.6,,False,True,True,True,True,False,False
Colorado,21017,12901.0,,12052.1,3413.0,14902.0,6550.3,9360.3,3176.0,19623.2,-8116.0,,-8964.9,-17604.0,-6115.0,-14466.7,-11656.7,-17841.0,-1393.8,,False,False,True,False,False,False,True
Connecticut,4814,3577.0,,640.0,574.0,1549.0,881.8,2218.4,375.9,2062.1,-1237.0,,-4174.0,-4240.0,-3265.0,-3932.2,-2595.6,-4438.1,-2751.9,,False,False,False,False,False,False,False
Delaware,4859,6335.0,,4760.7,1289.0,2908.0,3334.4,2908.6,444.4,8825.0,1476.0,,-98.3,-3570.0,-1951.0,-1524.6,-1950.4,-4414.6,3966.0,,True,False,False,False,False,False,False
District of Columbia,3087,1617.0,,624.8,404.0,2193.0,692.8,928.3,321.9,790.4,-1470.0,,-2462.2,-2683.0,-894.0,-2394.2,-2158.7,-2765.1,-2296.6,,False,False,True,False,False,False,False
Florida,407545,402549.0,,1004389.5,406248.0,490217.0,493818.0,282691.6,424037.4,339674.3,-4996.0,,596844.5,-1297.0,82672.0,86273.0,-124853.4,16492.4,-67870.7,,False,True,False,False,False,False,False
Georgia,158903,128338.0,,164706.3,91246.0,91658.0,76845.7,110786.7,82780.8,263955.9,-30565.0,,5803.3,-67657.0,-67245.0,-82057.3,-48116.3,-76122.2,105052.9,,True,False,False,False,False,False,False
Hawaii,5357,889.0,,1539.2,107.0,,671.9,1236.5,20.0,3025.3,-4468.0,,-3817.8,-5250.0,,-4685.1,-4120.5,-5337.0,-2331.7,,True,False,,False,True,False,True
Idaho,22289,14336.0,,31781.3,8752.0,42413.0,16342.5,22877.3,39821.8,24205.9,-7953.0,,9492.3,-13537.0,20124.0,-5946.5,588.3,17532.8,1916.9,,False,False,False,True,True,False,True
Illinois,73089,38745.0,,15680.1,3298.0,53672.0,18758.7,23870.2,4059.1,59129.6,-34344.0,,-57408.9,-69791.0,-19417.0,-54330.3,-49218.8,-69029.9,-13959.4,,False,False,True,False,False,False,True
Indiana,37885,19999.0,,20105.9,6329.0,12223.0,15916.7,16354.3,6078.9,32092.0,-17886.0,,-17779.1,-31556.0,-25662.0,-21968.3,-21530.7,-31806.1,-5793.0,,True,False,False,False,False,False,True
Iowa,24935,20916.0,,22180.0,4493.0,11592.0,13327.6,22661.4,6232.8,37061.4,-4019.0,,-2755.0,-20442.0,-13343.0,-11607.4,-2273.6,-18702.2,12126.4,,True,False,False,False,True,False,False
Kansas,21460,16058.0,,21409.6,2994.0,16599.0,8837.2,12308.9,3480.3,57769.0,-5402.0,,-50.4,-18466.0,-4861.0,-12622.8,-9151.1,-17979.7,36309.0,,True,False,True,False,False,False,False
Kentucky,26690,8463.0,,9195.6,7408.0,9212.0,2763.4,9345.4,6207.8,9631.9,-18227.0,,-17494.4,-19282.0,-17478.0,-23926.6,-17344.6,-20482.2,-17058.1,,True,False,True,False,True,False,True
Louisiana,78431,59640.0,,69971.0,22165.0,102166.0,47296.9,77222.8,11623.1,50061.2,-18791.0,,-8460.0,-56266.0,23735.0,-31134.1,-1208.2,-66807.9,-28369.8,,True,False,False,False,True,False,False
Maine,922,1701.0,,1079.3,774.0,1635.0,843.7,1676.4,866.3,2463.9,779.0,,157.3,-148.0,713.0,-78.3,754.4,-55.7,1541.9,,True,True,True,True,True,True,False
Maryland,34182,20237.0,,9825.8,3792.0,9708.0,9489.7,12410.9,5213.6,31168.0,-13945.0,,-24356.2,-30390.0,-24474.0,-24692.3,-21771.1,-28968.4,-3014.0,,False,False,False,False,False,False,True
Massachusetts,13050,9765.0,,3966.0,1210.0,6242.0,4895.6,4643.7,891.6,13138.1,-3285.0,,-9084.0,-11840.0,-6808.0,-8154.4,-8406.3,-12158.4,88.1,,False,False,False,False,False,False,True
Michigan,33463,20314.0,,17918.1,5747.0,23735.0,9985.6,17197.4,3145.4,58427.9,-13149.0,,-15544.9,-27716.0,-9728.0,-23477.4,-16265.6,-30317.6,24964.9,,False,False,True,False,False,False,False
Minnesota,31243,18137.0,,13808.0,6089.0,26809.0,8988.1,15750.8,2930.6,11034.8,-13106.0,,-17435.0,-25154.0,-4434.0,-22254.9,-15492.2,-28312.4,-20208.2,,False,False,True,False,False,False,False
Mississippi,46594,36001.0,,40782.1,25319.0,42984.0,16549.0,48189.0,18358.4,45028.7,-10593.0,,-5811.9,-21275.0,-3610.0,-30045.0,1595.0,-28235.6,-1565.3,,True,False,True,False,True,False,True
Missouri,52077,21077.0,,32217.9,13791.0,21725.0,13330.1,26255.9,12380.8,27339.1,-31000.0,,-19859.1,-38286.0,-30352.0,-38746.9,-25821.1,-39696.2,-24737.9,,True,False,True,False,True,False,True
Montana,5209,2205.0,,5097.6,723.0,879.0,2091.9,2212.2,6729.0,13719.5,-3004.0,,-111.4,-4486.0,-4330.0,-3117.1,-2996.8,1520.0,8510.5,,True,False,False,False,True,True,False
Nebraska,11953,7364.0,,5311.9,1630.0,5902.0,3619.1,2878.6,923.4,6882.6,-4589.0,,-6641.1,-10323.0,-6051.0,-8333.9,-9074.4,-11029.6,-5070.4,,False,False,False,False,False,False,False
Nevada,43494,36652.0,,91726.2,33890.0,28600.0,33742.1,31994.9,53247.6,65472.5,-6842.0,,48232.2,-9604.0,-14894.0,-9751.9,-11499.1,9753.6,21978.5,,False,False,False,False,False,False,False
New Hampshire,1222,1085.0,,375.6,301.0,551.0,433.0,758.5,502.3,620.1,-137.0,,-846.4,-921.0,-671.0,-789.0,-463.5,-719.7,-601.9,,False,False,False,False,False,False,False
New Jersey,18386,15120.0,,10081.1,997.0,13229.0,7679.2,19744.0,308.9,22959.5,-3266.0,,-8304.9,-17389.0,-5157.0,-10706.8,1358.0,-18077.1,4573.5,,False,False,False,False,True,False,False
New Mexico,11239,10108.0,,8389.4,4575.0,8270.0,6420.8,13998.6,5200.2,19234.6,-1131.0,,-2849.6,-6664.0,-2969.0,-4818.2,2759.6,-6038.8,7995.6,,False,False,False,False,False,False,False
New York,32489,32725.0,,29280.6,6936.0,16413.0,16136.8,21808.3,446.4,55724.7,236.0,,-3208.4,-25553.0,-16076.0,-16352.2,-10680.7,-32042.6,23235.7,,False,False,False,False,False,False,False
