,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,IHME-CurveFit,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IHME-CurveFit,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IHME-CurveFit,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,14955,21648.0,20516.6,20004.0,18449.0,,22079.0,19722.2,23083.4,21987.6,23407.2,16583.6,15957.5,20023.0,,16061.0,19250.5,28836.0,16660.2,17003.0,6693.0,5561.6,5049.0,3494.0,,7124.0,4767.2,8128.4,7032.6,8452.2,1628.6,1002.5,5068.0,,1106.0,4295.5,13881.0,1705.2,2048.0,True,True,True,,False,True,False,False,False,True,True,True,,True,True,False,True,True
Alaska,1131,954.0,914.5,947.0,601.0,,1571.0,1218.1,153.3,2258.1,1753.8,795.9,870.4,1031.0,,648.4,1306.3,1626.7,753.5,969.0,-177.0,-216.5,-184.0,-530.0,,440.0,87.1,-977.7,1127.1,622.8,-335.1,-260.6,-100.0,,-482.6,175.3,495.7,-377.5,-162.0,False,False,False,,False,True,False,False,False,False,False,True,,False,True,False,False,True
Arizona,11788,18210.0,17409.1,15525.0,12173.0,,21688.0,13502.9,49852.3,13528.9,28431.7,11898.0,12532.3,13056.0,,15714.5,17610.5,9323.0,10728.1,10811.0,6422.0,5621.1,3737.0,385.0,,9900.0,1714.9,38064.3,1740.9,16643.7,110.0,744.3,1268.0,,3926.5,5822.5,-2465.0,-1059.9,-977.0,True,True,True,,False,True,False,True,False,True,True,True,,True,True,True,True,True
Arkansas,7788,11276.0,11238.8,11218.0,11566.0,,12134.0,8309.7,15669.3,9974.0,12669.5,8504.2,9444.1,11139.0,,22958.9,10456.6,12982.2,9327.5,9782.0,3488.0,3450.8,3430.0,3778.0,,4346.0,521.7,7881.3,2186.0,4881.5,716.2,1656.1,3351.0,,15170.9,2668.6,5194.2,1539.5,1994.0,True,True,False,,False,True,False,True,False,True,True,True,,False,True,False,True,True
California,110047,95550.0,95265.2,92301.0,89982.0,,176345.0,82227.4,239338.4,114495.0,92755.4,63817.8,83498.6,82434.0,,75567.1,105707.8,140842.9,79434.8,76555.0,-14497.0,-14781.8,-17746.0,-20065.0,,66298.0,-27819.6,129291.4,4448.0,-17291.6,-46229.2,-26548.4,-27613.0,,-34479.9,-4339.2,30795.9,-30612.2,-33492.0,False,False,False,,False,False,False,True,False,False,False,False,,False,True,False,False,False
Colorado,4559,6114.0,6212.4,6114.0,5279.0,,2393.0,7347.1,21682.1,8862.1,7235.3,5000.6,5024.2,5641.0,,6319.6,4904.7,5029.1,4862.7,5330.0,1555.0,1653.4,1555.0,720.0,,-2166.0,2788.1,17123.1,4303.1,2676.3,441.6,465.2,1082.0,,1760.6,345.7,470.1,303.7,771.0,False,False,True,,False,False,False,False,False,True,True,True,,False,True,True,True,True
Connecticut,1211,1020.0,1043.0,977.0,834.0,,42.0,745.4,4485.8,2304.3,2733.1,386.4,850.5,987.0,,887.9,1871.6,452.3,1004.7,767.0,-191.0,-168.0,-234.0,-377.0,,-1169.0,-465.6,3274.8,1093.3,1522.1,-824.6,-360.5,-224.0,,-323.1,660.6,-758.7,-206.3,-444.0,True,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,False
Delaware,1326,1250.0,1270.9,1077.0,999.0,,207.0,1377.7,1381.3,1289.8,1993.5,940.4,1055.0,1079.0,,1042.0,1647.2,954.4,1070.2,903.0,-76.0,-55.1,-249.0,-327.0,,-1119.0,51.7,55.3,-36.2,667.5,-385.6,-271.0,-247.0,,-284.0,321.2,-371.6,-255.8,-423.0,True,False,False,,False,True,True,True,False,False,False,False,,False,False,False,False,False
District of Columbia,881,896.0,871.3,934.0,1017.0,,277.0,1338.3,397.1,872.3,1416.0,818.7,1002.0,983.0,,,1160.6,,1097.9,796.0,15.0,-9.7,53.0,136.0,,-604.0,457.3,-483.9,-8.7,535.0,-62.3,121.0,102.0,,,279.6,,216.9,-85.0,True,False,False,,False,False,False,True,False,False,False,False,,,False,,False,False
Florida,71020,93098.0,94761.2,85348.0,78122.0,,109645.0,79694.9,185690.8,86229.5,105890.4,73794.6,72462.1,71921.0,,99455.7,84959.6,122333.3,65580.9,72973.0,22078.0,23741.2,14328.0,7102.0,,38625.0,8674.9,114670.8,15209.5,34870.4,2774.6,1442.1,901.0,,28435.7,13939.6,51313.3,-5439.1,1953.0,False,True,True,,False,True,False,True,False,True,True,True,,False,True,False,True,True
