,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,62585,54510.0,,60715.6,66506.0,80236.0,52398.6,79336.4,45358.0,60816.6,-8075.0,,-1869.4,3921.0,17651.0,-10186.4,16751.4,-17227.0,-1768.4,,True,True,False,False,False,False,True
Alaska,3884,1668.0,,2588.7,1168.0,,2743.8,3567.2,4628.9,16794.2,-2216.0,,-1295.3,-2716.0,,-1140.2,-316.8,744.9,12910.2,,True,False,,True,True,True,False
Arizona,77965,152178.0,,250790.8,199634.0,151295.0,63164.1,120697.9,82690.8,99180.1,74213.0,,172825.8,121669.0,73330.0,-14800.9,42732.9,4725.8,21215.1,,False,False,True,True,True,True,True
Arkansas,28735,27930.0,,24746.3,26630.0,42609.0,19696.5,20759.0,18615.0,19233.9,-805.0,,-3988.7,-2105.0,13874.0,-9038.5,-7976.0,-10120.0,-9501.1,,False,False,False,False,False,False,False
California,345674,395196.0,,492037.5,345524.0,383026.0,165156.3,431163.2,342645.4,92473.8,49522.0,,146363.5,-150.0,37352.0,-180517.7,85489.2,-3028.6,-253200.2,,False,True,True,False,False,True,False
Colorado,18291,16344.0,,16432.4,3364.0,11430.0,10372.7,12533.0,4621.3,17453.0,-1947.0,,-1858.6,-14927.0,-6861.0,-7918.3,-5758.0,-13669.7,-838.0,,True,False,False,False,False,False,True
Connecticut,4244,3420.0,,1031.9,271.0,28179.0,1027.0,2626.5,228.9,1599.4,-824.0,,-3212.1,-3973.0,23935.0,-3217.0,-1617.5,-4015.1,-2644.6,,False,False,False,False,False,False,False
Delaware,4112,4482.0,,6339.0,1015.0,3529.0,1476.4,7727.0,489.7,7718.7,370.0,,2227.0,-3097.0,-583.0,-2635.6,3615.0,-3622.3,3606.7,,False,False,False,False,False,False,False
District of Columbia,2733,2124.0,,701.8,343.0,2483.0,1187.7,1307.2,276.0,600.3,-609.0,,-2031.2,-2390.0,-250.0,-1545.3,-1425.8,-2457.0,-2132.7,,False,False,True,False,False,False,False
Florida,343086,386754.0,,847184.5,315826.0,553569.0,708575.1,608305.5,303991.5,265400.8,43668.0,,504098.5,-27260.0,210483.0,365489.1,265219.5,-39094.5,-77685.2,,False,True,False,False,False,True,False
