,count,mean,median,std,min,25%,75%,max
LNQ-ens1,3141,61.2,12.7,287.0,0.0,4.2,37.8,7836.7
COVIDhub-ensemble,3141,66.4,14.0,317.7,0.0,4.0,41.0,8230.0
USC-SI_kJalpha,2774,73.5,17.0,419.3,0.0,5.0,47.0,16331.0
OliverWyman-Navigator,2550,74.5,16.0,298.0,0.0,5.2,48.0,6284.0
CEID-Walk,3141,74.6,14.9,341.3,0.0,4.4,45.5,8138.3
COVIDhub-baseline,3141,74.9,14.0,350.3,0.0,5.0,44.0,7958.0
UCLA-SuEIR,2716,76.5,15.4,343.1,0.0,4.8,50.6,9976.7
LANL-GrowthRate,2951,80.1,20.8,331.4,0.0,6.1,55.1,9233.5
CU-select,3103,92.4,19.0,407.9,0.0,6.0,54.0,9214.0
JHU_IDD-CovidSP,3139,99.6,23.3,344.1,0.0,6.0,74.1,8215.0
PandemicCentral-USCounty,3080,103.2,24.0,510.1,0.0,7.0,67.0,19550.0
RobertWalraven-ESG,3141,141.6,19.1,897.6,0.0,5.1,60.2,32620.6
