,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,834,560.0,,,,,255.0,,353.0,357.8,,421.9,,452.0,-274.0,,,,,-579.0,,-481.0,-476.2,,-412.1,,-382.0,,,,,False,,False,False,,False,,False
01003,2557,994.0,,,,,1178.0,,712.9,418.4,,606.4,,0.0,-1563.0,,,,,-1379.0,,-1844.1,-2138.6,,-1950.6,,-2557.0,,,,,True,,False,False,,False,,False
01005,233,147.0,,,,,117.0,,138.3,33.7,,,,112.0,-86.0,,,,,-116.0,,-94.7,-199.3,,,,-121.0,,,,,False,,False,False,,,,False
01007,445,336.0,,,,,114.0,,236.3,215.6,,,,695.0,-109.0,,,,,-331.0,,-208.7,-229.4,,,,250.0,,,,,False,,False,False,,,,False
01009,1202,343.0,,,,,404.0,,219.1,233.0,,250.9,,116.0,-859.0,,,,,-798.0,,-982.9,-969.0,,-951.1,,-1086.0,,,,,True,,False,False,,False,,False
01011,72,70.0,,,,,44.0,,46.6,13.9,,,,0.0,-2.0,,,,,-28.0,,-25.4,-58.1,,,,-72.0,,,,,False,,False,False,,,,False
01013,211,196.0,,,,,89.0,,101.7,76.0,,,,168.0,-15.0,,,,,-122.0,,-109.3,-135.0,,,,-43.0,,,,,False,,False,False,,,,False
01015,2472,1141.0,,,,,794.0,,823.9,504.1,,974.7,,14.0,-1331.0,,,,,-1678.0,,-1648.1,-1967.9,,-1497.3,,-2458.0,,,,,False,,False,False,,False,,False
01017,533,266.0,,,,,128.0,,215.2,108.1,,99.5,,564.0,-267.0,,,,,-405.0,,-317.8,-424.9,,-433.5,,31.0,,,,,False,,False,False,,False,,True
01019,365,189.0,,,,,175.0,,158.8,89.4,,,,116.0,-176.0,,,,,-190.0,,-206.2,-275.6,,,,-249.0,,,,,False,,False,False,,,,False
01021,515,511.0,,,,,246.0,,338.7,217.7,,467.2,,273.0,-4.0,,,,,-269.0,,-176.3,-297.3,,-47.8,,-242.0,,,,,False,,False,False,,False,,False
01023,48,98.0,,,,,89.0,,70.5,13.1,,,,162.0,50.0,,,,,41.0,,22.5,-34.9,,,,114.0,,,,,True,,True,True,,,,False
01025,370,511.0,,,,,207.0,,317.2,273.8,,402.3,,154.0,141.0,,,,,-163.0,,-52.8,-96.2,,32.3,,-216.0,,,,,False,,True,True,,True,,False
01027,276,231.0,,,,,58.0,,151.2,80.0,,,,205.0,-45.0,,,,,-218.0,,-124.8,-196.0,,,,-71.0,,,,,False,,False,False,,,,False
