,mean_rank
LNQ-ens1,6.7
OliverWyman-Navigator,6.9
USC-SI_kJalpha_RF,7.6
DDS-NBDS,8.9
CU-select,9.1
LANL-GrowthRate,9.3
MSRA-DeepST,9.7
RobertWalraven-ESG,9.7
Karlen-pypm,9.9
JHU_CSSE-DECOM,10.3
Google_Harvard-CPF,11.3
COVIDhub-ensemble,11.9
JHU_UNC_GAS-StatMechPool,13.2
BPagano-RtDriven,14.8
JHUAPL-Bucky,15.0
UCSB-ACTS,15.4
JCB-PRM,15.4
CEID-Walk,15.9
COVIDhub-baseline,16.1
IowaStateLW-STEM,16.6
UMich-RidgeTfReg,17.1
USC-SI_kJalpha,17.6
Covid19Sim-Simulator,18.2
TTU-squider,19.7
UCLA-SuEIR,21.3
CovidAnalytics-DELPHI,23.2
