,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
Alabama,51380,36036.0,26079.9,32349.4,43479.0,40622.0,,46261.6,16820.0,57738.7,35537.5,,35167.0,41248.1,52475.8,47861.0,9493.5,44490.5,49996.5,49911.5,48460.3,43819.6,,72899.5,26483.2,15406.7,56463.2,36824.3,34899.0,49593.7,-15344.0,-25300.1,-19030.6,-7901.0,-10758.0,,-5118.4,-34560.0,6358.7,-15842.5,,-16213.0,-10131.9,1095.8,-3519.0,-41886.5,-6889.5,-1383.5,-1468.5,-2919.7,-7560.4,,21519.5,-24896.8,-35973.3,5083.2,-14555.7,-16481.0,-1786.3,False,False,True,True,,True,False,True,False,,False,True,True,True,False,True,True,True,True,True,,False,False,False,True,True,False,True
Alaska,15089,11240.0,734.8,11616.7,11389.0,11537.0,,10215.0,5147.0,11555.6,13011.4,,,11793.1,27287.3,,2544.5,13994.0,17770.7,17556.5,12697.4,13654.1,,13373.0,10941.6,9976.4,10000.5,32739.2,1993.0,16349.5,-3849.0,-14354.2,-3472.3,-3700.0,-3552.0,,-4874.0,-9942.0,-3533.4,-2077.6,,,-3295.9,12198.3,,-12544.5,-1095.0,2681.7,2467.5,-2391.6,-1434.9,,-1716.0,-4147.4,-5112.6,-5088.5,17650.2,-13096.0,1260.5,False,True,True,True,,False,False,True,True,,,True,False,,False,True,True,True,True,True,,True,False,False,False,False,False,True
Arizona,76828,36696.0,31924.1,36242.0,34155.0,93626.0,,32429.7,1970.0,56561.4,41386.7,,27698.0,30149.6,25418.6,36063.0,18411.7,38868.5,50557.2,47846.0,52689.1,45773.9,,32939.8,34335.4,20504.0,36731.9,46489.8,46796.0,47913.5,-40132.0,-44903.9,-40586.0,-42673.0,16798.0,,-44398.3,-74858.0,-20266.6,-35441.3,,-49130.0,-46678.4,-51409.4,-40765.0,-58416.3,-37959.5,-26270.8,-28982.0,-24138.9,-31054.1,,-43888.2,-42492.6,-56324.0,-40096.1,-30338.2,-30032.0,-28914.5,False,False,False,True,,False,False,True,True,,False,False,False,False,False,True,True,True,True,True,,False,False,False,True,True,True,True
Arkansas,42836,27488.0,20524.9,27190.2,28462.0,25987.0,,28451.1,19245.0,42077.6,24500.6,,28473.0,31990.0,32487.9,28418.0,9634.3,30007.5,31217.6,32253.5,31915.5,30632.5,,30852.2,20836.3,11896.9,35512.2,27203.1,25457.0,31388.9,-15348.0,-22311.1,-15645.8,-14374.0,-16849.0,,-14384.9,-23591.0,-758.4,-18335.4,,-14363.0,-10846.0,-10348.1,-14418.0,-33201.7,-12828.5,-11618.4,-10582.5,-10920.5,-12203.5,,-11983.8,-21999.7,-30939.1,-7323.8,-15632.9,-17379.0,-11447.1,False,False,True,False,,True,False,True,False,,True,True,True,True,False,True,True,True,True,True,,True,False,False,True,False,False,True
California,268481,113836.0,159079.6,115067.4,121114.0,96462.0,,131073.5,32415.0,161235.4,94315.0,,102271.0,128856.0,110032.2,131986.0,65506.6,118349.0,116481.1,140726.0,140258.8,117780.3,,185101.6,27681.6,64571.9,154194.0,135274.3,145574.0,125148.0,-154645.0,-109401.4,-153413.6,-147367.0,-172019.0,,-137407.5,-236066.0,-107245.6,-174166.0,,-166210.0,-139625.0,-158448.8,-136495.0,-202974.4,-150132.0,-151999.9,-127755.0,-128222.2,-150700.7,,-83379.4,-240799.4,-203909.1,-114287.0,-133206.7,-122907.0,-143333.0,True,True,True,False,,True,False,True,False,,False,True,False,True,False,True,True,True,True,True,,True,False,False,True,True,True,True
Colorado,117933,55800.0,15893.0,56396.2,56494.0,84643.0,,52573.8,243359.0,103293.3,77548.3,,50731.0,54701.6,46817.9,61310.0,37410.9,72078.5,86200.4,97279.0,89446.6,54562.6,,98208.6,61804.4,49214.3,50840.6,154097.0,60575.0,70762.0,-62133.0,-102040.0,-61536.8,-61439.0,-33290.0,,-65359.2,125426.0,-14639.7,-40384.7,,-67202.0,-63231.4,-71115.1,-56623.0,-80522.1,-45854.5,-31732.6,-20654.0,-28486.4,-63370.4,,-19724.4,-56128.6,-68718.7,-67092.4,36164.0,-57358.0,-47171.0,False,True,True,True,,False,False,True,True,,False,False,False,True,False,True,True,True,True,False,,True,True,False,False,True,True,True
Connecticut,41374,20620.0,28548.5,20722.6,21455.0,33420.0,,21215.5,16511.0,114719.2,14161.2,,15873.0,16942.9,13932.0,24949.0,29946.6,23956.5,36094.1,45703.0,23200.1,20448.7,,33628.2,12627.5,18049.0,20027.5,14004.4,17772.0,23781.9,-20754.0,-12825.5,-20651.4,-19919.0,-7954.0,,-20158.5,-24863.0,73345.2,-27212.8,,-25501.0,-24431.1,-27442.0,-16425.0,-11427.4,-17417.5,-5279.9,4329.0,-18173.9,-20925.3,,-7745.8,-28746.5,-23325.0,-21346.5,-27369.6,-23602.0,-17592.1,True,True,True,True,,True,False,False,False,,False,False,False,True,True,True,True,True,True,False,,True,False,False,False,False,False,True
Delaware,9719,4416.0,4753.9,4411.0,4448.0,5091.0,,4402.0,2562.0,6873.1,4256.5,,3829.0,4526.5,3243.0,4614.0,2701.8,4442.0,4939.8,4574.0,5535.8,7461.9,,4484.1,5458.3,3562.6,4731.9,3252.3,4515.0,7917.0,-5303.0,-4965.1,-5308.0,-5271.0,-4628.0,,-5317.0,-7157.0,-2845.9,-5462.5,,-5890.0,-5192.5,-6476.0,-5105.0,-7017.2,-5277.0,-4779.2,-5145.0,-4183.2,-2257.1,,-5234.9,-4260.7,-6156.4,-4987.1,-6466.7,-5204.0,-1802.0,True,False,True,True,,False,False,True,False,,False,True,False,True,False,True,True,True,True,True,,True,True,False,True,False,True,True
District of Columbia,4042,2240.0,155.2,2243.1,2071.0,4223.0,,2193.3,201.0,3294.2,3549.3,,1863.0,1737.5,1404.5,3179.0,1409.4,2327.0,2642.3,2218.0,3301.2,,,1367.6,798.1,1668.1,2067.1,,3278.0,2852.3,-1802.0,-3886.8,-1798.9,-1971.0,181.0,,-1848.7,-3841.0,-747.8,-492.7,,-2179.0,-2304.5,-2637.5,-863.0,-2632.6,-1715.0,-1399.7,-1824.0,-740.8,,,-2674.4,-3243.9,-2373.9,-1974.9,,-764.0,-1189.7,False,True,False,True,,False,False,True,True,,False,False,False,True,False,True,True,False,True,,,False,False,False,False,,True,True
Florida,182750,105184.0,66321.1,103452.2,105573.0,106798.0,,98102.2,20471.0,131345.2,62828.9,,90671.0,105857.6,93679.4,116176.0,74318.4,108888.0,166846.6,143553.5,137568.2,109104.7,,111984.6,70963.9,58958.5,131937.9,127135.2,97211.0,113514.3,-77566.0,-116428.9,-79297.8,-77177.0,-75952.0,,-84647.8,-162279.0,-51404.8,-119921.1,,-92079.0,-76892.4,-89070.6,-66574.0,-108431.6,-73862.0,-15903.4,-39196.5,-45181.8,-73645.3,,-70765.4,-111786.1,-123791.5,-50812.1,-55614.8,-85539.0,-69235.7,False,False,True,True,,False,False,True,False,,False,True,False,True,False,True,True,True,True,True,,True,False,False,True,True,False,True
