,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01001,750,510.0,,450.0,,,,,234.0,,351.8,167.0,300.7,,347.3,882.0,-240.0,,-300.0,,,,,-516.0,,-398.2,-583.0,-449.3,,-402.7,132.0,,False,,,,,False,,False,False,False,,False,True
01003,2383,960.0,,871.0,,,,,1055.0,,630.3,569.9,641.2,,865.6,0.0,-1423.0,,-1512.0,,,,,-1328.0,,-1752.7,-1813.1,-1741.8,,-1517.4,-2383.0,,False,,,,,True,,False,False,False,,False,False
01005,195,210.0,,224.0,,,,,102.0,,101.4,77.5,71.7,,,161.0,15.0,,29.0,,,,,-93.0,,-93.6,-117.5,-123.3,,,-34.0,,False,,,,,False,,False,False,False,,,False
01007,396,294.0,,227.0,,,,,120.0,,250.9,55.2,165.8,,,493.0,-102.0,,-169.0,,,,,-276.0,,-145.1,-340.8,-230.2,,,97.0,,False,,,,,False,,False,False,False,,,True
01009,1085,618.0,,1072.0,,,,,367.0,,391.1,133.7,471.6,,340.4,206.0,-467.0,,-13.0,,,,,-718.0,,-693.9,-951.3,-613.4,,-744.6,-879.0,,True,,,,,False,,False,False,False,,False,False
01011,63,66.0,,1.0,,,,,41.0,,43.1,25.6,15.4,,,0.0,3.0,,-62.0,,,,,-22.0,,-19.9,-37.4,-47.6,,,-63.0,,False,,,,,False,,False,False,False,,,False
01013,172,228.0,,0.0,,,,,90.0,,194.9,37.2,66.2,,,177.0,56.0,,-172.0,,,,,-82.0,,22.9,-134.8,-105.8,,,5.0,,False,,,,,False,,True,False,False,,,True
01015,2230,1458.0,,2926.0,,,,,716.0,,891.4,401.6,879.5,,1125.2,0.0,-772.0,,696.0,,,,,-1514.0,,-1338.6,-1828.4,-1350.5,,-1104.8,-2230.0,,True,,,,,False,,False,False,False,,False,False
01017,507,144.0,,354.0,,,,,131.0,,167.9,88.9,24.0,,76.0,226.0,-363.0,,-153.0,,,,,-376.0,,-339.1,-418.1,-483.0,,-431.0,-281.0,,True,,,,,False,,True,False,False,,False,True
01019,316,282.0,,274.0,,,,,159.0,,208.3,77.5,77.8,,,218.0,-34.0,,-42.0,,,,,-157.0,,-107.7,-238.5,-238.2,,,-98.0,,False,,,,,False,,False,False,False,,,False
01021,445,396.0,,325.0,,,,,241.0,,290.2,141.6,211.6,,335.7,225.0,-49.0,,-120.0,,,,,-204.0,,-154.8,-303.4,-233.4,,-109.3,-220.0,,False,,,,,False,,False,False,False,,False,False
01023,38,66.0,,42.0,,,,,89.0,,43.1,30.2,14.6,,,51.0,28.0,,4.0,,,,,51.0,,5.1,-7.8,-23.4,,,13.0,,True,,,,,False,,True,True,True,,,True
01025,327,258.0,,220.0,,,,,194.0,,253.9,43.5,122.3,,138.7,64.0,-69.0,,-107.0,,,,,-133.0,,-73.1,-283.5,-204.7,,-188.3,-263.0,,False,,,,,False,,False,False,False,,False,False
01027,219,336.0,,241.0,,,,,59.0,,236.9,40.1,121.5,,,375.0,117.0,,22.0,,,,,-160.0,,17.9,-178.9,-97.5,,,156.0,,True,,,,,False,,True,False,True,,,False
01029,252,288.0,,202.0,,,,,81.0,,264.6,45.0,152.2,,,131.0,36.0,,-50.0,,,,,-171.0,,12.6,-207.0,-99.8,,,-121.0,,False,,,,,False,,True,False,False,,,False
01031,828,564.0,,556.0,,,,,232.0,,430.9,285.7,418.7,,373.5,355.0,-264.0,,-272.0,,,,,-596.0,,-397.1,-542.3,-409.3,,-454.5,-473.0,,False,,,,,False,,False,False,False,,False,False
01033,1229,474.0,,626.0,,,,,469.0,,372.9,142.4,217.4,,238.7,450.0,-755.0,,-603.0,,,,,-760.0,,-856.1,-1086.6,-1011.6,,-990.3,-779.0,,True,,,,,False,,False,False,False,,False,False
01035,130,42.0,,2.0,,,,,58.0,,29.8,16.7,4.7,0.0,,51.0,-88.0,,-128.0,,,,,-72.0,,-100.2,-113.3,-125.3,-130.0,,-79.0,,False,,,,,True,,False,False,False,False,,True
01037,141,54.0,,44.0,,,,,34.0,,57.1,27.3,18.7,0.0,,39.0,-87.0,,-97.0,,,,,-107.0,,-83.9,-113.7,-122.3,-141.0,,-102.0,,False,,,,,False,,True,False,False,False,,False
01039,551,594.0,,736.0,,,,,220.0,,429.8,142.8,204.7,0.2,299.5,256.0,43.0,,185.0,,,,,-331.0,,-121.2,-408.2,-346.3,-550.8,-251.5,-295.0,,False,,,,,False,,False,False,False,False,False,False
01041,123,126.0,,18.0,,,,,55.0,,102.3,53.5,43.6,0.0,,92.0,3.0,,-105.0,,,,,-68.0,,-20.7,-69.5,-79.4,-123.0,,-31.0,,False,,,,,False,,False,False,False,False,,False
01043,2165,1056.0,,3071.0,,,,,694.0,,782.3,207.1,395.7,3.3,493.2,1346.0,-1109.0,,906.0,,,,,-1471.0,,-1382.7,-1957.9,-1769.3,-2161.7,-1671.8,-819.0,,True,,,,,False,,False,False,False,False,False,True
01045,716,372.0,,389.0,,,,,214.0,,191.7,161.3,222.1,0.3,326.0,142.0,-344.0,,-327.0,,,,,-502.0,,-524.3,-554.7,-493.9,-715.7,-390.0,-574.0,,True,,,,,False,,False,False,False,False,False,False
01047,424,96.0,,81.0,,,,,190.0,,83.9,50.0,12.6,0.1,59.3,111.0,-328.0,,-343.0,,,,,-234.0,,-340.1,-374.0,-411.4,-423.9,-364.7,-313.0,,False,,,,,True,,False,False,False,False,False,True
01049,1724,1752.0,,3937.0,,,,,648.0,,1644.0,200.4,1407.1,371.2,951.0,1084.0,28.0,,2213.0,,,,,-1076.0,,-80.0,-1523.6,-316.9,-1352.8,-773.0,-640.0,,False,,,,,False,,False,False,False,False,False,False
01051,998,774.0,,769.0,,,,,284.0,,676.5,280.5,390.4,3.5,479.4,755.0,-224.0,,-229.0,,,,,-714.0,,-321.5,-717.5,-607.6,-994.5,-518.6,-243.0,,False,,,,,False,,False,False,False,False,False,False
01053,280,108.0,,29.0,,,,,279.0,,105.2,82.5,14.3,0.1,55.4,46.0,-172.0,,-251.0,,,,,-1.0,,-174.8,-197.5,-265.7,-279.9,-224.6,-234.0,,False,,,,,True,,False,False,False,False,False,False
01055,2306,1092.0,,996.0,,,,,810.0,,715.2,367.4,837.0,4.9,703.4,761.0,-1214.0,,-1310.0,,,,,-1496.0,,-1590.8,-1938.6,-1469.0,-2301.1,-1602.6,-1545.0,,False,,,,,False,,False,False,False,False,False,False
