,predicted_cases,actual_cases,error,perc_error
Covid19Sim-Simulator,1165403.5,1156072,9331.5,0.8%
COVIDhub-baseline,1184520.0,1156072,28448.0,2.5%
CEID-Walk,1187414.6,1156072,31342.6,2.7%
USACE-ERDC_SEIR,1117870.5,1156072,-38201.5,-3.3%
CU-select,1197877.0,1156072,41805.0,3.6%
IQVIA_ACOE-STAN,1211081.0,1156072,55009.0,4.8%
LANL-GrowthRate,1241257.0,1156072,85185.0,7.4%
LNQ-ens1,1244281.6,1156072,88209.6,7.6%
UCF-AEM,1252304.0,1156072,96232.0,8.3%
UCLA-SuEIR,1267222.3,1156072,111150.3,9.6%
UVA-Ensemble,1268915.2,1156072,112843.2,9.8%
USC-SI_kJalpha,1271603.0,1156072,115531.0,10.0%
UChicagoCHATTOPADHYAY-UnIT,1274483.8,1156072,118411.8,10.2%
COVIDhub-ensemble,1292124.0,1156072,136052.0,11.8%
QJHong-Encounter,1298941.3,1156072,142869.3,12.4%
JCB-PRM,1312646.0,1156072,156574.0,13.5%
OneQuietNight-ML,1316303.0,1156072,160231.0,13.9%
MSRA-DeepST,1320607.3,1156072,164535.3,14.2%
TTU-squider,979969.9,1156072,-176102.1,-15.2%
IBF-TimeSeries,1345756.0,1156072,189684.0,16.4%
IowaStateLW-STEM,1364050.0,1156072,207978.0,18.0%
Geneva-DetGrowth,1370626.1,1156072,214554.1,18.6%
OliverWyman-Navigator,1375393.0,1156072,219321.0,19.0%
JHU_CSSE-DECOM,1404256.0,1156072,248184.0,21.5%
UMich-RidgeTfReg,1412659.7,1156072,256587.7,22.2%
JHU_IDD-CovidSP,880816.7,1156072,-275255.3,-23.8%
JHUAPL-Bucky,1446493.9,1156072,290421.9,25.1%
DDS-NBDS,1471364.6,1156072,315292.6,27.3%
BPagano-RtDriven,1484604.0,1156072,328532.0,28.4%
Karlen-pypm,1507387.0,1156072,351315.0,30.4%
Columbia_UNC-SurvCon,1526138.0,1156072,370066.0,32.0%
RobertWalraven-ESG,1528623.4,1156072,372551.4,32.2%
CovidAnalytics-DELPHI,1535469.0,1156072,379397.0,32.8%
Google_Harvard-CPF,,1156072,,
UCSB-ACTS,,1156072,,
