,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Alabama,29150,26722.0,35817.2,25370.4,28250.0,30849.0,,9964.0,33787.5,39091.3,,27844.0,32252.0,25609.0,20355.2,36233.0,17693.4,25788.5,26904.6,28830.5,35413.0,33398.1,33276.0,,46203.6,15128.6,,19379.4,27456.7,32313.7,25154.5,36713.6,22009.0,30477.4,-2428.0,6667.2,-3779.6,-900.0,1699.0,,-19186.0,4637.5,9941.3,,-1306.0,3102.0,-3541.0,-8794.8,7083.0,-11456.6,-3361.5,-2245.4,-319.5,6263.0,4248.1,4126.0,,17053.6,-14021.4,,-9770.6,-1693.3,3163.7,-3995.5,7563.6,-7141.0,1327.4,False,False,True,True,,False,False,False,,True,False,False,False,False,False,False,True,True,False,False,False,,False,False,,False,True,False,False,False,False,True
Alaska,8291,7694.0,6406.7,7601.8,8558.0,5916.0,,3394.0,10870.9,8807.2,,,,9238.0,9073.7,9998.0,4592.0,9559.5,10800.3,10986.0,10294.3,9856.2,10311.0,,11185.1,7834.7,,7721.8,8551.6,8988.1,5818.8,9150.8,0.0,10801.1,-597.0,-1884.3,-689.2,267.0,-2375.0,,-4897.0,2579.9,516.2,,,,947.0,782.7,1707.0,-3699.0,1268.5,2509.3,2695.0,2003.3,1565.2,2020.0,,2894.1,-456.3,,-569.2,260.6,697.1,-2472.2,859.8,-8291.0,2510.1,False,False,True,False,,False,False,True,,,,False,False,False,False,False,False,False,False,False,False,,False,True,,True,True,False,False,False,False,False
Arizona,49721,31338.0,24764.3,31069.4,35404.0,41881.0,,2691.0,43525.9,53843.0,,33182.0,31176.0,33153.8,32625.2,34310.0,36817.7,31904.5,44052.0,46189.0,42611.2,42875.3,43550.0,,46754.5,27722.2,,21597.1,31056.8,35927.9,38764.0,44025.8,36640.0,46565.0,-18383.0,-24956.7,-18651.6,-14317.0,-7840.0,,-47030.0,-6195.1,4122.0,,-16539.0,-18545.0,-16567.2,-17095.8,-15411.0,-12903.3,-17816.5,-5669.0,-3532.0,-7109.8,-6845.7,-6171.0,,-2966.5,-21998.8,,-28123.9,-18664.2,-13793.1,-10957.0,-5695.2,-13081.0,-3156.0,False,False,True,True,,False,True,True,,True,False,True,True,True,True,True,True,True,True,True,True,,True,False,,False,False,True,True,True,True,True
Arkansas,22860,22676.0,16591.5,22767.9,23486.0,22586.0,,10272.0,22328.3,28407.8,,24674.0,27875.0,24608.8,30433.2,29561.0,13139.8,22127.5,24406.2,23589.5,26560.5,26746.4,27382.0,,34156.8,12033.8,,16948.0,21083.5,27986.0,26776.8,19473.9,19106.0,26299.3,-184.0,-6268.5,-92.1,626.0,-274.0,,-12588.0,-531.7,5547.8,,1814.0,5015.0,1748.8,7573.2,6701.0,-9720.2,-732.5,1546.2,729.5,3700.5,3886.4,4522.0,,11296.8,-10826.2,,-5912.0,-1776.5,5126.0,3916.8,-3386.1,-3754.0,3439.3,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
California,182229,107410.0,134024.5,106483.0,119806.0,139547.0,,15499.0,124805.0,124479.4,,108405.0,124601.0,106737.9,135310.8,134053.0,94837.9,99674.0,125149.7,183145.5,173155.9,121991.7,147313.0,,151096.0,10527.8,,77742.6,97227.4,156711.2,108019.0,190393.8,137257.0,163971.9,-74819.0,-48204.5,-75746.0,-62423.0,-42682.0,,-166730.0,-57424.0,-57749.6,,-73824.0,-57628.0,-75491.1,-46918.2,-48176.0,-87391.1,-82555.0,-57079.3,916.5,-9073.1,-60237.3,-34916.0,,-31133.0,-171701.2,,-104486.4,-85001.6,-25517.8,-74210.0,8164.8,-44972.0,-18257.1,True,False,True,True,,False,True,True,,True,True,False,True,True,False,False,True,True,True,True,True,,True,False,,False,False,True,True,True,True,True
Colorado,66049,62534.0,87892.6,64083.4,76077.0,73512.0,,174170.0,89462.7,91877.6,,69655.0,53512.0,62020.5,72822.5,78837.0,46032.1,75377.0,95225.0,113651.0,84697.2,80388.2,77582.0,,101908.6,72297.7,,51143.1,54951.5,77906.9,103590.1,64483.4,54864.0,91440.6,-3515.0,21843.6,-1965.6,10028.0,7463.0,,108121.0,23413.7,25828.6,,3606.0,-12537.0,-4028.5,6773.5,12788.0,-20016.9,9328.0,29176.0,47602.0,18648.2,14339.2,11533.0,,35859.6,6248.7,,-14905.9,-11097.5,11857.9,37541.1,-1565.6,-11185.0,25391.6,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,True,False,False
Connecticut,23936,21040.0,19882.6,20613.4,22099.0,28375.0,,20949.0,246035.1,16281.9,,13775.0,15744.0,20276.0,22435.7,28825.0,23610.1,19865.5,30920.5,28023.5,23148.4,27130.6,20018.0,,27856.6,16630.9,,20049.0,18926.4,27159.1,39238.3,14289.2,17232.0,27413.7,-2896.0,-4053.4,-3322.6,-1837.0,4439.0,,-2987.0,222099.1,-7654.1,,-10161.0,-8192.0,-3660.0,-1500.3,4889.0,-325.9,-4070.5,6984.5,4087.5,-787.6,3194.6,-3918.0,,3920.6,-7305.1,,-3887.0,-5009.6,3223.1,15302.3,-9646.8,-6704.0,3477.7,False,False,True,False,,False,False,False,,False,False,False,True,False,True,False,False,False,True,False,False,,False,False,,False,False,False,False,False,False,False
Delaware,6275,4274.0,4533.5,4406.5,4433.0,5978.0,,2173.0,5468.0,5127.7,,3842.0,5452.0,4088.4,4784.0,5356.0,3463.7,3622.5,4760.3,6261.5,5921.1,5735.1,5879.0,,6047.6,2440.4,,3248.9,3240.0,6045.1,2876.1,6449.0,4609.0,3257.5,-2001.0,-1741.5,-1868.5,-1842.0,-297.0,,-4102.0,-807.0,-1147.3,,-2433.0,-823.0,-2186.6,-1491.0,-919.0,-2811.3,-2652.5,-1514.7,-13.5,-353.9,-539.9,-396.0,,-227.4,-3834.6,,-3026.1,-3035.0,-229.9,-3398.9,174.0,-1666.0,-3017.5,True,True,True,True,,False,True,True,,False,True,False,True,True,False,False,True,True,True,True,True,,True,False,,False,False,True,False,True,True,False
District of Columbia,2494,1846.0,1600.6,1931.6,1980.0,2528.0,,1098.0,2623.6,2544.1,,1720.0,2006.0,1931.5,1925.2,2488.0,1963.9,1555.0,2480.2,2300.0,2579.0,,2560.0,,2395.5,622.9,,1455.0,1653.7,2277.7,,2781.5,2011.0,1950.5,-648.0,-893.4,-562.4,-514.0,34.0,,-1396.0,129.6,50.1,,-774.0,-488.0,-562.5,-568.8,-6.0,-530.1,-939.0,-13.8,-194.0,85.0,,66.0,,-98.5,-1871.1,,-1039.0,-840.3,-216.3,,287.5,-483.0,-543.5,False,True,True,True,,False,True,True,,False,True,True,True,True,True,False,True,True,True,,True,,True,False,,False,False,True,,True,True,True
Florida,110201,76038.0,111382.8,75952.4,83659.0,76020.0,,14048.0,112274.8,108588.0,,70772.0,76038.0,85919.3,62959.6,93199.0,79717.5,75624.5,98081.6,97509.5,121420.5,98647.2,113888.0,,88288.0,58288.3,,52680.0,92167.8,101735.9,79315.4,103337.4,62613.0,81460.3,-34163.0,1181.8,-34248.6,-26542.0,-34181.0,,-96153.0,2073.8,-1613.0,,-39429.0,-34163.0,-24281.7,-47241.4,-17002.0,-30483.5,-34576.5,-12119.4,-12691.5,11219.5,-11553.8,3687.0,,-21913.0,-51912.7,,-57521.0,-18033.2,-8465.1,-30885.6,-6863.6,-47588.0,-28740.7,True,False,True,False,,False,True,True,,False,False,True,False,True,True,False,True,True,True,True,True,,True,False,,False,True,True,True,True,False,True
