,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF
Georgia,62527,33105.0,55235.7,33322.7,34717.0,32772.0,,34837.9,12682.0,45793.4,49983.5,,33722.0,36033.6,33424.8,39441.0,38002.0,45370.6,33355.0,34821.1,42370.2,45264.0,,35387.9,15679.9,19997.7,41108.8,37853.4,35767.0,49317.7,-29422.0,-7291.3,-29204.3,-27810.0,-29755.0,,-27689.1,-49845.0,-16733.6,-12543.5,,-28805.0,-26493.4,-29102.2,-23086.0,-24525.0,-17156.4,-29172.0,-27705.9,-20156.8,-17263.0,,-27139.1,-46847.1,-42529.3,-21418.2,-24673.6,-26760.0,-13209.3,True,True,True,False,,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,,True,False,False,True,True,True,True
Hawaii,2031,2244.0,87.4,2189.0,2038.0,3952.0,,1861.3,764.0,2693.8,1783.6,,,1906.1,1990.5,2431.0,1879.5,1519.9,2192.0,3167.8,3828.5,3051.0,,2655.0,1435.2,1425.7,1450.0,2458.5,1855.0,2470.7,213.0,-1943.6,158.0,7.0,1921.0,,-169.7,-1267.0,662.8,-247.4,,,-124.9,-40.5,400.0,-151.5,-511.1,161.0,1136.8,1797.5,1020.0,,624.0,-595.8,-605.3,-581.0,427.5,-176.0,439.7,False,True,True,False,,True,False,False,False,,,True,True,False,True,False,True,False,False,False,,False,False,False,False,False,True,False
Idaho,27348,23112.0,15883.7,23630.5,25344.0,25506.0,,19393.7,9556.0,62872.3,22954.7,,25537.0,23622.1,27706.9,26158.0,25185.0,35096.7,22909.0,29332.2,27229.8,29573.0,,32539.6,24139.0,14343.1,26089.0,25000.3,13705.0,26883.3,-4236.0,-11464.3,-3717.5,-2004.0,-1842.0,,-7954.3,-17792.0,35524.3,-4393.3,,-1811.0,-3725.9,358.9,-1190.0,-2163.0,7748.7,-4439.0,1984.2,-118.2,2225.0,,5191.6,-3209.0,-13004.9,-1259.0,-2347.7,-13643.0,-464.7,False,True,True,True,,False,False,False,False,,True,True,True,True,True,False,False,True,True,True,,False,True,False,True,True,False,True
Illinois,234958,184293.0,291662.3,184072.2,183942.0,333650.0,,183573.4,127462.0,308964.9,200710.3,,153167.0,174547.1,163421.3,162285.0,224437.5,311282.5,321476.5,290795.8,147882.1,244560.0,,237548.0,76385.4,124447.8,159853.6,426304.3,162804.0,131217.0,-50665.0,56704.3,-50885.8,-51016.0,98692.0,,-51384.6,-107496.0,74006.9,-34247.7,,-81791.0,-60410.9,-71536.7,-72673.0,-10520.5,76324.5,86518.5,55837.8,-87075.9,9602.0,,2590.0,-158572.6,-110510.2,-75104.4,191346.3,-72154.0,-103741.0,False,False,False,False,,False,False,False,True,,False,False,False,False,True,False,False,False,False,True,,True,False,False,False,False,False,False
Indiana,123286,79092.0,97998.2,77863.4,101771.0,112874.0,,69854.7,197117.0,135698.6,84881.3,,68319.0,81463.7,104065.8,91014.0,93881.5,123461.3,130596.0,126422.9,85685.5,112250.0,,114934.3,28655.3,71509.2,71850.9,151573.7,100819.0,105745.4,-44194.0,-25287.8,-45422.6,-21515.0,-10412.0,,-53431.3,73831.0,12412.6,-38404.7,,-54967.0,-41822.3,-19220.2,-32272.0,-29404.5,175.3,7310.0,3136.9,-37600.5,-11036.0,,-8351.7,-94630.7,-51776.8,-51435.1,28287.7,-22467.0,-17540.6,True,False,True,True,,False,False,True,True,,False,True,True,True,True,True,True,True,True,True,,True,False,False,False,True,True,True
Iowa,76925,65232.0,98690.9,64376.6,75884.0,86116.0,,60888.1,39634.0,75893.2,56970.2,,60644.0,58019.8,94051.0,71563.0,72552.5,123493.1,107278.0,111553.6,66327.2,91365.0,,115863.8,39426.1,42455.0,46599.3,139524.2,108202.0,87176.1,-11693.0,21765.9,-12548.4,-1041.0,9191.0,,-16036.9,-37291.0,-1031.8,-19954.8,,-16281.0,-18905.2,17126.0,-5362.0,-4372.5,46568.1,30353.0,34628.6,-10597.8,14440.0,,38938.8,-37498.9,-34470.0,-30325.7,62599.2,31277.0,10251.1,False,False,True,True,,False,False,True,False,,False,False,False,True,True,False,False,False,True,False,,False,False,False,False,False,False,True
Kansas,55728,35796.0,45497.7,35423.4,38771.0,40046.0,,30892.3,24883.0,37275.2,15733.9,,29048.0,28347.8,49182.0,40550.0,37166.5,60771.2,50219.0,47562.8,36524.5,48056.0,,51530.9,16605.5,24504.6,26640.2,69425.3,27911.0,45413.6,-19932.0,-10230.3,-20304.6,-16957.0,-15682.0,,-24835.7,-30845.0,-18452.8,-39994.1,,-26680.0,-27380.2,-6546.0,-15178.0,-18561.5,5043.2,-5509.0,-8165.2,-19203.5,-7672.0,,-4197.1,-39122.5,-31223.4,-29087.8,13697.3,-27817.0,-10314.4,True,False,True,True,,False,False,True,False,,False,False,True,True,True,True,True,True,True,True,,True,False,False,False,True,False,True
Kentucky,54521,37326.0,37049.7,37025.3,43157.0,43908.0,,34503.0,22497.0,93270.1,45636.6,,35929.0,44009.2,52939.0,42963.0,44867.5,47433.4,50354.5,43885.1,40822.5,53704.0,,46355.2,16598.4,38932.3,43451.9,51008.0,40253.0,53391.7,-17195.0,-17471.3,-17495.7,-11364.0,-10613.0,,-20018.0,-32024.0,38749.1,-8884.4,,-18592.0,-10511.8,-1582.0,-11558.0,-9653.5,-7087.6,-4166.5,-10635.9,-13698.5,-817.0,,-8165.8,-37922.6,-15588.7,-11069.1,-3513.0,-14268.0,-1129.3,False,False,True,True,,False,False,False,True,,False,True,True,True,True,True,True,True,True,True,,True,False,True,True,True,True,True
Louisiana,38887,13275.0,12555.7,13247.7,13011.0,17085.0,,12389.5,3569.0,26491.5,14224.2,,13667.0,13300.9,12435.5,14680.0,14007.0,12099.2,11948.0,15092.4,19050.5,13073.0,,9589.1,4466.8,12151.0,12803.6,16184.7,10314.0,15651.3,-25612.0,-26331.3,-25639.3,-25876.0,-21802.0,,-26497.5,-35318.0,-12395.5,-24662.8,,-25220.0,-25586.1,-26451.5,-24207.0,-24880.0,-26787.8,-26939.0,-23794.6,-19836.5,-25814.0,,-29297.9,-34420.2,-26736.0,-26083.4,-22702.3,-28573.0,-23235.7,False,False,False,True,,False,False,True,True,,True,True,False,True,True,False,False,True,True,False,,False,False,False,False,True,False,True
Maine,3688,2814.0,26418.3,2859.1,3124.0,7362.0,,2105.4,2417.0,2296.5,2757.0,,3315.0,2518.1,4281.8,3201.0,2880.5,11849.5,4757.5,4081.5,4880.0,4040.0,,4872.5,1226.6,2165.9,1721.7,7672.4,5465.0,3389.1,-874.0,22730.3,-828.9,-564.0,3674.0,,-1582.6,-1271.0,-1391.5,-931.0,,-373.0,-1169.9,593.8,-487.0,-807.5,8161.5,1069.5,393.5,1192.0,352.0,,1184.5,-2461.4,-1522.1,-1966.3,3984.4,1777.0,-298.9,False,True,True,False,,False,False,False,False,,True,False,True,True,True,False,False,True,False,True,,False,False,False,False,False,False,True
Maryland,41533,22902.0,23350.5,23232.0,23283.0,34661.0,,21800.4,9401.0,32231.2,24737.4,,18809.0,20058.7,18504.7,26999.0,21593.0,26119.2,29214.5,34685.3,29700.2,34740.0,,35065.1,7275.3,17782.6,21253.0,20782.3,24957.0,27020.7,-18631.0,-18182.5,-18301.0,-18250.0,-6872.0,,-19732.6,-32132.0,-9301.8,-16795.6,,-22724.0,-21474.3,-23028.3,-14534.0,-19940.0,-15413.8,-12318.5,-6847.7,-11832.8,-6793.0,,-6467.9,-34257.7,-23750.4,-20280.0,-20750.7,-16576.0,-14512.3,True,True,True,True,,False,False,True,True,,False,False,False,True,False,True,True,True,True,True,,True,False,False,False,False,True,True
Massachusetts,52893,33000.0,29550.1,32718.7,35618.0,39683.0,,30628.1,16458.0,68069.1,21473.1,,35790.0,31423.9,24206.1,37648.0,34802.5,51498.6,56801.0,53821.8,43998.1,49621.0,,39845.4,40824.7,26183.6,35783.9,21191.5,33361.0,45170.1,-19893.0,-23342.9,-20174.3,-17275.0,-13210.0,,-22264.9,-36435.0,15176.1,-31419.9,,-17103.0,-21469.1,-28686.9,-15245.0,-18090.5,-1394.4,3908.0,928.8,-8894.9,-3272.0,,-13047.6,-12068.3,-26709.4,-17109.1,-31701.5,-19532.0,-7722.9,False,False,True,True,,False,False,True,False,,True,False,False,True,True,True,True,True,True,True,,True,True,False,True,False,True,True
Michigan,149079,95001.0,127166.1,97024.7,108932.0,136935.0,,99217.2,158535.0,94317.7,114593.0,,96435.0,97030.9,109218.3,104071.0,114646.5,177667.2,166410.0,112662.9,91409.9,137280.0,,158290.5,39082.4,78852.3,82498.1,190966.9,121853.0,115837.0,-54078.0,-21912.9,-52054.3,-40147.0,-12144.0,,-49861.8,9456.0,-54761.3,-34486.0,,-52644.0,-52048.1,-39860.7,-45008.0,-34432.5,28588.2,17331.0,-36416.1,-57669.1,-11799.0,,9211.5,-109996.6,-70226.7,-66580.9,41887.9,-27226.0,-33242.0,True,True,True,True,,True,True,False,True,,True,True,True,True,True,True,True,True,False,True,,True,False,False,False,True,True,True
Minnesota,129069,79446.0,141270.0,78209.2,95259.0,130407.0,,72070.3,71266.0,109140.3,77835.8,,89571.0,70732.2,112049.4,93052.0,90937.0,112716.5,154661.5,149781.6,87517.5,112448.0,,132838.5,32719.0,49518.8,60002.0,213133.9,64585.0,100445.4,-49623.0,12201.0,-50859.8,-33810.0,1338.0,,-56998.7,-57803.0,-19928.7,-51233.2,,-39498.0,-58336.8,-17019.6,-36017.0,-38132.0,-16352.5,25592.5,20712.6,-41551.5,-16621.0,,3769.5,-96350.0,-79550.2,-69067.0,84064.9,-64484.0,-28623.6,True,False,True,True,,False,False,True,False,,True,False,True,True,True,True,True,True,True,True,,True,False,False,False,False,False,True
Mississippi,24055,17175.0,17916.8,17004.6,17907.0,19178.0,,13526.3,6933.0,24304.1,16933.2,,17082.0,17456.0,17029.3,18936.0,16816.0,21088.2,15573.0,23136.2,23730.6,22303.0,,25636.0,13429.3,15581.4,21064.8,16468.8,15502.0,22059.4,-6880.0,-6138.2,-7050.4,-6148.0,-4877.0,,-10528.7,-17122.0,249.1,-7121.8,,-6973.0,-6599.0,-7025.7,-5119.0,-7239.0,-2966.8,-8482.0,-918.8,-324.4,-1752.0,,1581.0,-10625.7,-8473.6,-2990.2,-7586.2,-8553.0,-1995.6,True,False,True,True,,False,False,True,False,,False,True,False,True,False,True,False,True,True,True,,True,False,False,True,False,False,True
Missouri,90154,68847.0,48991.1,66986.7,72745.0,93330.0,,65602.0,33099.0,111807.2,80036.8,,67566.0,61921.4,79290.1,75242.0,71054.0,79656.0,95220.5,111166.5,72947.5,99172.0,,81986.3,55938.8,49387.3,57544.1,68380.3,37503.0,80521.3,-21307.0,-41162.9,-23167.3,-17409.0,3176.0,,-24552.0,-57055.0,21653.2,-10117.2,,-22588.0,-28232.6,-10863.9,-14912.0,-19100.0,-10498.0,5066.5,21012.5,-17206.5,9018.0,,-8167.7,-34215.2,-40766.7,-32609.9,-21773.7,-52651.0,-9632.7,False,False,True,True,,False,False,False,True,,False,False,True,True,True,True,True,True,True,True,,True,False,False,False,False,False,True
Montana,21897,18441.0,14208.6,18690.6,19454.0,16475.0,,18650.4,14862.0,50744.0,18348.8,,17338.0,24103.5,35839.2,21717.0,24881.0,25679.3,19172.5,21252.3,22232.3,21933.0,,19270.9,34057.3,9813.1,24214.7,25461.8,13155.0,23901.1,-3456.0,-7688.4,-3206.4,-2443.0,-5422.0,,-3246.6,-7035.0,28847.0,-3548.2,,-4559.0,2206.5,13942.2,-180.0,2984.0,3782.3,-2724.5,-644.7,335.3,36.0,,-2626.1,12160.3,-12083.9,2317.7,3564.8,-8742.0,2004.1,False,True,True,False,,True,False,False,False,,False,True,False,True,True,False,True,True,True,True,,True,False,False,True,False,False,True
Nebraska,42928,34989.0,27366.2,36069.7,39479.0,44777.0,,31545.2,33024.0,48933.9,31294.8,,40156.0,32984.7,50627.4,40402.0,39176.5,56548.7,51641.5,54780.5,35849.1,48116.0,,47250.2,35978.6,35218.9,29763.5,59030.2,19621.0,41328.4,-7939.0,-15561.8,-6858.3,-3449.0,1849.0,,-11382.8,-9904.0,6005.9,-11633.2,,-2772.0,-9943.3,7699.4,-2526.0,-3751.5,13620.7,8713.5,11852.5,-7078.9,5188.0,,4322.2,-6949.4,-7709.1,-13164.5,16102.2,-23307.0,-1599.6,False,True,True,True,,False,False,True,False,,True,False,True,True,True,False,False,False,True,True,,True,True,True,False,False,False,True
Nevada,40483,23955.0,59062.5,23985.4,25695.0,31277.0,,20327.5,5759.0,35901.0,26616.9,,22397.0,21955.3,18336.0,31797.0,25141.0,30672.8,32457.0,37748.6,31895.8,32313.0,,28637.6,5169.0,14246.7,24599.6,28199.8,24209.0,27752.0,-16528.0,18579.5,-16497.6,-14788.0,-9206.0,,-20155.5,-34724.0,-4582.0,-13866.1,,-18086.0,-18527.7,-22147.0,-8686.0,-15342.0,-9810.2,-8026.0,-2734.4,-8587.2,-8170.0,,-11845.4,-35314.0,-26236.3,-15883.4,-12283.2,-16274.0,-12731.0,False,True,True,True,,False,False,True,True,,False,False,False,True,True,True,True,True,True,True,,True,False,False,True,True,True,True
New Hampshire,7784,3471.0,3516.2,3524.6,3749.0,5662.0,,3276.8,2623.0,5827.9,4525.6,,4534.0,3523.4,10251.2,3785.0,3533.0,5419.4,4808.0,6182.3,6168.4,5051.0,,5826.4,5144.8,3614.7,3490.0,4123.4,4612.0,5079.4,-4313.0,-4267.8,-4259.4,-4035.0,-2122.0,,-4507.2,-5161.0,-1956.1,-3258.4,,-3250.0,-4260.6,2467.2,-3999.0,-4251.0,-2364.6,-2976.0,-1601.7,-1615.6,-2733.0,,-1957.6,-2639.2,-4169.3,-4294.0,-3660.6,-3172.0,-2704.6,True,True,True,True,,False,False,True,True,,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True
New Jersey,76971,44088.0,34208.6,44210.4,48912.0,64883.0,,38997.9,48473.0,96700.0,62864.7,,34251.0,41434.0,30283.6,51731.0,46723.5,65642.0,68320.0,67036.0,52760.8,64666.0,,64921.5,34247.2,38518.0,42691.1,23389.2,43598.0,61333.4,-32883.0,-42762.4,-32760.6,-28059.0,-12088.0,,-37973.1,-28498.0,19729.0,-14106.3,,-42720.0,-35537.0,-46687.4,-25240.0,-30247.5,-11329.0,-8651.0,-9935.0,-24210.2,-12305.0,,-12049.5,-42723.8,-38453.0,-34279.9,-53581.8,-33373.0,-15637.6,False,True,True,True,,False,True,True,True,,False,False,False,True,True,True,True,True,True,True,,True,False,False,False,False,False,True
New Mexico,40311,21543.0,25925.5,21741.8,24500.0,22640.0,,18150.7,6066.0,39372.9,29712.4,,21602.0,24034.8,26784.6,24833.0,26466.5,40503.8,30043.0,30391.9,27231.5,29332.0,,26743.4,114213.1,18153.2,23811.8,26850.4,17289.0,26085.5,-18768.0,-14385.5,-18569.2,-15811.0,-17671.0,,-22160.3,-34245.0,-938.1,-10598.6,,-18709.0,-16276.2,-13526.4,-15478.0,-13844.5,192.8,-10268.0,-9919.1,-13079.5,-10979.0,,-13567.6,73902.1,-22157.8,-16499.2,-13460.6,-23022.0,-14225.5,True,True,True,True,,False,False,True,True,,True,True,True,True,True,True,True,True,True,True,,True,False,False,True,True,False,True
New York,112945,54195.0,105257.0,53572.7,60243.0,83177.0,,82189.1,29349.0,128830.9,77515.6,,51275.0,46583.1,42875.6,61368.0,53795.0,71018.3,75924.5,90075.3,67107.8,78715.0,,86835.9,57464.0,39404.8,54973.9,30018.9,58867.0,74706.1,-58750.0,-7688.0,-59372.3,-52702.0,-29768.0,,-30755.9,-83596.0,15885.9,-35429.4,,-61670.0,-66361.9,-70069.4,-51577.0,-59150.0,-41926.7,-37020.5,-22869.7,-45837.2,-34230.0,,-26109.1,-55481.0,-73540.2,-57971.1,-82926.1,-54078.0,-38238.9,True,False,True,True,,True,False,True,True,,False,False,False,True,False,True,True,True,True,True,,True,True,False,True,False,True,True
North Carolina,66713,49830.0,55967.2,50037.1,56088.0,54016.0,,47700.6,30404.0,75875.9,53836.6,,45752.0,56130.7,56467.0,56713.0,54641.0,66435.3,55914.0,59111.9,55565.9,66876.0,,75689.8,34797.5,52733.6,65016.5,48081.8,49772.0,77592.4,-16883.0,-10745.8,-16675.9,-10625.0,-12697.0,,-19012.4,-36309.0,9162.9,-12876.4,,-20961.0,-10582.3,-10246.0,-10000.0,-12072.0,-277.7,-10799.0,-7601.1,-11147.1,163.0,,8976.8,-31915.5,-13979.4,-1696.5,-18631.2,-16941.0,10879.4,True,True,True,True,,False,False,True,True,,False,True,True,True,True,True,True,True,True,True,,True,False,True,True,False,False,True
