,mean_rank
LNQ-ens1,11.0
CU-select,11.0
CEID-Walk,11.7
COVIDhub-baseline,12.0
COVIDhub-ensemble,12.2
Covid19Sim-Simulator,12.2
USACE-ERDC_SEIR,12.2
UCLA-SuEIR,12.5
UChicagoCHATTOPADHYAY-UnIT,13.2
LANL-GrowthRate,13.8
UVA-Ensemble,13.9
USC-SI_kJalpha,14.5
IQVIA_ACOE-STAN,14.6
Google_Harvard-CPF,15.0
UMich-RidgeTfReg,16.0
OliverWyman-Navigator,16.1
DDS-NBDS,16.6
OneQuietNight-ML,16.9
RobertWalraven-ESG,17.0
MSRA-DeepST,17.0
Geneva-DetGrowth,17.2
JCB-PRM,17.4
IowaStateLW-STEM,17.8
JHUAPL-Bucky,18.5
JHU_IDD-CovidSP,19.0
JHU_CSSE-DECOM,19.2
TTU-squider,20.4
CovidAnalytics-DELPHI,21.0
Karlen-pypm,21.8
UCSB-ACTS,21.9
BPagano-RtDriven,22.4
