,predicted_cases,actual_cases,error,perc_error
LANL-GrowthRate,3375242.0,3397349,-22107.0,-0.7%
DDS-NBDS,3528406.2,3397349,131057.2,3.9%
UMich-RidgeTfReg,3643515.4,3397349,246166.4,7.2%
Karlen-pypm,3149646.7,3397349,-247702.3,-7.3%
LNQ-ens1,3116491.4,3397349,-280857.6,-8.3%
Columbia_UNC-SurvCon,3758748.0,3397349,361399.0,10.6%
CU-select,2979922.0,3397349,-417427.0,-12.3%
RobertWalraven-ESG,3827219.7,3397349,429870.7,12.7%
OliverWyman-Navigator,2947082.0,3397349,-450267.0,-13.3%
BPagano-RtDriven,2819877.9,3397349,-577471.1,-17.0%
COVIDhub-ensemble,2718828.0,3397349,-678521.0,-20.0%
UCLA-SuEIR,2650686.5,3397349,-746662.5,-22.0%
USC-SI_kJalpha_RF,2589657.7,3397349,-807691.3,-23.8%
Covid19Sim-Simulator,2526354.2,3397349,-870994.8,-25.6%
JHUAPL-Bucky,2478313.7,3397349,-919035.3,-27.1%
QJHong-Encounter,2447962.0,3397349,-949387.0,-27.9%
IBF-TimeSeries,2444206.0,3397349,-953143.0,-28.1%
JHU_CSSE-DECOM,2417481.0,3397349,-979868.0,-28.8%
MSRA-DeepST,2288162.8,3397349,-1109186.2,-32.6%
CEID-Walk,2207115.6,3397349,-1190233.4,-35.0%
COVIDhub-baseline,2181462.0,3397349,-1215887.0,-35.8%
JCB-PRM,2168256.8,3397349,-1229092.2,-36.2%
USC-SI_kJalpha,2083697.0,3397349,-1313652.0,-38.7%
IowaStateLW-STEM,1922520.0,3397349,-1474829.0,-43.4%
TTU-squider,1619724.2,3397349,-1777624.8,-52.3%
CovidAnalytics-DELPHI,1617729.0,3397349,-1779620.0,-52.4%
Google_Harvard-CPF,,3397349,,
JHU_UNC_GAS-StatMechPool,,3397349,,
UCSB-ACTS,,3397349,,
