,count,mean,median,std,min,25%,75%,max
CU-select,3077,5263964.6,40804.0,79920023.7,0.0,8281.0,289444.0,3934425625.0
COVIDhub-baseline,3141,6049229.8,36100.0,95281080.4,0.0,4096.0,337561.0,4869248400.0
IowaStateLW-STEM,3103,8026383.6,35344.0,148717616.5,0.0,4489.0,363609.0,7016742756.0
LANL-GrowthRate,2950,8697409.6,91098.2,137631825.0,0.0,16299.2,645406.2,7147640028.6
USC-SI_kJalpha,3112,8757829.0,67600.0,120481038.4,0.0,8177.3,525625.0,5529855769.0
JHUAPL-Bucky,3141,10638371.8,37091.1,186897251.3,0.0,4189.4,438711.7,8524070676.7
JHU_IDD-CovidSP,3139,11238732.0,92722.3,220066674.0,0.0,13230.4,632178.7,10429493157.5
MITCovAlliance-SIR,2700,13205853.1,119498.2,187950250.5,3.1,18623.7,838569.9,8136451317.2
