,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,80295,43022.0,,45866.2,16380.0,,29919.0,44613.5,31195.2,24224.9,18595.9,39498.5,37713.0,-37273.0,,-34428.8,-63915.0,,-50376.0,-35681.5,-49099.8,-56070.1,-61699.1,-40796.5,-42582.0,,True,False,,False,True,False,False,False,False,False
Alaska,20997,8498.0,,7944.6,5236.0,,,10268.5,8187.7,6612.2,3716.8,15852.5,3644.0,-12499.0,,-13052.4,-15761.0,,,-10728.5,-12809.3,-14384.8,-17280.2,-5144.5,-17353.0,,False,False,,,True,False,False,False,True,False
Arizona,97796,32053.0,,28271.6,1658.0,,12969.0,37880.5,21641.6,17493.9,19246.3,34592.7,36438.0,-65743.0,,-69524.4,-96138.0,,-84827.0,-59915.5,-76154.4,-80302.1,-78549.7,-63203.3,-61358.0,,False,False,,False,True,False,False,False,True,True
Arkansas,62806,39865.0,,39691.4,30269.0,,45907.0,37868.2,35448.1,22849.4,24009.2,27821.6,29831.0,-22941.0,,-23114.6,-32537.0,,-16899.0,-24937.8,-27357.9,-39956.6,-38796.8,-34984.4,-32975.0,,False,False,,True,False,False,False,False,False,False
California,348214,160223.0,,163596.8,63932.0,,80993.0,178242.0,123637.9,79676.6,96515.4,133659.5,147758.0,-187991.0,,-184617.2,-284282.0,,-267221.0,-169972.0,-224576.1,-268537.4,-251698.6,-214554.5,-200456.0,,True,False,,False,True,False,False,False,False,False
Colorado,147641,35595.0,,32258.2,68150.0,,20462.0,53779.7,23222.7,24580.9,18449.2,73453.0,43163.0,-112046.0,,-115382.8,-79491.0,,-127179.0,-93861.3,-124418.3,-123060.1,-129191.8,-74188.0,-104478.0,,False,True,,False,True,False,False,False,True,True
Connecticut,52543,12187.0,,11452.9,2949.0,,9559.0,10254.8,8730.7,3572.9,7787.3,9153.6,16431.0,-40356.0,,-41090.1,-49594.0,,-42984.0,-42288.2,-43812.3,-48970.1,-44755.7,-43389.4,-36112.0,,False,False,,False,False,False,False,False,False,True
Delaware,12672,6111.0,,4949.0,1977.0,,3859.0,7743.1,4089.8,3511.6,2916.0,4806.8,4960.0,-6561.0,,-7723.0,-10695.0,,-8813.0,-4928.9,-8582.2,-9160.4,-9756.0,-7865.2,-7712.0,,False,False,,False,True,False,False,False,False,False
District of Columbia,5390,3115.0,,2200.6,113.0,,1186.0,3165.0,1992.9,1668.3,2458.9,6902.0,5258.0,-2275.0,,-3189.4,-5277.0,,-4204.0,-2225.0,-3397.1,-3721.7,-2931.1,1512.0,-132.0,,False,False,,False,True,False,False,False,True,True
Florida,256376,100310.0,,106640.4,18663.0,,58289.0,113763.9,85687.7,93982.2,56585.7,90150.0,58349.0,-156066.0,,-149735.6,-237713.0,,-198087.0,-142612.1,-170688.3,-162393.8,-199790.3,-166226.0,-198027.0,,True,False,,False,True,False,False,False,False,False
Georgia,137295,56700.0,,53297.0,24544.0,,30363.0,44936.5,44704.5,32577.8,32799.8,26733.2,48118.0,-80595.0,,-83998.0,-112751.0,,-106932.0,-92358.5,-92590.5,-104717.2,-104495.2,-110561.8,-89177.0,,False,False,,False,False,False,False,False,False,False
Hawaii,4517,4459.0,,4745.9,1293.0,,,7047.5,4519.1,2830.7,1818.3,4462.0,1170.0,-58.0,,228.9,-3224.0,,,2530.5,2.1,-1686.3,-2698.7,-55.0,-3347.0,,False,False,,,False,True,False,False,True,False
Idaho,51959,27993.0,,26712.8,8344.0,,16565.0,39050.7,28060.6,14393.8,10991.6,19866.6,15297.0,-23966.0,,-25246.2,-43615.0,,-35394.0,-12908.3,-23898.4,-37565.2,-40967.4,-32092.4,-36662.0,,False,False,,False,True,True,False,False,False,False
Illinois,393485,116683.0,,106543.6,18587.0,,74934.0,154406.3,84040.4,76993.2,90070.7,174468.3,93169.0,-276802.0,,-286941.4,-374898.0,,-318551.0,-239078.7,-309444.6,-316491.8,-303414.3,-219016.7,-300316.0,,False,False,,False,True,False,False,False,True,False
Indiana,195597,65464.0,,60682.1,30130.0,,44012.0,87715.3,50545.5,47323.9,33210.9,119761.4,108031.0,-130133.0,,-134914.9,-165467.0,,-151585.0,-107881.7,-145051.5,-148273.1,-162386.1,-75835.6,-87566.0,,False,False,,False,True,False,False,False,True,True
Iowa,128137,47187.0,,47598.4,29538.0,,34526.0,52707.1,41470.6,30301.9,22124.9,41334.0,53556.0,-80950.0,,-80538.6,-98599.0,,-93611.0,-75429.9,-86666.4,-97835.1,-106012.1,-86803.0,-74581.0,,True,False,,False,True,False,False,False,False,True
Kansas,88141,30198.0,,29273.6,29842.0,,23718.0,16615.2,39278.5,13771.1,23040.9,17422.8,23057.0,-57943.0,,-58867.4,-58299.0,,-64423.0,-71525.8,-48862.5,-74369.9,-65100.1,-70718.2,-65084.0,,False,False,,False,False,True,False,False,False,False
