,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,300,336.0,,345.3,,346.0,419.0,,,,175.4,,,176.0,,373.6,,209.1,299.0,,421.0,379.0,,437.0,191.0,,,,,274.6,738.6,,,,,408.7,36.0,,45.3,,46.0,119.0,,,,-124.6,,,-124.0,,73.6,,-90.9,-1.0,,121.0,79.0,,137.0,-109.0,,,,,-25.4,438.6,,,,,108.7,,False,,False,False,,,,False,,,False,,False,,False,True,,False,False,,False,False,,,,,True,False,,,,,False
01003,1137,816.0,,815.1,,798.0,936.0,,,,1044.6,,,540.0,,644.5,,575.7,756.0,,937.5,965.8,,930.0,603.0,,,,,642.9,1072.5,692.0,,,,1267.7,-321.0,,-321.9,,-339.0,-201.0,,,,-92.4,,,-597.0,,-492.5,,-561.3,-381.0,,-199.5,-171.2,,-207.0,-534.0,,,,,-494.1,-64.5,-445.0,,,,130.7,,False,,False,True,,,,True,,,False,,False,,False,False,,True,True,,True,False,,,,,False,True,False,,,,True
01005,50,62.0,,56.0,,63.0,78.0,,,,50.7,,,75.0,,32.9,,57.8,,,64.0,75.6,,57.0,0.0,,,,,57.4,59.9,,,,,80.8,12.0,,6.0,,13.0,28.0,,,,0.7,,,25.0,,-17.1,,7.8,,,14.0,25.6,,7.0,-50.0,,,,,7.4,9.9,,,,,30.8,,True,,False,False,,,,True,,,False,,False,,True,,,False,False,,True,False,,,,,True,True,,,,,False
01007,201,108.0,,109.6,,109.0,108.0,,,,57.5,,,84.0,,109.0,,80.7,,,144.0,127.3,,114.0,107.0,,,,,,146.4,,,,,163.7,-93.0,,-91.4,,-92.0,-93.0,,,,-143.5,,,-117.0,,-92.0,,-120.3,,,-57.0,-73.7,,-87.0,-94.0,,,,,,-54.6,,,,,-37.3,,True,,True,False,,,,False,,,False,,True,,False,,,True,True,,True,False,,,,,,True,,,,,True
01009,404,464.0,,457.7,,461.0,618.0,,,,252.1,,,259.0,,292.6,,294.9,496.0,,656.0,550.9,,640.0,443.0,,,,,309.4,460.6,,,,,492.8,60.0,,53.7,,57.0,214.0,,,,-151.9,,,-145.0,,-111.4,,-109.1,92.0,,252.0,146.9,,236.0,39.0,,,,,-94.6,56.6,,,,,88.8,,True,,True,False,,,,False,,,False,,False,,False,False,,False,False,,False,True,,,,,False,True,,,,,False
01011,21,24.0,,23.9,,24.0,0.0,,,,18.5,,,36.0,,7.4,,21.5,,,17.0,28.2,,27.0,0.0,,,,,,20.1,,,,,32.4,3.0,,2.9,,3.0,-21.0,,,,-2.5,,,15.0,,-13.6,,0.5,,,-4.0,7.2,,6.0,-21.0,,,,,,-0.9,,,,,11.4,,True,,False,False,,,,True,,,False,,False,,True,,,False,False,,False,False,,,,,,True,,,,,False
01013,90,58.0,,55.6,,56.0,28.0,,,,41.3,,,56.0,,36.1,,50.2,,,91.0,90.6,,105.0,7.0,,,,,42.3,67.3,,,,,69.1,-32.0,,-34.4,,-34.0,-62.0,,,,-48.7,,,-34.0,,-53.9,,-39.8,,,1.0,0.6,,15.0,-83.0,,,,,-47.7,-22.7,,,,,-20.9,,False,,False,False,,,,False,,,False,,False,,False,,,True,True,,True,False,,,,,False,True,,,,,True
01015,831,634.0,,689.5,,644.0,671.0,,,,725.3,,,516.0,,306.2,,459.8,693.0,,907.0,986.9,,1196.0,132.0,,,,,512.1,895.3,,,,,616.5,-197.0,,-141.5,,-187.0,-160.0,,,,-105.7,,,-315.0,,-524.8,,-371.2,-138.0,,76.0,155.9,,365.0,-699.0,,,,,-318.9,64.3,,,,,-214.5,,True,,True,True,,,,True,,,False,,False,,False,True,,True,True,,False,False,,,,,False,True,,,,,False
01017,212,146.0,,139.5,,132.0,171.0,,,,98.7,,,113.0,,37.7,,114.7,141.0,,213.0,191.7,,218.0,82.0,,,,,124.8,252.8,,,,,100.5,-66.0,,-72.5,,-80.0,-41.0,,,,-113.3,,,-99.0,,-174.3,,-97.3,-71.0,,1.0,-20.3,,6.0,-130.0,,,,,-87.2,40.8,,,,,-111.5,,False,,False,True,,,,False,,,False,,False,,False,False,,True,True,,True,False,,,,,False,True,,,,,False
01019,124,124.0,,122.2,,125.0,135.0,,,,66.6,,,107.0,,32.8,,78.2,,,157.0,159.6,,171.0,203.0,,,,,,189.4,,,,,201.4,0.0,,-1.8,,1.0,11.0,,,,-57.4,,,-17.0,,-91.2,,-45.8,,,33.0,35.6,,47.0,79.0,,,,,,65.4,,,,,77.4,,False,,False,False,,,,False,,,False,,False,,False,,,False,False,,False,False,,,,,,False,,,,,False
