,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Alabama,14285,14865.0,19226.3,14541.1,15259.0,16028.0,,14468.7,15348.0,16714.4,17611.9,15283.1,,15597.0,15259.0,16858.5,16805.6,17846.0,9520.1,14523.3,14930.5,14911.9,17384.2,18311.0,17244.0,,20661.3,8764.8,,14708.3,19233.9,16164.5,13301.8,14962.2,16507.0,14030.8,580.0,4941.3,256.1,974.0,1743.0,,183.7,1063.0,2429.4,3326.9,998.1,,1312.0,974.0,2573.5,2520.6,3561.0,-4764.9,238.3,645.5,626.9,3099.2,4026.0,2959.0,,6376.3,-5520.2,,423.3,4948.9,1879.5,-983.2,677.2,2222.0,-254.2,False,True,False,False,,True,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,,False,False,,True,False,False,False,False,False,True
Alaska,4220,4071.0,2574.0,4058.4,4109.0,3547.0,,4110.3,4829.0,4744.5,4669.0,4624.0,,,,4900.6,5114.7,5003.0,1990.9,5793.8,3616.0,3833.3,4463.7,4347.0,4717.0,,4162.2,4837.1,,3898.7,6201.3,4314.3,3995.5,3446.6,4512.0,4107.9,-149.0,-1646.0,-161.6,-111.0,-673.0,,-109.7,609.0,524.5,449.0,404.0,,,,680.6,894.7,783.0,-2229.1,1573.8,-604.0,-386.7,243.7,127.0,497.0,,-57.8,617.1,,-321.3,1981.3,94.3,-224.5,-773.4,292.0,-112.1,False,False,True,False,,True,False,False,False,False,,,,False,False,False,False,False,False,False,False,True,False,,True,False,,False,False,True,False,False,False,True
Arizona,27440,22281.0,19670.0,22367.2,25672.0,22815.0,,20147.5,33742.0,28146.0,29335.8,25306.0,,23665.0,30075.0,22189.5,21875.5,27535.0,18697.8,25933.0,28734.0,28834.3,30554.6,26836.0,26115.0,,31271.7,14864.6,,22924.9,27031.2,22339.7,26973.4,26537.5,25672.0,27975.0,-5159.0,-7770.0,-5072.8,-1768.0,-4625.0,,-7292.5,6302.0,706.0,1895.8,-2134.0,,-3775.0,2635.0,-5250.5,-5564.5,95.0,-8742.2,-1507.0,1294.0,1394.3,3114.6,-604.0,-1325.0,,3831.7,-12575.4,,-4515.1,-408.8,-5100.3,-466.6,-902.5,-1768.0,535.0,False,True,True,True,,False,False,True,True,True,,True,True,False,False,True,False,True,True,True,True,True,True,,True,False,,True,True,True,True,True,True,True
Arkansas,11205,11655.0,17282.3,11472.7,12214.0,10399.0,,11630.3,8945.0,11136.0,12855.6,13756.2,,12756.0,15178.0,13924.1,11045.8,13847.0,6775.7,15698.5,12750.0,12214.1,13300.8,14853.0,15474.0,,15065.0,6425.7,,12002.8,16639.6,12394.1,13302.5,10917.5,12295.0,11465.6,450.0,6077.3,267.7,1009.0,-806.0,,425.3,-2260.0,-69.0,1650.6,2551.2,,1551.0,3973.0,2719.1,-159.2,2642.0,-4429.3,4493.5,1545.0,1009.1,2095.8,3648.0,4269.0,,3860.0,-4779.3,,797.8,5434.6,1189.1,2097.5,-287.5,1090.0,260.6,False,True,False,False,,True,False,True,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,True,False,True
California,95189,82368.0,127241.1,81241.3,95329.0,97127.0,,74941.7,97193.0,82255.5,104076.7,93596.5,,84783.0,83576.0,74576.0,108649.1,104150.0,62170.6,111233.0,108813.0,95328.9,83149.4,94540.0,97395.0,,109697.9,4609.8,,86313.9,88932.5,96406.3,102706.7,92845.6,91621.0,103251.5,-12821.0,32052.1,-13947.7,140.0,1938.0,,-20247.3,2004.0,-12933.5,8887.7,-1592.5,,-10406.0,-11613.0,-20613.0,13460.1,8961.0,-33018.4,16044.0,13624.0,139.9,-12039.6,-649.0,2206.0,,14508.9,-90579.2,,-8875.1,-6256.5,1217.3,7517.7,-2343.4,-3568.0,8062.5,False,False,True,True,,False,True,False,True,True,,True,True,False,False,True,False,False,False,True,True,True,True,,False,False,,True,True,True,True,True,True,True
Colorado,30604,35445.0,47345.6,35148.2,39824.0,35662.0,,33568.4,50146.0,41103.9,41485.9,43491.9,,40786.0,39826.0,42112.5,41707.8,41094.0,23253.2,53937.7,36696.0,34984.0,39538.3,40657.0,40536.0,,44460.0,41642.6,,36677.2,51815.4,34323.8,41084.7,32099.7,37689.0,35800.3,4841.0,16741.6,4544.2,9220.0,5058.0,,2964.4,19542.0,10499.9,10881.9,12887.9,,10182.0,9222.0,11508.5,11103.8,10490.0,-7350.8,23333.7,6092.0,4380.0,8934.3,10053.0,9932.0,,13856.0,11038.6,,6073.2,21211.4,3719.8,10480.7,1495.7,7085.0,5196.3,False,True,False,False,,True,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,,False,False,True,False,True,False,False
Connecticut,11112,12824.0,13808.9,12875.8,14889.0,13535.0,,12431.6,19039.0,50300.5,14894.0,11010.2,,8839.0,14889.0,14476.3,17163.9,15861.0,13503.2,16947.5,18359.5,12924.3,15352.7,12646.0,15109.0,,10401.8,12441.3,,15181.2,16878.7,12444.4,17569.5,7590.4,12843.0,18552.0,1712.0,2696.9,1763.8,3777.0,2423.0,,1319.6,7927.0,39188.5,3782.0,-101.8,,-2273.0,3777.0,3364.3,6051.9,4749.0,2391.2,5835.5,7247.5,1812.3,4240.7,1534.0,3997.0,,-710.2,1329.3,,4069.2,5766.7,1332.4,6457.5,-3521.6,1731.0,7440.0,False,False,False,False,,True,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,True,False,,True,True,,False,False,True,False,False,False,False
Delaware,3349,2926.0,3689.8,2896.4,3130.0,3281.0,,2631.7,3130.0,2673.0,3897.0,3289.5,,2816.0,3343.0,2887.5,2984.8,3778.0,2123.0,4139.2,3831.0,3282.7,4014.2,3445.0,3447.0,,3824.0,1232.4,,3011.4,2826.4,3167.7,3361.3,3911.2,3305.0,2565.3,-423.0,340.8,-452.6,-219.0,-68.0,,-717.3,-219.0,-676.0,548.0,-59.5,,-533.0,-6.0,-461.5,-364.2,429.0,-1226.0,790.2,482.0,-66.3,665.2,96.0,98.0,,475.0,-2116.6,,-337.6,-522.6,-181.3,12.3,562.2,-44.0,-783.7,True,False,True,True,,False,True,False,False,True,,False,True,False,True,False,False,False,False,True,False,True,True,,False,False,,True,False,True,True,False,True,False
District of Columbia,1347,1147.0,1453.2,1151.4,1299.0,1163.0,,1111.4,1398.0,1243.3,1401.6,1085.3,,1077.0,1409.0,1109.4,1528.4,1507.0,1180.1,1398.0,1335.0,1263.2,,1428.0,1152.0,,1386.0,1156.7,,1113.2,1412.8,1190.4,,1268.3,1358.0,1206.8,-200.0,106.2,-195.6,-48.0,-184.0,,-235.6,51.0,-103.7,54.6,-261.7,,-270.0,62.0,-237.6,181.4,160.0,-166.9,51.0,-12.0,-83.8,,81.0,-195.0,,39.0,-190.3,,-233.8,65.8,-156.6,,-78.7,11.0,-140.2,True,True,True,True,,False,True,True,True,False,,False,True,False,True,True,True,True,True,True,,True,True,,True,True,,False,True,True,,True,True,True
Florida,53470,56731.0,64779.0,56585.0,58894.0,63578.0,,49545.5,68748.0,68908.1,70758.6,58583.6,,55409.0,59598.0,51557.7,52371.3,70212.0,52156.4,64146.8,55568.5,59335.6,62080.3,64384.0,67876.0,,78764.6,43324.9,,58894.0,65139.5,62813.8,58122.5,57718.8,58892.0,43255.5,3261.0,11309.0,3115.0,5424.0,10108.0,,-3924.5,15278.0,15438.1,17288.6,5113.6,,1939.0,6128.0,-1912.3,-1098.7,16742.0,-1313.6,10676.8,2098.5,5865.6,8610.3,10914.0,14406.0,,25294.6,-10145.1,,5424.0,11669.5,9343.8,4652.5,4248.8,5422.0,-10214.5,False,True,False,False,,False,False,False,False,False,,True,False,True,True,False,True,False,True,False,False,False,False,,False,False,,False,False,False,False,False,False,False
