,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,72856,42816.0,65263.7,53450.0,,37949.8,12522.0,,27302.0,44120.3,33821.8,13669.1,25163.7,25928.5,36188.0,-30040.0,-7592.3,-19406.0,,-34906.2,-60334.0,,-45554.0,-28735.7,-39034.2,-59186.9,-47692.3,-46927.5,-36668.0,True,True,,False,False,,False,True,False,False,False,False,False
Alaska,19620,7974.0,71267.7,5827.0,,8584.5,5168.0,,,9586.3,15654.1,3213.1,5519.9,2843.7,3319.0,-11646.0,51647.7,-13793.0,,-11035.5,-14452.0,,,-10033.7,-3965.9,-16406.9,-14100.1,-16776.3,-16301.0,False,False,,True,False,,,True,True,False,False,False,False
Arizona,92315,32886.0,116847.7,33676.0,,29647.2,1359.0,,16548.0,37852.0,21692.7,18123.1,19564.1,18867.6,33984.0,-59429.0,24532.7,-58639.0,,-62667.8,-90956.0,,-75767.0,-54463.0,-70622.3,-74191.9,-72750.9,-73447.4,-58331.0,True,True,,False,False,,False,True,False,False,False,False,True
Arkansas,56604,37212.0,37545.9,38947.0,,33367.0,25103.0,,42862.0,37656.1,42128.9,14572.5,21631.3,15661.6,28988.0,-19392.0,-19058.1,-17657.0,,-23237.0,-31501.0,,-13742.0,-18947.9,-14475.1,-42031.5,-34972.7,-40942.4,-27616.0,True,True,,False,False,,True,True,True,False,False,False,False
California,327010,127224.0,190445.3,118562.0,,115300.2,70855.0,,80131.0,146699.2,121851.6,97311.5,58900.8,72575.2,113663.0,-199786.0,-136564.7,-208448.0,,-211709.8,-256155.0,,-246879.0,-180310.8,-205158.4,-229698.5,-268109.2,-254434.8,-213347.0,True,False,,False,False,,False,True,False,False,False,False,False
Colorado,140914,40368.0,58307.5,56577.0,,38637.3,65674.0,,26297.0,40740.2,27769.3,54375.5,27162.1,20601.3,47004.0,-100546.0,-82606.5,-84337.0,,-102276.7,-75240.0,,-114617.0,-100173.8,-113144.7,-86538.5,-113751.9,-120312.7,-93910.0,True,True,,False,True,,False,True,False,True,False,False,True
Connecticut,49751,16752.0,10176.5,24295.0,,11585.6,2094.0,,9116.0,13639.2,9849.6,32357.6,4632.0,10041.9,15847.0,-32999.0,-39574.5,-25456.0,,-38165.4,-47657.0,,-40635.0,-36111.8,-39901.4,-17393.4,-45119.0,-39709.1,-33904.0,False,True,,False,False,,False,False,False,True,False,False,False
Delaware,11728,5664.0,3677.5,6839.0,,4198.5,6003.0,,3691.0,6719.5,4058.5,3898.3,3397.4,3361.8,5347.0,-6064.0,-8050.5,-4889.0,,-7529.5,-5725.0,,-8037.0,-5008.5,-7669.5,-7829.7,-8330.6,-8366.2,-6381.0,False,True,,False,True,,False,True,False,False,False,False,False
District of Columbia,4974,2496.0,2586.8,1613.0,,2065.9,186.0,,1784.0,2330.4,1906.0,1899.5,1367.3,1410.6,3588.0,-2478.0,-2387.2,-3361.0,,-2908.1,-4788.0,,-3190.0,-2643.6,-3068.0,-3074.5,-3606.7,-3563.4,-1386.0,True,False,,False,False,,False,False,False,False,False,False,True
Florida,232816,141360.0,169241.4,244539.0,,100687.6,14618.0,,60934.0,109388.8,83779.3,119134.3,71801.3,75617.1,92398.0,-91456.0,-63574.6,11723.0,,-132128.4,-218198.0,,-171882.0,-123427.2,-149036.7,-113681.7,-161014.7,-157198.9,-140418.0,True,True,,False,False,,False,False,False,False,False,False,False
