,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UVA-Ensemble
01021,225,189.0,,194.3,,185.0,180.0,,,,,121.4,,177.0,,170.5,,220.5,,184.0,203.7,,134.0,,,,170.0,,,132.0,,207.6,-36.0,,-30.7,,-40.0,-45.0,,,,,-103.6,,-48.0,,-54.5,,-4.5,,-41.0,-21.3,,-91.0,,,,-55.0,,,-93.0,,-17.4,,True,,False,False,,,,,False,,False,,False,,True,,False,True,,False,,,,False,,,False,,True
01023,15,36.0,,34.1,,30.0,1.0,,,,,22.8,,45.0,,14.4,,,,14.0,31.1,,39.0,,,,,,,49.0,,28.3,21.0,,19.1,,15.0,-14.0,,,,,7.8,,30.0,,-0.6,,,,-1.0,16.1,,24.0,,,,,,,34.0,,13.3,,True,,True,True,,,,,True,,False,,True,,,,True,True,,False,,,,,,,False,,True
01025,142,123.0,,122.8,,116.0,15.0,,,,,72.9,,96.0,,94.3,,,,165.5,121.3,,67.0,,,,114.2,,,9.0,,178.4,-19.0,,-19.2,,-26.0,-127.0,,,,,-69.1,,-46.0,,-47.7,,,,23.5,-20.7,,-75.0,,,,-27.8,,,-133.0,,36.4,,False,,False,False,,,,,False,,False,,False,,,,False,False,,False,,,,False,,,False,,False
01027,105,120.0,,108.7,,106.0,105.0,,,,,57.2,,53.0,,103.9,,,,80.0,125.9,,120.0,,,,,,,127.0,,123.6,15.0,,3.7,,1.0,0.0,,,,,-47.8,,-52.0,,-1.1,,,,-25.0,20.9,,15.0,,,,,,,22.0,,18.6,,True,,True,True,,,,,False,,False,,True,,,,False,False,,False,,,,,,,False,,False
01029,146,117.0,,109.6,,98.0,53.0,,,,,53.5,,70.0,,111.5,,,,30.0,98.1,,80.0,,,,,,,81.0,,104.1,-29.0,,-36.4,,-48.0,-93.0,,,,,-92.5,,-76.0,,-34.5,,,,-116.0,-47.9,,-66.0,,,,,,,-65.0,,-41.9,,False,,False,False,,,,,False,,False,,False,,,,False,False,,False,,,,,,,False,,False
01031,470,315.0,,346.2,,311.0,235.0,,,,,159.7,,158.0,,230.0,,338.0,,312.0,384.9,,309.0,,,,261.8,,,223.0,,322.2,-155.0,,-123.8,,-159.0,-235.0,,,,,-310.3,,-312.0,,-240.0,,-132.0,,-158.0,-85.1,,-161.0,,,,-208.2,,,-247.0,,-147.8,,True,,False,False,,,,,False,,False,,False,,True,,False,True,,False,,,,False,,,False,,True
01033,660,897.0,,914.7,,811.0,1245.0,,,,,209.5,,364.0,,1097.4,,778.0,,722.5,464.9,,622.0,,,,588.0,,,657.0,,,237.0,,254.7,,151.0,585.0,,,,,-450.5,,-296.0,,437.4,,118.0,,62.5,-195.1,,-38.0,,,,-72.0,,,-3.0,,,,False,,True,False,,,,,False,,False,,False,,True,,True,True,,True,,,,True,,,True,,
01035,79,81.0,,83.8,,69.0,20.0,,,,,40.1,,33.0,,60.5,,,,69.0,74.9,,127.0,,,,,,,56.0,,112.7,2.0,,4.8,,-10.0,-59.0,,,,,-38.9,,-46.0,,-18.5,,,,-10.0,-4.1,,48.0,,,,,,,-23.0,,33.7,,False,,False,False,,,,,False,,False,,False,,,,False,False,,False,,,,,,,False,,False
01037,106,39.0,,40.6,,42.0,42.0,,,,,17.6,,29.0,,45.5,,,,55.0,45.7,,37.0,,,,,,,29.0,,50.6,-67.0,,-65.4,,-64.0,-64.0,,,,,-88.4,,-77.0,,-60.5,,,,-51.0,-60.3,,-69.0,,,,,,,-77.0,,-55.4,,True,,True,True,,,,,False,,False,,True,,,,True,True,,False,,,,,,,False,,True
01039,249,165.0,,123.1,,149.0,275.0,,,,,128.0,,140.0,,364.7,,334.5,,120.0,138.4,,286.0,,,,119.9,,,223.0,,299.7,-84.0,,-125.9,,-100.0,26.0,,,,,-121.0,,-109.0,,115.7,,85.5,,-129.0,-110.6,,37.0,,,,-129.1,,,-26.0,,50.7,,False,,False,True,,,,,False,,False,,False,,False,,False,False,,True,,,,False,,,True,,True
01041,68,63.0,,67.2,,60.0,18.0,,,,,30.9,,38.0,,59.0,,,,59.0,67.7,,75.0,,,,,,,60.0,,59.0,-5.0,,-0.8,,-8.0,-50.0,,,,,-37.1,,-30.0,,-9.0,,,,-9.0,-0.3,,7.0,,,,,,,-8.0,,-9.0,,True,,False,False,,,,,False,,False,,False,,,,False,True,,False,,,,,,,False,,False
01043,1204,1077.0,,1078.6,,1085.0,1028.0,,,,,365.3,,513.0,,1311.7,,1308.5,,1505.0,1351.9,,1758.0,,,,639.3,,,578.0,,1515.3,-127.0,,-125.4,,-119.0,-176.0,,,,,-838.7,,-691.0,,107.7,,104.5,,301.0,147.9,,554.0,,,,-564.7,,,-626.0,,311.3,,True,,True,False,,,,,False,,False,,True,,True,,False,False,,False,,,,False,,,False,,False
01045,285,363.0,,325.9,,368.0,650.0,,,,,176.5,,162.0,,421.0,,408.0,,582.0,366.1,,417.0,,,,229.3,,,291.0,,336.9,78.0,,40.9,,83.0,365.0,,,,,-108.5,,-123.0,,136.0,,123.0,,297.0,81.1,,132.0,,,,-55.7,,,6.0,,51.9,,True,,False,False,,,,,False,,False,,False,,False,,False,False,,False,,,,True,,,True,,True
01047,278,225.0,,244.6,,176.0,58.0,,,,,109.9,,120.0,,168.9,,143.0,,378.0,221.9,,339.0,,,,158.5,,,355.0,,296.8,-53.0,,-33.4,,-102.0,-220.0,,,,,-168.1,,-158.0,,-109.1,,-135.0,,100.0,-56.1,,61.0,,,,-119.5,,,77.0,,18.8,,True,,False,False,,,,,False,,False,,False,,False,,False,False,,False,,,,False,,,False,,True
01049,966,597.0,,590.2,,598.0,683.0,,,,,330.5,,427.0,,677.2,,797.0,,524.0,741.8,,510.0,,,,327.8,,,372.0,,778.2,-369.0,,-375.8,,-368.0,-283.0,,,,,-635.5,,-539.0,,-288.8,,-169.0,,-442.0,-224.2,,-456.0,,,,-638.2,,,-594.0,,-187.8,,False,,True,True,,,,,False,,False,,True,,True,,False,True,,False,,,,False,,,False,,True
