,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UVA-Ensemble
12041,136,39.0,,43.3,,40.0,12.0,,,,,29.7,,58.0,,52.2,,,,36.0,39.9,,38.0,,,,,,,17.0,,64.7,-97.0,,-92.7,,-96.0,-124.0,,,,,-106.3,,-78.0,,-83.8,,,,-100.0,-96.1,,-98.0,,,,,,,-119.0,,-71.3,,True,,True,False,,,,,False,,True,,True,,,,False,True,,False,,,,,,,False,,True
12043,40,48.0,,43.2,,46.0,21.0,,,,,27.8,,46.0,,70.0,,,,65.0,38.9,,78.0,,,,,,,50.0,,43.6,8.0,,3.2,,6.0,-19.0,,,,,-12.2,,6.0,,30.0,,,,25.0,-1.1,,38.0,,,,,,,10.0,,3.6,,True,,True,False,,,,,False,,True,,False,,,,False,True,,False,,,,,,,False,,True
12045,79,114.0,,104.5,,106.0,,,,,,43.2,,34.0,,116.8,,,,115.5,91.2,,140.0,,,,,,,0.0,,83.2,35.0,,25.5,,27.0,,,,,,-35.8,,-45.0,,37.8,,,,36.5,12.2,,61.0,,,,,,,-79.0,,4.2,,True,,True,,,,,,False,,False,,False,,,,False,True,,False,,,,,,,False,,True
12047,54,48.0,,46.2,,46.0,18.0,,,,,34.0,,48.0,,38.1,,,,51.0,46.3,,36.0,,,,,,,0.0,,37.4,-6.0,,-7.8,,-8.0,-36.0,,,,,-20.0,,-6.0,,-15.9,,,,-3.0,-7.7,,-18.0,,,,,,,-54.0,,-16.6,,False,,False,False,,,,,False,,False,,False,,,,True,False,,False,,,,,,,False,,False
12049,115,84.0,,81.2,,86.0,78.0,,,,,71.8,,125.0,,107.3,,,,68.0,117.4,,49.0,,,,47.2,,,55.0,,177.0,-31.0,,-33.8,,-29.0,-37.0,,,,,-43.2,,10.0,,-7.7,,,,-47.0,2.4,,-66.0,,,,-67.8,,,-60.0,,62.0,,False,,True,False,,,,,False,,True,,True,,,,False,True,,False,,,,False,,,False,,False
12051,197,150.0,,149.2,,149.0,192.0,,,,,95.2,,200.0,,194.2,,143.0,,124.0,160.7,,195.0,,,,81.8,,,176.0,,161.6,-47.0,,-47.8,,-48.0,-5.0,,,,,-101.8,,3.0,,-2.8,,-54.0,,-73.0,-36.3,,-2.0,,,,-115.2,,,-21.0,,-35.4,,False,,False,True,,,,,False,,True,,True,,False,,False,True,,True,,,,False,,,True,,True
12053,957,600.0,,601.1,,594.0,589.0,,,,,404.6,,580.0,,590.6,,613.0,,587.0,799.1,,874.0,,,,411.6,546.0,,564.0,,477.8,-357.0,,-355.9,,-363.0,-368.0,,,,,-552.4,,-377.0,,-366.4,,-344.0,,-370.0,-157.9,,-83.0,,,,-545.4,-411.0,,-393.0,,-479.2,,True,,False,False,,,,,False,,False,,False,,True,,False,True,,True,,,,False,False,,False,,False
12055,800,702.0,,718.7,,702.0,1269.0,,,,,305.2,,359.0,,592.4,,568.5,,1075.0,874.2,,1019.0,,,,510.5,,,537.0,,1240.5,-98.0,,-81.3,,-98.0,469.0,,,,,-494.8,,-441.0,,-207.6,,-231.5,,275.0,74.2,,219.0,,,,-289.5,,,-263.0,,440.5,,True,,False,False,,,,,False,,False,,False,,False,,False,True,,False,,,,False,,,False,,False
12057,7348,6279.0,,6342.0,8133.5,6388.0,6757.0,,,,,8617.8,,4638.0,,5389.6,,6333.5,,7610.5,8527.7,,8866.0,,,,4201.7,7053.0,,6081.0,,9247.0,-1069.0,,-1006.0,785.5,-960.0,-591.0,,,,,1269.8,,-2710.0,,-1958.4,,-1014.5,,262.5,1179.7,,1518.0,,,,-3146.3,-295.0,,-1267.0,,1899.0,,True,True,True,True,,,,,False,,False,,False,,True,,True,False,,False,,,,False,True,,False,,False
12059,175,138.0,,115.4,,138.0,25.0,,,,,61.1,,102.0,,154.2,,,,161.0,167.3,,193.0,,,,,,,89.0,,132.7,-37.0,,-59.6,,-37.0,-150.0,,,,,-113.9,,-73.0,,-20.8,,,,-14.0,-7.7,,18.0,,,,,,,-86.0,,-42.3,,False,,False,False,,,,,False,,False,,True,,,,True,True,,True,,,,,,,False,,False
12061,840,696.0,,702.9,,702.0,794.0,,,,,480.1,,504.0,,626.5,,654.0,,1039.0,847.1,,1053.0,,,,381.3,864.0,,613.0,,1046.1,-144.0,,-137.1,,-138.0,-46.0,,,,,-359.9,,-336.0,,-213.5,,-186.0,,199.0,7.1,,213.0,,,,-458.7,24.0,,-227.0,,206.1,,True,,True,True,,,,,False,,False,,False,,False,,False,True,,False,,,,False,True,,False,,False
12063,555,498.0,,473.0,,417.0,253.0,,,,,218.8,,244.0,,386.7,,306.5,,690.0,549.1,,656.0,,,,412.0,,,0.0,,396.3,-57.0,,-82.0,,-138.0,-302.0,,,,,-336.2,,-311.0,,-168.3,,-248.5,,135.0,-5.9,,101.0,,,,-143.0,,,-555.0,,-158.7,,False,,False,False,,,,,False,,False,,False,,False,,False,True,,False,,,,False,,,False,,False
12065,68,66.0,,62.3,,66.0,,,,,,37.4,,31.0,,65.9,,,,69.5,72.5,,56.0,,,,,,,41.0,,79.1,-2.0,,-5.7,,-2.0,,,,,,-30.6,,-37.0,,-2.1,,,,1.5,4.5,,-12.0,,,,,,,-27.0,,11.1,,False,,False,,,,,,False,,False,,False,,,,True,False,,False,,,,,,,False,,False
12067,38,33.0,,35.7,,32.0,,,,,,40.6,,29.0,,23.3,,,,12.0,28.8,,29.0,,,,42.0,,,31.0,,36.8,-5.0,,-2.3,,-6.0,,,,,,2.6,,-9.0,,-14.7,,,,-26.0,-9.2,,-9.0,,,,4.0,,,-7.0,,-1.2,,True,,False,,,,,,True,,False,,False,,,,False,False,,False,,,,True,,,False,,True
12069,1399,1356.0,,1367.1,,1357.0,2620.0,,,,,718.5,,1185.0,,1320.4,,1268.0,,1562.0,1595.7,,1933.0,,,,944.4,1481.0,,1042.0,,2084.0,-43.0,,-31.9,,-42.0,1221.0,,,,,-680.5,,-214.0,,-78.6,,-131.0,,163.0,196.7,,534.0,,,,-454.6,82.0,,-357.0,,685.0,,True,,True,False,,,,,False,,False,,False,,False,,False,False,,False,,,,False,False,,False,,False
12071,4958,3198.0,,3181.6,4060.0,3485.0,3798.0,,,,,4760.6,,2916.0,,2796.9,,3141.5,,4573.0,4492.2,,4690.0,,,,1805.7,3515.0,,2531.0,,4405.3,-1760.0,,-1776.4,-898.0,-1473.0,-1160.0,,,,,-197.4,,-2042.0,,-2161.1,,-1816.5,,-385.0,-465.8,,-268.0,,,,-3152.3,-1443.0,,-2427.0,,-552.7,,False,True,True,True,,,,,True,,False,,False,,False,,True,True,,True,,,,False,True,,False,,True
12073,2021,1410.0,,1433.2,1887.0,1381.0,1894.0,,,,,1128.3,,869.0,,1234.8,,1243.5,,1409.0,2132.5,,1762.0,,,,1318.8,1262.0,,1135.0,,1293.1,-611.0,,-587.8,-134.0,-640.0,-127.0,,,,,-892.7,,-1152.0,,-786.2,,-777.5,,-612.0,111.5,,-259.0,,,,-702.2,-759.0,,-886.0,,-727.9,,True,True,False,True,,,,,False,,False,,False,,False,,False,True,,True,,,,False,False,,False,,False
12075,200,129.0,,130.0,,130.0,146.0,,,,,62.8,,116.0,,132.4,,105.0,,207.0,201.2,,203.0,,,,83.2,,,150.0,,99.5,-71.0,,-70.0,,-70.0,-54.0,,,,,-137.2,,-84.0,,-67.6,,-95.0,,7.0,1.2,,3.0,,,,-116.8,,,-50.0,,-100.5,,True,,True,True,,,,,False,,False,,True,,False,,True,True,,True,,,,False,,,True,,False
12077,41,30.0,,30.6,,26.0,,,,,,25.3,,26.0,,20.0,,,,24.0,23.1,,28.0,,,,,,,0.0,,26.5,-11.0,,-10.4,,-15.0,,,,,,-15.7,,-15.0,,-21.0,,,,-17.0,-17.9,,-13.0,,,,,,,-41.0,,-14.5,,True,,False,,,,,,False,,False,,False,,,,False,False,,False,,,,,,,False,,False
12079,152,69.0,,70.1,,58.0,0.0,,,,,53.3,,54.0,,49.5,,,,61.0,108.5,,103.0,,,,41.3,,,9.0,,50.5,-83.0,,-81.9,,-94.0,-152.0,,,,,-98.7,,-98.0,,-102.5,,,,-91.0,-43.5,,-49.0,,,,-110.7,,,-143.0,,-101.5,,True,,False,False,,,,,False,,False,,False,,,,False,True,,True,,,,False,,,False,,False
12081,2581,1578.0,,1585.3,2462.8,1628.0,1336.0,,,,,1894.0,,1205.0,,1717.5,,1725.0,,1954.0,1834.4,,1979.0,,,,815.3,1642.0,,1363.0,,1584.1,-1003.0,,-995.7,-118.2,-953.0,-1245.0,,,,,-687.0,,-1376.0,,-863.5,,-856.0,,-627.0,-746.6,,-602.0,,,,-1765.7,-939.0,,-1218.0,,-996.9,,True,True,True,False,,,,,True,,False,,True,,True,,True,True,,True,,,,False,True,,False,,True
12083,1657,1062.0,,1069.8,1328.6,1090.0,1853.0,,,,,747.8,,1136.0,,861.4,,968.5,,1099.5,1102.6,,1508.0,,,,870.9,1248.0,,1052.0,,946.8,-595.0,,-587.2,-328.4,-567.0,196.0,,,,,-909.2,,-521.0,,-795.6,,-688.5,,-557.5,-554.4,,-149.0,,,,-786.1,-409.0,,-605.0,,-710.2,,True,True,True,True,,,,,False,,True,,False,,False,,True,True,,True,,,,False,True,,False,,False
12085,666,423.0,,427.7,,442.0,435.0,,,,,409.7,,650.0,,381.2,,484.5,,505.0,510.3,,460.0,,,,435.4,330.0,,417.0,,346.0,-243.0,,-238.3,,-224.0,-231.0,,,,,-256.3,,-16.0,,-284.8,,-181.5,,-161.0,-155.7,,-206.0,,,,-230.6,-336.0,,-249.0,,-320.0,,True,,True,True,,,,,False,,True,,False,,True,,True,True,,True,,,,True,False,,False,,False
12086,32986,20265.0,,20713.7,27801.1,20714.0,38837.0,,,,,8109.4,,15175.0,,15829.5,,19455.5,,27797.5,35395.3,,29608.0,,,,12861.9,35743.0,,0.0,,0.0,-12721.0,,-12272.3,-5184.9,-12272.0,5851.0,,,,,-24876.6,,-17811.0,,-17156.5,,-13530.5,,-5188.5,2409.3,,-3378.0,,,,-20124.1,2757.0,,-32986.0,,-32986.0,,True,True,True,True,,,,,False,,False,,False,,False,,True,True,,True,,,,False,True,,False,,False
12087,782,705.0,,703.4,,734.0,1112.0,,,,,211.2,,336.0,,795.7,,,,875.5,761.6,,1004.0,,,,471.5,,,112.0,,1115.7,-77.0,,-78.6,,-48.0,330.0,,,,,-570.8,,-446.0,,13.7,,,,93.5,-20.4,,222.0,,,,-310.5,,,-670.0,,333.7,,False,,True,False,,,,,False,,False,,True,,,,False,True,,False,,,,False,,,False,,False
12089,539,279.0,,286.8,,270.0,270.0,,,,,162.2,,212.0,,241.5,,264.5,,271.0,361.0,,306.0,,,,220.2,,,133.0,,245.6,-260.0,,-252.2,,-269.0,-269.0,,,,,-376.8,,-327.0,,-297.5,,-274.5,,-268.0,-178.0,,-233.0,,,,-318.8,,,-406.0,,-293.4,,True,,False,False,,,,,False,,False,,False,,False,,False,True,,True,,,,False,,,False,,False
12091,1825,1407.0,,1357.2,,1442.0,2312.0,,,,,1336.7,,713.0,,1398.3,,1471.5,,1790.0,1894.2,,1894.0,,,,931.5,2345.0,,1029.0,,1610.3,-418.0,,-467.8,,-383.0,487.0,,,,,-488.3,,-1112.0,,-426.7,,-353.5,,-35.0,69.2,,69.0,,,,-893.5,520.0,,-796.0,,-214.7,,False,,True,False,,,,,False,,False,,False,,True,,True,True,,True,,,,False,False,,False,,True
12093,231,156.0,,160.9,,156.0,242.0,,,,,113.2,,187.0,,144.5,,144.0,,150.0,139.9,,165.0,,,,154.1,,,153.0,,128.4,-75.0,,-70.1,,-75.0,11.0,,,,,-117.8,,-44.0,,-86.5,,-87.0,,-81.0,-91.1,,-66.0,,,,-76.9,,,-78.0,,-102.6,,True,,False,True,,,,,False,,True,,False,,False,,False,False,,True,,,,False,,,False,,False
12095,8725,6486.0,,6642.8,8349.4,6575.0,9829.0,,,,,8617.0,,4551.0,,5727.8,,6317.5,,7167.0,6481.0,,8805.0,,,,4347.1,7572.0,,6045.0,,7503.5,-2239.0,,-2082.2,-375.6,-2150.0,1104.0,,,,,-108.0,,-4174.0,,-2997.2,,-2407.5,,-1558.0,-2244.0,,80.0,,,,-4377.9,-1153.0,,-2680.0,,-1221.5,,True,True,True,True,,,,,True,,False,,False,,False,,True,False,,True,,,,False,True,,False,,True
12097,3112,1944.0,,1919.0,2710.0,1950.0,2820.0,,,,,1245.5,,1242.0,,1674.4,,1743.5,,2556.0,2982.2,,2726.0,,,,1230.8,1992.0,,1877.0,,2287.5,-1168.0,,-1193.0,-402.0,-1162.0,-292.0,,,,,-1866.5,,-1870.0,,-1437.6,,-1368.5,,-556.0,-129.8,,-386.0,,,,-1881.2,-1120.0,,-1235.0,,-824.5,,False,True,True,True,,,,,False,,False,,False,,False,,True,True,,True,,,,False,True,,False,,True
12099,9668,7665.0,,7705.4,10681.3,7686.0,17394.0,,,,,9363.0,,6139.0,,7008.0,,8187.0,,11150.5,10853.8,,12116.0,,,,4673.8,7224.0,,8819.0,,9967.8,-2003.0,,-1962.6,1013.3,-1982.0,7726.0,,,,,-305.0,,-3529.0,,-2660.0,,-1481.0,,1482.5,1185.8,,2448.0,,,,-4994.2,-2444.0,,-849.0,,299.8,,True,True,True,False,,,,,True,,False,,False,,True,,True,True,,False,,,,False,False,,True,,True
12101,2948,2097.0,,2236.8,2693.6,2237.0,3461.0,,,,,1191.1,,1749.0,,1849.1,,1791.0,,2718.0,2872.1,,3100.0,,,,1242.7,3214.0,,2650.0,,2503.3,-851.0,,-711.2,-254.4,-711.0,513.0,,,,,-1756.9,,-1199.0,,-1098.9,,-1157.0,,-230.0,-75.9,,152.0,,,,-1705.3,266.0,,-298.0,,-444.7,,True,True,True,True,,,,,False,,False,,False,,False,,True,True,,True,,,,False,True,,True,,True
12103,5258,4158.0,,4174.6,4788.9,4185.0,7226.0,,,,,6595.9,,2763.0,,3382.6,,3814.5,,5629.0,6212.6,,6048.0,,,,2505.3,5678.0,,4026.0,,4593.9,-1100.0,,-1083.4,-469.1,-1073.0,1968.0,,,,,1337.9,,-2495.0,,-1875.4,,-1443.5,,371.0,954.6,,790.0,,,,-2752.7,420.0,,-1232.0,,-664.1,,True,True,True,False,,,,,False,,False,,False,,False,,True,True,,True,,,,False,True,,False,,True
12105,3334,2406.0,,2450.4,3332.6,2437.0,2872.0,,,,,4442.1,,2795.0,,2184.9,,2296.5,,2667.0,3193.5,,2421.0,,,,1701.6,2227.0,,2020.0,,2199.6,-928.0,,-883.6,-1.4,-897.0,-462.0,,,,,1108.1,,-539.0,,-1149.1,,-1037.5,,-667.0,-140.5,,-913.0,,,,-1632.4,-1107.0,,-1314.0,,-1134.4,,True,True,True,True,,,,,False,,True,,False,,False,,True,True,,True,,,,False,False,,False,,False
12107,261,198.0,,189.7,,210.0,292.0,,,,,130.1,,250.0,,208.4,,222.5,,210.0,235.1,,172.0,,,,121.6,,,158.0,,208.7,-63.0,,-71.3,,-51.0,31.0,,,,,-130.9,,-11.0,,-52.6,,-38.5,,-51.0,-25.9,,-89.0,,,,-139.4,,,-103.0,,-52.3,,False,,True,True,,,,,False,,True,,True,,True,,True,True,,False,,,,False,,,False,,True
12109,1657,1179.0,,1166.5,,1184.0,1113.0,,,,,895.1,,605.0,,1281.8,,1180.5,,1297.0,1367.2,,1590.0,,,,705.5,1183.0,,836.0,,1189.0,-478.0,,-490.5,,-473.0,-544.0,,,,,-761.9,,-1052.0,,-375.2,,-476.5,,-360.0,-289.8,,-67.0,,,,-951.5,-474.0,,-821.0,,-468.0,,False,,True,False,,,,,False,,False,,True,,True,,True,True,,True,,,,False,True,,False,,True
12111,1211,1086.0,,1010.2,,1027.0,1317.0,,,,,715.8,,1171.0,,933.0,,995.0,,1193.0,1167.6,,1479.0,,,,918.9,863.0,,1086.0,,1039.7,-125.0,,-200.8,,-184.0,106.0,,,,,-495.2,,-40.0,,-278.0,,-216.0,,-18.0,-43.4,,268.0,,,,-292.1,-348.0,,-125.0,,-171.3,,False,,False,True,,,,,False,,True,,False,,False,,True,True,,False,,,,False,False,,False,,False
12113,1204,615.0,,664.6,,654.0,1047.0,,,,,550.8,,726.0,,550.3,,598.0,,721.0,751.5,,880.0,,,,556.4,648.0,,639.0,,545.5,-589.0,,-539.4,,-550.0,-157.0,,,,,-653.2,,-478.0,,-653.7,,-606.0,,-483.0,-452.5,,-324.0,,,,-647.6,-556.0,,-565.0,,-658.5,,True,,True,True,,,,,False,,True,,False,,False,,True,True,,True,,,,False,True,,True,,False
12115,3141,1701.0,,1646.0,1986.9,1682.0,2407.0,,,,,835.4,,1218.0,,1662.2,,1658.5,,1767.5,2221.2,,2369.0,,,,1296.1,1627.0,,1064.0,,1828.4,-1440.0,,-1495.0,-1154.1,-1459.0,-734.0,,,,,-2305.6,,-1923.0,,-1478.8,,-1482.5,,-1373.5,-919.8,,-772.0,,,,-1844.9,-1514.0,,-2077.0,,-1312.6,,False,True,False,True,,,,,False,,False,,False,,False,,True,True,,True,,,,False,False,,False,,True
12117,1880,1347.0,,1306.7,1830.3,1345.0,1163.0,,,,,776.6,,1298.0,,1319.9,,1360.0,,1799.0,1757.0,,2135.0,,,,761.2,1972.0,,1474.0,,1924.2,-533.0,,-573.3,-49.7,-535.0,-717.0,,,,,-1103.4,,-582.0,,-560.1,,-520.0,,-81.0,-123.0,,255.0,,,,-1118.8,92.0,,-406.0,,44.2,,False,True,False,False,,,,,False,,False,,False,,True,,True,True,,True,,,,False,True,,True,,True
12119,358,375.0,,395.7,,363.0,775.0,,,,,288.8,,414.0,,357.5,,315.5,,347.0,439.6,,460.0,,,,317.6,304.0,,473.0,,355.0,17.0,,37.7,,5.0,417.0,,,,,-69.2,,56.0,,-0.5,,-42.5,,-11.0,81.6,,102.0,,,,-40.4,-54.0,,115.0,,-3.0,,False,,True,False,,,,,False,,False,,True,,False,,True,False,,False,,,,False,False,,False,,True
12121,206,141.0,,162.8,,142.0,98.0,,,,,132.1,,174.0,,151.3,,186.5,,115.0,147.1,,93.0,,,,87.8,,,0.0,,150.1,-65.0,,-43.2,,-64.0,-108.0,,,,,-73.9,,-32.0,,-54.7,,-19.5,,-91.0,-58.9,,-113.0,,,,-118.2,,,-206.0,,-55.9,,True,,True,False,,,,,False,,True,,True,,True,,False,True,,False,,,,False,,,False,,True
12123,107,126.0,,119.8,,112.0,0.0,,,,,80.5,,75.0,,108.0,,,,163.0,112.5,,165.0,,,,101.8,,,0.0,,129.3,19.0,,12.8,,5.0,-107.0,,,,,-26.5,,-32.0,,1.0,,,,56.0,5.5,,58.0,,,,-5.2,,,-107.0,,22.3,,True,,True,False,,,,,False,,False,,True,,,,False,True,,False,,,,True,,,False,,False
12125,50,108.0,,123.9,,92.0,0.0,,,,,61.7,,74.0,,106.7,,,,42.0,72.8,,69.0,,,,119.7,,,0.0,,110.4,58.0,,73.9,,42.0,-50.0,,,,,11.7,,24.0,,56.7,,,,-8.0,22.8,,19.0,,,,69.7,,,-50.0,,60.4,,False,,True,True,,,,,True,,True,,True,,,,True,True,,True,,,,False,,,True,,False
12127,2698,1890.0,,1878.8,2359.0,1910.0,2405.0,,,,,3089.6,,1682.0,,1739.1,,1872.0,,2473.0,2393.5,,2557.0,,,,1166.2,1716.0,,0.0,,1985.4,-808.0,,-819.2,-339.0,-788.0,-293.0,,,,,391.6,,-1016.0,,-958.9,,-826.0,,-225.0,-304.5,,-141.0,,,,-1531.8,-982.0,,-2698.0,,-712.6,,False,True,True,True,,,,,True,,False,,False,,False,,True,True,,True,,,,False,False,,False,,True
12129,229,141.0,,148.1,,142.0,155.0,,,,,80.9,,76.0,,112.3,,145.0,,138.0,182.1,,123.0,,,,107.6,,,115.0,,158.3,-88.0,,-80.9,,-87.0,-74.0,,,,,-148.1,,-153.0,,-116.7,,-84.0,,-91.0,-46.9,,-106.0,,,,-121.4,,,-114.0,,-70.7,,True,,True,True,,,,,False,,False,,False,,True,,False,True,,False,,,,False,,,False,,True
12131,692,1386.0,,1416.8,,1242.0,2526.0,,,,,741.4,,217.0,,622.4,,842.0,,1656.0,1243.1,,1878.0,,,,955.4,,,80.0,,3648.4,694.0,,724.8,,550.0,1834.0,,,,,49.4,,-475.0,,-69.6,,150.0,,964.0,551.1,,1186.0,,,,263.4,,,-612.0,,2956.4,,False,,True,False,,,,,True,,True,,True,,True,,False,True,,False,,,,True,,,True,,False
12133,217,144.0,,141.5,,139.0,365.0,,,,,81.4,,115.0,,127.4,,,,123.0,154.7,,169.0,,,,141.0,,,94.0,,146.7,-73.0,,-75.5,,-78.0,148.0,,,,,-135.6,,-102.0,,-89.6,,,,-94.0,-62.3,,-48.0,,,,-76.0,,,-123.0,,-70.3,,False,,False,False,,,,,False,,False,,False,,,,False,True,,True,,,,False,,,False,,True
13001,58,33.0,,30.4,,33.0,25.0,,,,,48.1,,61.0,,41.2,,,,24.0,56.8,,26.0,,,,25.1,,,0.0,,64.8,-25.0,,-27.6,,-25.0,-33.0,,,,,-9.9,,3.0,,-16.8,,,,-34.0,-1.2,,-32.0,,,,-32.9,,,-58.0,,6.8,,False,,False,False,,,,,True,,True,,True,,,,False,True,,False,,,,False,,,False,,True
13003,49,15.0,,10.3,,15.0,0.0,,,,,16.8,,20.0,,17.3,,,,5.0,16.8,,16.0,,,,,,,3.0,,28.7,-34.0,,-38.7,,-34.0,-49.0,,,,,-32.2,,-29.0,,-31.7,,,,-44.0,-32.2,,-33.0,,,,,,,-46.0,,-20.3,,False,,False,False,,,,,True,,True,,True,,,,False,True,,True,,,,,,,False,,True
13005,31,15.0,,13.6,,15.0,0.0,,,,,26.8,,35.0,,19.4,,,,7.0,18.6,,14.0,,,,,,,9.0,,22.7,-16.0,,-17.4,,-16.0,-31.0,,,,,-4.2,,4.0,,-11.6,,,,-24.0,-12.4,,-17.0,,,,,,,-22.0,,-8.3,,False,,False,False,,,,,True,,True,,True,,,,False,True,,False,,,,,,,False,,True
13007,14,15.0,,15.4,,15.0,0.0,,,,,4.0,,17.0,,16.6,,,,10.0,12.9,,10.0,,,,,,,15.0,,10.8,1.0,,1.4,,1.0,-14.0,,,,,-10.0,,3.0,,2.6,,,,-4.0,-1.1,,-4.0,,,,,,,1.0,,-3.2,,False,,False,False,,,,,False,,False,,False,,,,False,False,,False,,,,,,,False,,False
13009,201,120.0,,105.0,,117.0,112.0,,,,,122.7,,208.0,,95.9,,127.0,,76.0,117.3,,124.0,,,,119.4,,,94.0,,134.0,-81.0,,-96.0,,-84.0,-89.0,,,,,-78.3,,7.0,,-105.1,,-74.0,,-125.0,-83.7,,-77.0,,,,-81.6,,,-107.0,,-67.0,,False,,False,False,,,,,True,,True,,False,,True,,False,False,,True,,,,False,,,False,,True
13011,173,63.0,,62.5,,63.0,48.0,,,,,34.5,,119.0,,98.6,,,,66.0,60.4,,93.0,,,,,,,126.0,,56.9,-110.0,,-110.5,,-110.0,-125.0,,,,,-138.5,,-54.0,,-74.4,,,,-107.0,-112.6,,-80.0,,,,,,,-47.0,,-116.1,,False,,False,False,,,,,False,,True,,True,,,,True,False,,True,,,,,,,True,,False
13013,517,261.0,,265.7,,273.0,252.0,,,,,168.9,,384.0,,278.7,,362.0,,283.0,297.9,,271.0,,,,225.8,,,225.0,,267.9,-256.0,,-251.3,,-244.0,-265.0,,,,,-348.1,,-133.0,,-238.3,,-155.0,,-234.0,-219.1,,-246.0,,,,-291.2,,,-292.0,,-249.1,,True,,True,False,,,,,False,,True,,True,,True,,True,True,,True,,,,False,,,False,,True
13015,907,390.0,,348.8,,390.0,255.0,,,,,287.3,,601.0,,399.8,,721.0,,310.0,442.0,,384.0,,,,297.9,,,309.0,,480.7,-517.0,,-558.2,,-517.0,-652.0,,,,,-619.7,,-306.0,,-507.2,,-186.0,,-597.0,-465.0,,-523.0,,,,-609.1,,,-598.0,,-426.3,,False,,False,False,,,,,False,,True,,True,,True,,False,True,,False,,,,False,,,False,,True
13017,54,45.0,,43.7,,44.0,6.0,,,,,44.5,,51.0,,49.8,,,,31.0,50.8,,38.0,,,,,,,36.0,,49.2,-9.0,,-10.3,,-10.0,-48.0,,,,,-9.5,,-3.0,,-4.2,,,,-23.0,-3.2,,-16.0,,,,,,,-18.0,,-4.8,,False,,False,False,,,,,False,,True,,True,,,,False,True,,False,,,,,,,False,,True
13019,119,12.0,,15.9,,15.0,0.0,,,,,21.4,,44.0,,39.0,,,,5.0,21.6,,24.0,,,,,,,22.0,,32.0,-107.0,,-103.1,,-104.0,-119.0,,,,,-97.6,,-75.0,,-80.0,,,,-114.0,-97.4,,-95.0,,,,,,,-97.0,,-87.0,,True,,True,False,,,,,True,,True,,True,,,,False,True,,True,,,,,,,True,,True
13021,593,369.0,,367.5,,369.0,550.0,,,,,575.4,,742.0,,355.2,,437.5,,291.0,381.2,,444.0,,,,258.1,246.0,,454.0,,392.7,-224.0,,-225.5,,-224.0,-43.0,,,,,-17.6,,149.0,,-237.8,,-155.5,,-302.0,-211.8,,-149.0,,,,-334.9,-347.0,,-139.0,,-200.3,,False,,False,True,,,,,True,,True,,False,,True,,False,True,,True,,,,False,False,,True,,True
