,predicted_cases,actual_cases,error,perc_error
JCB-PRM,2842287.1,5643602,-2801314.9,-49.6%
Columbia_UNC-SurvCon,2737613.1,5643602,-2905988.9,-51.5%
Covid19Sim-Simulator,2480795.9,5643602,-3162806.1,-56.0%
USACE-ERDC_SEIR,2402589.4,5643602,-3241012.6,-57.4%
COVIDhub-baseline,2349137.0,5643602,-3294465.0,-58.4%
IBF-TimeSeries,2107781.0,5643602,-3535821.0,-62.7%
USC-SI_kJalpha,2044560.0,5643602,-3599042.0,-63.8%
JHUAPL-Bucky,1977030.9,5643602,-3666571.1,-65.0%
IowaStateLW-STEM,1702077.0,5643602,-3941525.0,-69.8%
UCLA-SuEIR,1576068.3,5643602,-4067533.7,-72.1%
LANL-GrowthRate,1238746.3,5643602,-4404855.7,-78.1%
CovidAnalytics-DELPHI,1057681.0,5643602,-4585921.0,-81.3%
