,predicted_cases,actual_cases,error,perc_error
BPagano-RtDriven,3145539.0,5253075,-2107536.0,-40.1%
Columbia_UNC-SurvCon,3028035.2,5253075,-2225039.8,-42.4%
CU-select,2943577.0,5253075,-2309498.0,-44.0%
JHUAPL-Bucky,2565210.7,5253075,-2687864.3,-51.2%
IBF-TimeSeries,2377550.0,5253075,-2875525.0,-54.7%
COVIDhub-baseline,2330712.0,5253075,-2922363.0,-55.6%
JCB-PRM,2326059.2,5253075,-2927015.8,-55.7%
USC-SI_kJalpha,2060806.0,5253075,-3192269.0,-60.8%
JHU_IDD-CovidSP,1994461.7,5253075,-3258613.3,-62.0%
IowaStateLW-STEM,1754741.0,5253075,-3498334.0,-66.6%
Covid19Sim-Simulator,1638549.0,5253075,-3614526.0,-68.8%
UCLA-SuEIR,1522581.5,5253075,-3730493.5,-71.0%
LANL-GrowthRate,1218962.9,5253075,-4034112.1,-76.8%
CovidAnalytics-DELPHI,920296.0,5253075,-4332779.0,-82.5%
