,predicted_cases,actual_cases,error,perc_error
CU-select,2358452.0,2361450,-2998.0,-0.1%
QJHong-Encounter,2368480.5,2361450,7030.5,0.3%
IBF-TimeSeries,2383105.0,2361450,21655.0,0.9%
COVIDhub-ensemble,2424583.0,2361450,63133.0,2.7%
UCLA-SuEIR,2293167.4,2361450,-68282.6,-2.9%
MSRA-DeepST,2440513.1,2361450,79063.1,3.3%
USACE-ERDC_SEIR,2239489.2,2361450,-121960.8,-5.2%
OliverWyman-Navigator,2532350.0,2361450,170900.0,7.2%
JHU_CSSE-DECOM,2541188.0,2361450,179738.0,7.6%
JCB-PRM,2135559.7,2361450,-225890.3,-9.6%
BPagano-RtDriven,2602405.4,2361450,240955.4,10.2%
IowaStateLW-STEM,2112460.0,2361450,-248990.0,-10.5%
UChicagoCHATTOPADHYAY-UnIT,2631140.0,2361450,269690.0,11.4%
IQVIA_ACOE-STAN,2085436.0,2361450,-276014.0,-11.7%
CEID-Walk,2051904.9,2361450,-309545.1,-13.1%
COVIDhub-baseline,2035620.0,2361450,-325830.0,-13.8%
LNQ-ens1,2706841.9,2361450,345391.9,14.6%
Karlen-pypm,2766879.6,2361450,405429.6,17.2%
UVA-Ensemble,2779078.7,2361450,417628.7,17.7%
USC-SI_kJalpha,1926737.0,2361450,-434713.0,-18.4%
JHUAPL-Bucky,2851979.1,2361450,490529.1,20.8%
UCF-AEM,1828200.0,2361450,-533250.0,-22.6%
LANL-GrowthRate,2930634.5,2361450,569184.5,24.1%
UMich-RidgeTfReg,2968834.9,2361450,607384.9,25.7%
JHU_IDD-CovidSP,1643269.4,2361450,-718180.6,-30.4%
CovidAnalytics-DELPHI,1524670.0,2361450,-836780.0,-35.4%
RobertWalraven-ESG,3200776.0,2361450,839326.0,35.5%
TTU-squider,1433265.0,2361450,-928185.0,-39.3%
DDS-NBDS,3356109.6,2361450,994659.6,42.1%
Columbia_UNC-SurvCon,3445233.0,2361450,1083783.0,45.9%
Google_Harvard-CPF,,2361450,,
JHU_UNC_GAS-StatMechPool,,2361450,,
UCSB-ACTS,,2361450,,
