,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UVA-Ensemble
01001,567,444.0,,463.9,,442.0,518.0,,,,,441.8,,316.0,,323.8,123.8,401.5,,448.0,499.1,,,,,342.9,,,603.0,,498.1,-123.0,,-103.1,,-125.0,-49.0,,,,,-125.2,,-251.0,,-243.2,-443.2,-165.5,,-119.0,-67.9,,,,,-224.1,,,36.0,,-68.9,,True,,False,True,,,,,False,,False,,False,False,False,,True,True,,,,,False,,,True,,True
01003,1778,1212.0,,1236.6,,1232.0,1558.0,,,,,1863.3,,1520.0,,1045.3,400.3,843.5,,1585.5,1112.7,,,,,720.1,1272.0,,26.0,,1579.2,-566.0,,-541.4,,-546.0,-220.0,,,,,85.3,,-258.0,,-732.7,-1377.7,-934.5,,-192.5,-665.3,,,,,-1057.9,-506.0,,-1752.0,,-198.8,,True,,True,True,,,,,True,,True,,False,False,False,,True,False,,,,,False,True,,False,,True
01005,114,116.0,,99.9,,125.0,185.0,,,,,184.1,,139.0,,184.3,56.2,,,132.0,123.3,,,,,102.1,,,66.0,,161.3,2.0,,-14.1,,11.0,71.0,,,,,70.1,,25.0,,70.3,-57.8,,,18.0,9.3,,,,,-11.9,,,-48.0,,47.3,,False,,False,False,,,,,False,,False,,False,False,,,False,False,,,,,False,,,False,,False
01007,302,180.0,,176.7,,181.0,257.0,,,,,197.6,,168.0,,231.0,45.4,,,173.0,176.4,,,,,,,,136.0,,207.8,-122.0,,-125.3,,-121.0,-45.0,,,,,-104.4,,-134.0,,-71.0,-256.6,,,-129.0,-125.6,,,,,,,,-166.0,,-94.2,,False,,True,True,,,,,True,,False,,True,False,,,False,False,,,,,,,,False,,True
01009,813,596.0,,585.4,,590.0,1043.0,,,,,599.4,,434.0,,475.9,89.8,547.5,,1010.0,720.2,,,,,326.1,,,151.0,,667.0,-217.0,,-227.6,,-223.0,230.0,,,,,-213.6,,-379.0,,-337.1,-723.2,-265.5,,197.0,-92.8,,,,,-486.9,,,-662.0,,-146.0,,False,,False,False,,,,,True,,False,,False,False,False,,True,True,,,,,False,,,False,,True
01011,43,20.0,,17.9,,20.0,0.0,,,,,60.8,,61.0,,46.9,18.3,,,14.0,37.2,,,,,,,,2.0,,36.3,-23.0,,-25.1,,-23.0,-43.0,,,,,17.8,,18.0,,3.9,-24.7,,,-29.0,-5.8,,,,,,,,-41.0,,-6.7,,False,,False,False,,,,,True,,True,,True,False,,,False,True,,,,,,,,False,,True
01013,142,60.0,,72.1,,57.0,0.0,,,,,109.4,,116.0,,54.2,29.7,,,19.0,68.0,,,,,54.1,,,32.0,,78.2,-82.0,,-69.9,,-85.0,-142.0,,,,,-32.6,,-26.0,,-87.8,-112.3,,,-123.0,-74.0,,,,,-87.9,,,-110.0,,-63.8,,True,,False,False,,,,,True,,True,,False,False,,,False,True,,,,,False,,,False,,True
01015,1418,1176.0,,1023.8,,1122.0,1470.0,,,,,1428.6,,889.0,,2728.7,249.5,1685.0,,1172.5,1080.7,,,,,742.7,,,31.0,,1836.6,-242.0,,-394.2,,-296.0,52.0,,,,,10.6,,-529.0,,1310.7,-1168.5,267.0,,-245.5,-337.3,,,,,-675.3,,,-1387.0,,418.6,,False,,False,True,,,,,True,,False,,False,False,False,,False,False,,,,,False,,,False,,False
01017,376,156.0,,167.7,,161.0,310.0,,,,,224.6,,206.0,,154.2,65.2,188.5,,175.0,149.0,,,,,78.9,,,88.0,,220.2,-220.0,,-208.3,,-215.0,-66.0,,,,,-151.4,,-170.0,,-221.8,-310.8,-187.5,,-201.0,-227.0,,,,,-297.1,,,-288.0,,-155.8,,True,,True,True,,,,,True,,True,,False,False,True,,True,False,,,,,False,,,False,,True
01019,240,200.0,,174.8,,185.0,154.0,,,,,217.4,,226.0,,163.9,51.7,,,184.0,186.3,,,,,,,,203.0,,208.6,-40.0,,-65.2,,-55.0,-86.0,,,,,-22.6,,-14.0,,-76.1,-188.3,,,-56.0,-53.7,,,,,,,,-37.0,,-31.4,,False,,False,False,,,,,True,,True,,False,False,,,False,False,,,,,,,,True,,True
