,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,138,162.0,,163.6,,163.0,167.0,,,,,192.6,,165.6,,,183.0,,179.0,,102.8,,180.0,155.4,,196.0,200.0,,,,,140.0,205.2,,,,,128.0,75.3,24.0,,25.6,,25.0,29.0,,,,,54.6,,27.6,,,45.0,,41.0,,-35.2,,42.0,17.4,,58.0,62.0,,,,,2.0,67.2,,,,,-10.0,-62.7,,False,,False,False,,,,,False,,False,,,False,,False,,False,,False,True,,False,False,,,,,True,False,,,,,True,False
01003,602,535.0,,549.0,,535.0,625.0,,,,,598.8,,538.5,,,464.0,,498.8,,316.5,,742.5,606.3,,638.0,640.0,,,,,463.5,578.6,490.0,,,,652.0,272.6,-67.0,,-53.0,,-67.0,23.0,,,,,-3.2,,-63.5,,,-138.0,,-103.2,,-285.5,,140.5,4.3,,36.0,38.0,,,,,-138.5,-23.4,-112.0,,,,50.0,-329.4,,True,,False,True,,,,,True,,True,,,False,,False,,False,,False,True,,True,True,,,,,False,True,False,,,,True,False
01005,16,34.0,,33.4,,32.0,23.0,,,,,59.0,,49.0,,,66.0,,12.4,,26.1,,27.0,35.6,,33.0,45.0,,,,,30.6,31.7,,,,,38.6,21.3,18.0,,17.4,,16.0,7.0,,,,,43.0,,33.0,,,50.0,,-3.6,,10.1,,11.0,19.6,,17.0,29.0,,,,,14.6,15.7,,,,,22.6,5.3,,True,,True,True,,,,,False,,False,,,False,,True,,True,,True,False,,True,False,,,,,True,True,,,,,False,True
01007,143,58.0,,55.2,,55.0,54.0,,,,,95.8,,76.4,,,81.0,,30.2,,41.7,,144.0,187.0,,54.0,73.0,,,,,,65.6,,,,,40.2,23.2,-85.0,,-87.8,,-88.0,-89.0,,,,,-47.2,,-66.6,,,-62.0,,-112.8,,-101.3,,1.0,44.0,,-89.0,-70.0,,,,,,-77.4,,,,,-102.8,-119.8,,False,,False,False,,,,,True,,True,,,True,,False,,False,,True,True,,False,True,,,,,,True,,,,,False,False
01009,187,217.0,,218.1,,218.0,304.0,,,,,234.6,,239.6,,,220.0,,230.1,,131.5,,203.0,186.9,,252.0,261.0,,,,,169.3,186.9,,,,,271.6,140.4,30.0,,31.1,,31.0,117.0,,,,,47.6,,52.6,,,33.0,,43.1,,-55.5,,16.0,-0.1,,65.0,74.0,,,,,-17.7,-0.1,,,,,84.6,-46.6,,False,,False,False,,,,,False,,False,,,False,,False,,False,,True,True,,False,False,,,,,True,True,,,,,False,False
01011,8,13.0,,13.0,,12.0,0.0,,,,,31.1,,22.4,,,28.0,,6.0,,8.9,,11.0,16.1,,18.0,21.0,,,,,,16.1,,,,,12.5,12.1,5.0,,5.0,,4.0,-8.0,,,,,23.1,,14.4,,,20.0,,-2.0,,0.9,,3.0,8.1,,10.0,13.0,,,,,,8.1,,,,,4.5,4.1,,False,,True,False,,,,,False,,False,,,False,,True,,True,,True,False,,False,False,,,,,,False,,,,,True,True
01013,33,57.0,,59.5,,51.0,2.0,,,,,72.1,,64.3,,,54.0,,52.9,,25.2,,45.0,42.5,,60.0,69.0,,,,,50.1,60.1,,,,,52.4,37.2,24.0,,26.5,,18.0,-31.0,,,,,39.1,,31.3,,,21.0,,19.9,,-7.8,,12.0,9.5,,27.0,36.0,,,,,17.1,27.1,,,,,19.4,4.2,,False,,True,False,,,,,False,,False,,,True,,True,,True,,True,True,,False,False,,,,,True,False,,,,,True,True
01015,377,454.0,,462.1,,410.0,722.0,,,,,420.8,,377.0,,,403.0,,653.0,,264.1,,367.0,372.4,,526.0,492.0,,,,,404.4,553.0,,,,,415.8,240.2,77.0,,85.1,,33.0,345.0,,,,,43.8,,0.0,,,26.0,,276.0,,-112.9,,-10.0,-4.6,,149.0,115.0,,,,,27.4,176.0,,,,,38.8,-136.8,,False,,True,False,,,,,True,,True,,,True,,False,,False,,True,True,,False,False,,,,,True,False,,,,,True,False
01017,99,113.0,,116.3,,105.0,113.0,,,,,105.6,,113.8,,,93.0,,151.1,,64.3,,155.0,94.2,,133.0,128.0,,,,,96.4,119.6,,,,,83.4,66.8,14.0,,17.3,,6.0,14.0,,,,,6.6,,14.8,,,-6.0,,52.1,,-34.7,,56.0,-4.8,,34.0,29.0,,,,,-2.6,20.6,,,,,-15.6,-32.2,,False,,True,False,,,,,True,,False,,,True,,False,,False,,False,True,,False,False,,,,,True,False,,,,,False,False
01019,43,81.0,,80.8,,72.0,69.0,,,,,76.3,,103.7,,,91.0,,72.3,,43.0,,63.0,71.7,,98.0,103.0,,,,,,81.4,,,,,119.4,46.2,38.0,,37.8,,29.0,26.0,,,,,33.3,,60.7,,,48.0,,29.3,,-0.0,,20.0,28.7,,55.0,60.0,,,,,,38.4,,,,,76.4,3.2,,True,,True,True,,,,,True,,False,,,False,,True,,True,,True,True,,False,False,,,,,,False,,,,,False,True
